Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:46:38.977,Quaker Bot Long Strafes,dps,10.702s,123,20,0.163,680,4182,0.163,false
2,22:47:08.370,Quaker Bot Long Strafes,dps,29.142s,428,102,0.238,3213,14552,0.221,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,885,190,6086.0,30090.0,

Kills:,2
Deaths:,0
Fight Time:,39.844002
Avg TTK:,0
Damage Done:,6086.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,22998.349609
Score:,10792.587891
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.2
Challenge Start:,22:46:26.883
Pause Count:,12
Pause Duration:,298

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,261.322479
Resolution Scale,100.0
