Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:44:23.070,Quaker Bot Long Strafes,dps,2.147s,44,18,0.409,612,1496,0.409,false
2,22:44:27.720,Quaker Bot Long Strafes,dps,4.399s,84,29,0.345,935,2856,0.327,false
3,22:44:30.475,Quaker Bot Long Strafes,dps,2.501s,51,21,0.412,697,1734,0.402,false
4,22:44:36.411,Quaker Bot Long Strafes,dps,5.638s,111,31,0.279,1054,3774,0.279,false
5,22:44:45.358,Quaker Bot Long Strafes,dps,8.648s,168,52,0.31,1479,5712,0.259,false
6,22:44:58.411,Quaker Bot Long Strafes,dps,12.752s,255,56,0.22,1853,8670,0.214,false
7,22:45:03.318,Quaker Bot Long Strafes,dps,4.704s,90,35,0.389,1105,3060,0.361,false
8,22:45:03.764,Quaker Bot Long Strafes,dps,0.2s,5,5,1,170,170,1,false
9,22:45:12.365,Quaker Bot Long Strafes,dps,8.349s,168,34,0.202,1156,5712,0.202,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1113,332,10795.0,37842.0,

Kills:,9
Deaths:,0
Fight Time:,49.338001
Avg TTK:,0
Damage Done:,10795.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,8868.25
Score:,16614.5625
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.2
Challenge Start:,22:44:19.952
Pause Count:,11
Pause Duration:,232

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,257.667114
Resolution Scale,100.0
