Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:30:13.527,Quaker Bot Long Strafes,dps,7.9s,159,48,0.302,1037,5406,0.192,false
2,17:30:19.430,Quaker Bot Long Strafes,dps,5.601s,108,31,0.287,646,3672,0.176,false
3,17:30:31.680,Quaker Bot Long Strafes,dps,12.002s,228,74,0.325,1411,7752,0.182,false
4,17:30:50.239,Quaker Bot Long Strafes,dps,18.455s,361,147,0.407,2635,12274,0.215,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1143,409,7769.0,38862.0,

Kills:,4
Deaths:,0
Fight Time:,43.958
Avg TTK:,0
Damage Done:,7769.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,7884.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.2
Challenge Start:,17:30:04.613
Pause Count:,6
Pause Duration:,73

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,248.326309
Resolution Scale,100.0
