Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:12:28.819,Quaker Bot Long Strafes,dps,3.899s,79,30,0.38,510,2686,0.19,false
2,18:13:01.823,Quaker Bot Long Strafes,dps,32.749s,656,261,0.398,4590,22304,0.206,false
3,18:13:10.617,Quaker Bot Long Strafes,dps,8.497s,171,83,0.485,1513,5814,0.26,false
4,18:13:21.313,Quaker Bot Long Strafes,dps,10.446s,201,61,0.303,1666,6834,0.244,false
5,18:13:22.566,Quaker Bot Long Strafes,dps,1s,18,11,0.611,221,612,0.361,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1150,463,8789.0,39100.0,

Kills:,6
Deaths:,0
Fight Time:,57.790001
Avg TTK:,0
Damage Done:,8789.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,755.519226
Score:,10583.379883
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.2
Challenge Start:,18:12:24.123
Pause Count:,8
Pause Duration:,1007

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,8.0
Vert Sens:,8.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,262.674133
Resolution Scale,100.0
