Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:42:01.416,Quaker Bot Long Strafes,dps,4.048s,82,25,0.305,748,2788,0.268,false
2,18:42:03.078,Quaker Bot Long Strafes,dps,1.41s,21,8,0.381,272,714,0.381,false
3,18:42:10.789,Quaker Bot Long Strafes,dps,7.46s,143,42,0.294,1207,4862,0.248,false
4,18:42:20.032,Quaker Bot Long Strafes,dps,8.992s,175,55,0.314,1054,5950,0.177,false
5,18:42:24.240,Quaker Bot Long Strafes,dps,3.957s,69,52,0.754,918,2346,0.391,false
6,18:42:25.514,Quaker Bot Long Strafes,dps,1.021s,15,10,0.667,170,510,0.333,false
7,18:42:35.615,Quaker Bot Long Strafes,dps,9.802s,189,92,0.487,1564,6426,0.243,false
8,18:42:39.765,Quaker Bot Long Strafes,dps,3.897s,79,39,0.494,663,2686,0.247,false
9,18:42:50.351,Quaker Bot Long Strafes,dps,10.333s,202,70,0.347,1326,6868,0.193,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1079,429,8551.0,36686.0,

Kills:,9
Deaths:,0
Fight Time:,50.919998
Avg TTK:,0
Damage Done:,8551.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,13275.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.2
Challenge Start:,18:41:56.463
Pause Count:,35
Pause Duration:,1065

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,252.996552
Resolution Scale,100.0
