Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:02:44.050,Quaker Bot Long Strafes,dps,0.747s,16,10,0.625,170,544,0.312,true
2,19:02:47.381,Quaker Bot Long Strafes,dps,2.799s,57,28,0.491,476,1938,0.246,false
3,19:02:51.989,Quaker Bot Long Strafes,dps,4.049s,82,32,0.39,544,2788,0.195,false
4,19:02:52.942,Quaker Bot Long Strafes,dps,0.399s,9,9,1,153,306,0.5,false
5,19:02:59.945,Quaker Bot Long Strafes,dps,6.349s,128,39,0.305,697,4352,0.16,false
6,19:03:03.610,Quaker Bot Long Strafes,dps,3.389s,57,27,0.474,459,1938,0.237,false
7,19:03:06.860,Quaker Bot Long Strafes,dps,2.196s,45,24,0.533,408,1530,0.267,false
8,19:03:12.478,Quaker Bot Long Strafes,dps,5.365s,95,42,0.442,748,3230,0.232,false
9,19:03:18.929,Quaker Bot Long Strafes,dps,6.198s,125,56,0.448,952,4250,0.224,false
10,19:03:27.929,Quaker Bot Long Strafes,dps,8.397s,169,77,0.456,1479,5746,0.257,false
11,19:03:34.513,Quaker Bot Long Strafes,dps,6.335s,123,49,0.398,833,4182,0.199,false
12,19:03:36.814,Quaker Bot Long Strafes,dps,2.051s,42,15,0.357,255,1428,0.179,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1060,454,8075.0,36040.0,

Kills:,12
Deaths:,0
Fight Time:,48.273998
Avg TTK:,0
Damage Done:,8075.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,350.928864
Score:,16125.232422
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.2
Challenge Start:,19:02:42.439
Pause Count:,6
Pause Duration:,132

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,248.755676
Resolution Scale,100.0
