Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:03:55.269,Quaker Bot Long Strafes,dps,2.248s,46,28,0.609,476,1564,0.304,false
2,19:03:57.799,Quaker Bot Long Strafes,dps,2.299s,47,18,0.383,306,1598,0.191,false
3,19:04:00.099,Quaker Bot Long Strafes,dps,1.847s,38,16,0.421,272,1292,0.211,false
4,19:04:05.436,Quaker Bot Long Strafes,dps,4.897s,99,41,0.414,697,3366,0.207,false
5,19:04:10.989,Quaker Bot Long Strafes,dps,5.449s,110,42,0.382,714,3740,0.191,false
6,19:04:12.989,Quaker Bot Long Strafes,dps,1.75s,36,17,0.472,289,1224,0.236,false
7,19:04:14.388,Quaker Bot Long Strafes,dps,1.101s,23,11,0.478,187,782,0.239,false
8,19:04:34.616,Quaker Bot Long Strafes,dps,19.908s,366,131,0.358,2227,12444,0.179,false
9,19:04:35.810,Quaker Bot Long Strafes,dps,0.941s,16,8,0.5,204,544,0.375,false
10,19:04:38.132,Quaker Bot Long Strafes,dps,1.498s,31,13,0.419,221,1054,0.21,false
11,19:04:42.810,Quaker Bot Long Strafes,dps,4.431s,88,27,0.307,493,2992,0.165,false
12,19:04:44.660,Quaker Bot Long Strafes,dps,1.598s,29,11,0.379,187,986,0.19,false
13,19:04:49.194,Quaker Bot Long Strafes,dps,3.699s,75,33,0.44,561,2550,0.22,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1053,408,7038.0,35802.0,

Kills:,13
Deaths:,0
Fight Time:,51.666
Avg TTK:,0
Damage Done:,7038.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,16519.0
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.2
Challenge Start:,19:03:52.407
Pause Count:,7
Pause Duration:,133

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,254.690369
Resolution Scale,100.0
