Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:06:11.756,Quaker Bot Long Strafes,dps,1.3s,27,17,0.63,289,918,0.315,true
2,20:06:14.068,Quaker Bot Long Strafes,dps,2.06s,35,15,0.429,255,1190,0.214,false
3,20:06:18.113,Quaker Bot Long Strafes,dps,3.498s,71,34,0.479,578,2414,0.239,false
4,20:06:20.795,Quaker Bot Long Strafes,dps,1.747s,36,17,0.472,289,1224,0.236,false
5,20:06:22.925,Quaker Bot Long Strafes,dps,1.597s,33,19,0.576,323,1122,0.288,false
6,20:06:24.412,Quaker Bot Long Strafes,dps,1.046s,22,11,0.5,187,748,0.25,false
7,20:06:29.520,Quaker Bot Long Strafes,dps,4.597s,93,53,0.57,901,3162,0.285,false
8,20:06:31.718,Quaker Bot Long Strafes,dps,1.947s,30,16,0.533,272,1020,0.267,false
9,20:06:35.759,Quaker Bot Long Strafes,dps,3.048s,62,25,0.403,425,2108,0.202,false
10,20:06:40.111,Quaker Bot Long Strafes,dps,4.103s,83,37,0.446,629,2822,0.223,false
11,20:06:42.350,Quaker Bot Long Strafes,dps,1.65s,34,29,0.853,493,1156,0.426,false
12,20:06:44.733,Quaker Bot Long Strafes,dps,2.13s,40,20,0.5,340,1360,0.25,false
13,20:06:49.561,Quaker Bot Long Strafes,dps,4.673s,92,32,0.348,578,3128,0.185,false
14,20:06:59.175,Quaker Bot Long Strafes,dps,9.466s,188,81,0.431,1394,6392,0.218,false
15,20:07:01.351,Quaker Bot Long Strafes,dps,1.927s,39,22,0.564,374,1326,0.282,false
16,20:07:04.160,Quaker Bot Long Strafes,dps,2.556s,48,24,0.5,408,1632,0.25,false
17,20:07:05.319,Quaker Bot Long Strafes,dps,0.912s,17,10,0.588,170,578,0.294,false
18,20:07:07.415,Quaker Bot Long Strafes,dps,1.848s,34,17,0.5,289,1156,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1023,500,8551.0,34782.0,

Kills:,19
Deaths:,0
Fight Time:,52.085999
Avg TTK:,0
Damage Done:,8551.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,302.365143
Score:,23351.091797
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,20:06:09.726
Pause Count:,6
Pause Duration:,596

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,245.086685
Resolution Scale,100.0
