Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:07:20.033,Quaker Bot Long Strafes,dps,5.046s,102,43,0.422,731,3468,0.211,false
2,20:07:23.259,Quaker Bot Long Strafes,dps,2.976s,59,21,0.356,357,2006,0.178,false
3,20:07:24.807,Quaker Bot Long Strafes,dps,1.297s,27,17,0.63,289,918,0.315,false
4,20:07:26.061,Quaker Bot Long Strafes,dps,1.001s,21,9,0.429,153,714,0.214,false
5,20:07:29.461,Quaker Bot Long Strafes,dps,3.249s,66,26,0.394,527,2244,0.235,false
6,20:07:32.310,Quaker Bot Long Strafes,dps,2.598s,53,18,0.34,306,1802,0.17,false
7,20:07:35.904,Quaker Bot Long Strafes,dps,3.292s,57,21,0.368,357,1938,0.184,false
8,20:07:44.210,Quaker Bot Long Strafes,dps,7.849s,158,61,0.386,1037,5372,0.193,false
9,20:07:51.290,Quaker Bot Long Strafes,dps,6.782s,135,46,0.341,782,4590,0.17,false
10,20:07:54.819,Quaker Bot Long Strafes,dps,3.23s,49,29,0.592,493,1666,0.296,false
11,20:07:57.874,Quaker Bot Long Strafes,dps,2.347s,48,9,0.188,153,1632,0.094,false
12,20:08:04.681,Quaker Bot Long Strafes,dps,6.556s,129,46,0.357,799,4386,0.182,false
13,20:08:09.006,Quaker Bot Long Strafes,dps,4.072s,71,29,0.408,493,2414,0.204,false
14,20:08:09.807,Quaker Bot Long Strafes,dps,0.502s,11,9,0.818,153,374,0.409,false
15,20:08:12.804,Quaker Bot Long Strafes,dps,2.699s,55,27,0.491,459,1870,0.245,false
16,20:08:13.605,Quaker Bot Long Strafes,dps,0.55s,12,9,0.75,153,408,0.375,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1061,422,7276.0,36074.0,

Kills:,16
Deaths:,0
Fight Time:,54.046001
Avg TTK:,0
Damage Done:,7276.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,19638.0
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,20:07:14.501
Pause Count:,7
Pause Duration:,597

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,245.827774
Resolution Scale,100.0
