Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:01:42.054,Quaker Bot Long Strafes,dps,3.898s,79,26,0.329,748,2686,0.278,false
2,22:01:43.168,Quaker Bot Long Strafes,dps,0.597s,13,5,0.385,170,442,0.385,false
3,22:01:44.147,Quaker Bot Long Strafes,dps,0.725s,14,8,0.571,272,476,0.571,false
4,22:01:45.395,Quaker Bot Long Strafes,dps,1.001s,19,6,0.316,204,646,0.316,false
5,22:01:48.000,Quaker Bot Long Strafes,dps,2.352s,46,12,0.261,408,1564,0.261,false
6,22:01:50.626,Quaker Bot Long Strafes,dps,2.148s,44,16,0.364,442,1496,0.295,false
7,22:01:53.581,Quaker Bot Long Strafes,dps,2.708s,53,17,0.321,578,1802,0.321,false
8,22:01:58.662,Quaker Bot Long Strafes,dps,4.64s,92,28,0.304,952,3128,0.304,false
9,22:02:00.081,Quaker Bot Long Strafes,dps,1.166s,23,8,0.348,272,782,0.348,false
10,22:02:01.923,Quaker Bot Long Strafes,dps,1.248s,26,6,0.231,204,884,0.231,false
11,22:02:05.353,Quaker Bot Long Strafes,dps,2.749s,56,14,0.25,476,1904,0.25,false
12,22:02:06.174,Quaker Bot Long Strafes,dps,0.495s,11,9,0.818,306,374,0.818,false
13,22:02:06.372,Quaker Bot Long Strafes,dps,0s,1,1,1,34,34,1,false
14,22:02:07.662,Quaker Bot Long Strafes,dps,1.036s,18,5,0.278,170,612,0.278,false
15,22:02:09.073,Quaker Bot Long Strafes,dps,1.161s,22,7,0.318,238,748,0.318,false
16,22:02:11.210,Quaker Bot Long Strafes,dps,1.885s,35,13,0.371,374,1190,0.314,false
17,22:02:12.817,Quaker Bot Long Strafes,dps,1.148s,24,8,0.333,221,816,0.271,false
18,22:02:13.868,Quaker Bot Long Strafes,dps,0.753s,14,5,0.357,170,476,0.357,false
19,22:02:17.472,Quaker Bot Long Strafes,dps,3.198s,62,12,0.194,391,2108,0.185,false
20,22:02:18.912,Quaker Bot Long Strafes,dps,0.248s,6,5,0.833,170,204,0.833,false
21,22:02:19.812,Quaker Bot Long Strafes,dps,0.651s,14,7,0.5,204,476,0.429,false
22,22:02:24.443,Quaker Bot Long Strafes,dps,4.221s,84,28,0.333,952,2856,0.333,false
23,22:02:25.990,Quaker Bot Long Strafes,dps,1.247s,26,9,0.346,306,884,0.346,false
24,22:02:27.782,Quaker Bot Long Strafes,dps,1.54s,28,7,0.25,238,952,0.25,false
25,22:02:29.492,Quaker Bot Long Strafes,dps,1.456s,28,6,0.214,204,952,0.214,false
26,22:02:30.309,Quaker Bot Long Strafes,dps,0.565s,10,5,0.5,170,340,0.5,false
27,22:02:32.490,Quaker Bot Long Strafes,dps,1.951s,40,18,0.45,612,1360,0.45,false
28,22:02:34.300,Quaker Bot Long Strafes,dps,1.147s,24,6,0.25,187,816,0.229,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,971,311,10115.0,33014.0,

Kills:,28
Deaths:,0
Fight Time:,45.933998
Avg TTK:,0
Damage Done:,10115.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,33057.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,22:01:37.421
Pause Count:,6
Pause Duration:,26

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,244.700043
Resolution Scale,100.0
