Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:38:36.547,Quaker Bot Long Strafes,dps,0.495s,10,12,1.2,204,340,0.6,false
2,18:38:41.604,Quaker Bot Long Strafes,dps,4.598s,93,30,0.323,510,3162,0.161,false
3,18:38:48.649,Quaker Bot Long Strafes,dps,6.564s,132,47,0.356,1088,4488,0.242,false
4,18:38:50.937,Quaker Bot Long Strafes,dps,2.036s,37,20,0.541,357,1258,0.284,false
5,18:38:51.971,Quaker Bot Long Strafes,dps,0.782s,13,10,0.769,170,442,0.385,false
6,18:38:52.986,Quaker Bot Long Strafes,dps,0.762s,14,12,0.857,204,476,0.429,false
7,18:38:54.511,Quaker Bot Long Strafes,dps,1.275s,25,11,0.44,187,850,0.22,false
8,18:38:56.069,Quaker Bot Long Strafes,dps,0.798s,17,10,0.588,170,578,0.294,false
9,18:38:57.259,Quaker Bot Long Strafes,dps,0.936s,18,10,0.556,170,612,0.278,false
10,18:39:01.126,Quaker Bot Long Strafes,dps,3.652s,72,38,0.528,646,2448,0.264,false
11,18:39:01.276,Quaker Bot Long Strafes,dps,0.053s,2,2,1,34,68,0.5,false
12,18:39:02.589,Quaker Bot Long Strafes,dps,1.066s,19,12,0.632,204,646,0.316,false
13,18:39:06.553,Quaker Bot Long Strafes,dps,3.481s,69,28,0.406,493,2346,0.21,false
14,18:39:08.652,Quaker Bot Long Strafes,dps,1.844s,34,19,0.559,323,1156,0.279,false
15,18:39:13.141,Quaker Bot Long Strafes,dps,4.029s,80,34,0.425,680,2720,0.25,false
16,18:39:15.715,Quaker Bot Long Strafes,dps,2.42s,46,16,0.348,272,1564,0.174,false
17,18:39:17.293,Quaker Bot Long Strafes,dps,1.33s,23,13,0.565,221,782,0.283,false
18,18:39:20.548,Quaker Bot Long Strafes,dps,2.816s,49,13,0.265,272,1666,0.163,false
19,18:39:25.609,Quaker Bot Long Strafes,dps,4.664s,90,30,0.333,527,3060,0.172,false
20,18:39:26.956,Quaker Bot Long Strafes,dps,0.9s,19,10,0.526,170,646,0.263,false
21,18:39:30.350,Quaker Bot Long Strafes,dps,2.995s,58,30,0.517,510,1972,0.259,false
22,18:39:33.207,Quaker Bot Long Strafes,dps,2.605s,48,24,0.5,408,1632,0.25,false
23,18:39:34.926,Quaker Bot Long Strafes,dps,1.47s,26,9,0.346,153,884,0.173,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,997,440,7973.0,33898.0,

Kills:,23
Deaths:,0
Fight Time:,51.570999
Avg TTK:,0
Damage Done:,7973.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,26986.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,18:38:35.168
Pause Count:,13
Pause Duration:,511

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,247.463608
Resolution Scale,100.0
