Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:39:42.579,Quaker Bot Long Strafes,dps,2.876s,54,22,0.407,425,1836,0.231,false
2,18:39:45.005,Quaker Bot Long Strafes,dps,2.174s,37,14,0.378,238,1258,0.189,false
3,18:39:48.770,Quaker Bot Long Strafes,dps,3.327s,67,28,0.418,476,2278,0.209,false
4,18:39:51.144,Quaker Bot Long Strafes,dps,1.921s,37,15,0.405,255,1258,0.203,false
5,18:39:52.783,Quaker Bot Long Strafes,dps,1.247s,25,10,0.4,170,850,0.2,false
6,18:39:54.859,Quaker Bot Long Strafes,dps,1.829s,36,19,0.528,323,1224,0.264,false
7,18:39:57.017,Quaker Bot Long Strafes,dps,1.765s,35,19,0.543,323,1190,0.271,false
8,18:39:58.270,Quaker Bot Long Strafes,dps,0.999s,19,13,0.684,272,646,0.421,false
9,18:40:02.290,Quaker Bot Long Strafes,dps,3.602s,69,27,0.391,459,2346,0.196,false
10,18:40:03.778,Quaker Bot Long Strafes,dps,0.897s,19,12,0.632,204,646,0.316,false
11,18:40:05.619,Quaker Bot Long Strafes,dps,1.421s,29,23,0.793,391,986,0.397,false
12,18:40:07.921,Quaker Bot Long Strafes,dps,2.054s,38,24,0.632,408,1292,0.316,false
13,18:40:11.213,Quaker Bot Long Strafes,dps,2.473s,48,25,0.521,425,1632,0.26,false
14,18:40:12.175,Quaker Bot Long Strafes,dps,0.713s,13,7,0.538,170,442,0.385,false
15,18:40:13.485,Quaker Bot Long Strafes,dps,1.011s,11,9,0.818,153,374,0.409,false
16,18:40:16.974,Quaker Bot Long Strafes,dps,2.989s,59,37,0.627,629,2006,0.314,false
17,18:40:18.407,Quaker Bot Long Strafes,dps,0.998s,21,10,0.476,170,714,0.238,false
18,18:40:22.678,Quaker Bot Long Strafes,dps,4.019s,72,30,0.417,544,2448,0.222,false
19,18:40:23.719,Quaker Bot Long Strafes,dps,0.597s,13,5,0.385,170,442,0.385,false
20,18:40:25.270,Quaker Bot Long Strafes,dps,1.253s,24,10,0.417,170,816,0.208,false
21,18:40:28.361,Quaker Bot Long Strafes,dps,2.807s,55,27,0.491,629,1870,0.336,false
22,18:40:30.741,Quaker Bot Long Strafes,dps,2.135s,40,17,0.425,323,1360,0.237,false
23,18:40:33.615,Quaker Bot Long Strafes,dps,2.624s,37,25,0.676,442,1258,0.351,false
24,18:40:39.032,Quaker Bot Long Strafes,dps,5.164s,96,37,0.385,646,3264,0.198,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,954,465,8415.0,32436.0,

Kills:,24
Deaths:,0
Fight Time:,50.895
Avg TTK:,0
Damage Done:,8415.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,28207.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,18:39:39.077
Pause Count:,14
Pause Duration:,512

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,246.567596
Resolution Scale,100.0
