Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:39:38.990,Quaker Bot Long Strafes,dps,1.249s,26,21,0.808,391,884,0.442,false
2,19:39:40.502,Quaker Bot Long Strafes,dps,1.265s,23,14,0.609,238,782,0.304,false
3,19:39:41.302,Quaker Bot Long Strafes,dps,0.446s,10,9,0.9,153,340,0.45,false
4,19:39:43.361,Quaker Bot Long Strafes,dps,1.806s,34,16,0.471,272,1156,0.235,false
5,19:39:45.173,Quaker Bot Long Strafes,dps,1.56s,29,14,0.483,238,986,0.241,false
6,19:39:48.572,Quaker Bot Long Strafes,dps,3.146s,61,32,0.525,544,2074,0.262,false
7,19:39:55.571,Quaker Bot Long Strafes,dps,6.746s,132,60,0.455,1020,4488,0.227,false
8,19:39:57.501,Quaker Bot Long Strafes,dps,1.448s,30,18,0.6,306,1020,0.3,false
9,19:39:59.471,Quaker Bot Long Strafes,dps,1.546s,32,17,0.531,289,1088,0.266,false
10,19:40:00.644,Quaker Bot Long Strafes,dps,0.875s,16,17,1.062,289,544,0.531,false
11,19:40:01.846,Quaker Bot Long Strafes,dps,0.949s,19,14,0.737,238,646,0.368,false
12,19:40:04.617,Quaker Bot Long Strafes,dps,2.472s,49,16,0.327,272,1666,0.163,false
13,19:40:05.814,Quaker Bot Long Strafes,dps,0.944s,17,12,0.706,204,578,0.353,false
14,19:40:08.996,Quaker Bot Long Strafes,dps,2.795s,57,23,0.404,391,1938,0.202,false
15,19:40:11.229,Quaker Bot Long Strafes,dps,1.98s,35,15,0.429,255,1190,0.214,false
16,19:40:12.048,Quaker Bot Long Strafes,dps,0.647s,14,10,0.714,170,476,0.357,false
17,19:40:15.866,Quaker Bot Long Strafes,dps,3.57s,69,29,0.42,493,2346,0.21,false
18,19:40:20.434,Quaker Bot Long Strafes,dps,3.773s,73,36,0.493,612,2482,0.247,false
19,19:40:22.227,Quaker Bot Long Strafes,dps,1.438s,29,11,0.379,187,986,0.19,false
20,19:40:25.745,Quaker Bot Long Strafes,dps,3.265s,62,24,0.387,408,2108,0.194,false
21,19:40:26.704,Quaker Bot Long Strafes,dps,0.708s,14,12,0.857,204,476,0.429,false
22,19:40:27.817,Quaker Bot Long Strafes,dps,0.959s,17,10,0.588,170,578,0.294,false
23,19:40:30.003,Quaker Bot Long Strafes,dps,1.94s,36,21,0.583,357,1224,0.292,false
24,19:40:30.856,Quaker Bot Long Strafes,dps,0.6s,10,9,0.9,153,340,0.45,false
25,19:40:31.842,Quaker Bot Long Strafes,dps,0.734s,14,9,0.643,153,476,0.321,false
26,19:40:33.041,Quaker Bot Long Strafes,dps,0.946s,17,11,0.647,187,578,0.324,false
27,19:40:34.684,Quaker Bot Long Strafes,dps,1.198s,25,13,0.52,221,850,0.26,false
28,19:40:35.894,Quaker Bot Long Strafes,dps,0.747s,16,11,0.688,187,544,0.344,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,989,520,8874.0,33626.0,

Kills:,28
Deaths:,0
Fight Time:,49.751999
Avg TTK:,0
Damage Done:,8874.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,32437.0
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,19:39:37.157
Pause Count:,13
Pause Duration:,851

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,243.223984
Resolution Scale,100.0
