Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:38:10.397,Quaker Bot Long Strafes,dps,0.497s,11,8,0.727,187,374,0.5,false
2,19:38:15.349,Quaker Bot Long Strafes,dps,4.796s,94,47,0.5,799,3196,0.25,false
3,19:38:18.608,Quaker Bot Long Strafes,dps,3.013s,57,34,0.596,578,1938,0.298,false
4,19:38:20.975,Quaker Bot Long Strafes,dps,2.116s,39,23,0.59,391,1326,0.295,false
5,19:38:22.732,Quaker Bot Long Strafes,dps,1.602s,29,10,0.345,170,986,0.172,false
6,19:38:23.692,Quaker Bot Long Strafes,dps,0.724s,13,11,0.846,187,442,0.423,false
7,19:38:24.664,Quaker Bot Long Strafes,dps,0.545s,12,9,0.75,153,408,0.375,false
8,19:38:25.423,Quaker Bot Long Strafes,dps,0.508s,10,9,0.9,153,340,0.45,false
9,19:38:27.043,Quaker Bot Long Strafes,dps,1.564s,30,26,0.867,476,1020,0.467,false
10,19:38:28.393,Quaker Bot Long Strafes,dps,1.199s,25,13,0.52,221,850,0.26,false
11,19:38:30.357,Quaker Bot Long Strafes,dps,1.715s,33,17,0.515,289,1122,0.258,false
12,19:38:34.049,Quaker Bot Long Strafes,dps,2.899s,59,31,0.525,527,2006,0.263,false
13,19:38:35.439,Quaker Bot Long Strafes,dps,0.997s,21,12,0.571,204,714,0.286,false
14,19:38:37.909,Quaker Bot Long Strafes,dps,2.416s,48,17,0.354,323,1632,0.198,false
15,19:38:40.178,Quaker Bot Long Strafes,dps,2.019s,39,22,0.564,374,1326,0.282,false
16,19:38:42.382,Quaker Bot Long Strafes,dps,1.597s,33,18,0.545,306,1122,0.273,false
17,19:38:46.264,Quaker Bot Long Strafes,dps,3.148s,64,29,0.453,493,2176,0.227,false
18,19:38:48.158,Quaker Bot Long Strafes,dps,1.547s,32,23,0.719,391,1088,0.359,false
19,19:38:50.165,Quaker Bot Long Strafes,dps,1.598s,33,27,0.818,459,1122,0.409,false
20,19:38:53.218,Quaker Bot Long Strafes,dps,2.895s,55,27,0.491,459,1870,0.245,false
21,19:38:54.067,Quaker Bot Long Strafes,dps,0.601s,12,12,1,204,408,0.5,false
22,19:38:55.779,Quaker Bot Long Strafes,dps,1.607s,30,12,0.4,204,1020,0.2,false
23,19:38:57.872,Quaker Bot Long Strafes,dps,1.841s,33,12,0.364,204,1122,0.182,false
24,19:38:59.263,Quaker Bot Long Strafes,dps,0.947s,20,11,0.55,187,680,0.275,false
25,19:39:00.539,Quaker Bot Long Strafes,dps,1.223s,23,19,0.826,323,782,0.413,false
26,19:39:01.637,Quaker Bot Long Strafes,dps,0.852s,18,11,0.611,187,612,0.306,false
27,19:39:04.824,Quaker Bot Long Strafes,dps,3.131s,55,23,0.418,408,1870,0.218,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,1008,554,9554.0,34272.0,

Kills:,28
Deaths:,0
Fight Time:,51.659
Avg TTK:,0
Damage Done:,9554.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,32777.0
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,19:38:09.069
Pause Count:,30
Pause Duration:,1568

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,247.741562
Resolution Scale,100.0
