Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:47:17.314,Quaker Bot Long Strafes,dps,0.649s,14,9,0.643,153,476,0.321,false
2,18:47:18.320,Quaker Bot Long Strafes,dps,0.546s,12,9,0.75,153,408,0.375,false
3,18:47:19.481,Quaker Bot Long Strafes,dps,0.698s,15,10,0.667,170,510,0.333,false
4,18:47:21.633,Quaker Bot Long Strafes,dps,1.646s,34,21,0.618,357,1156,0.309,false
5,18:47:23.918,Quaker Bot Long Strafes,dps,1.848s,38,17,0.447,289,1292,0.224,false
6,18:47:28.045,Quaker Bot Long Strafes,dps,3.649s,74,34,0.459,578,2516,0.23,false
7,18:47:29.556,Quaker Bot Long Strafes,dps,0.997s,21,9,0.429,153,714,0.214,false
8,18:47:30.387,Quaker Bot Long Strafes,dps,0.579s,10,18,1.8,306,340,0.9,false
9,18:47:31.686,Quaker Bot Long Strafes,dps,1.145s,21,11,0.524,187,714,0.262,false
10,18:47:34.436,Quaker Bot Long Strafes,dps,2.502s,46,21,0.457,357,1564,0.228,false
11,18:47:36.235,Quaker Bot Long Strafes,dps,1.546s,29,12,0.414,204,986,0.207,false
12,18:47:37.185,Quaker Bot Long Strafes,dps,0.699s,13,9,0.692,153,442,0.346,false
13,18:47:38.261,Quaker Bot Long Strafes,dps,0.796s,17,11,0.647,187,578,0.324,false
14,18:47:41.123,Quaker Bot Long Strafes,dps,2.615s,46,28,0.609,476,1564,0.304,false
15,18:47:42.258,Quaker Bot Long Strafes,dps,0.646s,14,10,0.714,170,476,0.357,false
16,18:47:43.948,Quaker Bot Long Strafes,dps,1.438s,27,14,0.519,238,918,0.259,false
17,18:47:49.199,Quaker Bot Long Strafes,dps,4.956s,99,42,0.424,714,3366,0.212,false
18,18:47:50.862,Quaker Bot Long Strafes,dps,1.562s,25,11,0.44,187,850,0.22,false
19,18:47:52.992,Quaker Bot Long Strafes,dps,2.08s,39,13,0.333,221,1326,0.167,false
20,18:47:54.256,Quaker Bot Long Strafes,dps,1.018s,19,12,0.632,204,646,0.316,false
21,18:47:55.577,Quaker Bot Long Strafes,dps,1.069s,20,9,0.45,153,680,0.225,false
22,18:48:01.065,Quaker Bot Long Strafes,dps,4.649s,92,37,0.402,646,3128,0.207,false
23,18:48:06.166,Quaker Bot Long Strafes,dps,4.597s,93,48,0.516,816,3162,0.258,false
24,18:48:08.285,Quaker Bot Long Strafes,dps,1.867s,27,18,0.667,306,918,0.333,false
25,18:48:09.680,Quaker Bot Long Strafes,dps,1.141s,21,10,0.476,170,714,0.238,false
26,18:48:11.476,Quaker Bot Long Strafes,dps,1.398s,29,13,0.448,221,986,0.224,false
27,18:48:15.405,Quaker Bot Long Strafes,dps,3.679s,66,26,0.394,442,2244,0.197,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,967,482,8211.0,32878.0,

Kills:,27
Deaths:,0
Fight Time:,50.014999
Avg TTK:,0
Damage Done:,8211.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,31105.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,18:47:16.017
Pause Count:,14
Pause Duration:,1710

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,252.327286
Resolution Scale,100.0
