Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:01:29.333,Quaker Bot Long Strafes,dps,0.598s,13,12,0.923,204,442,0.462,false
2,21:01:33.750,Quaker Bot Long Strafes,dps,3.999s,81,33,0.407,561,2754,0.204,false
3,21:01:36.689,Quaker Bot Long Strafes,dps,2.685s,53,28,0.528,476,1802,0.264,false
4,21:01:37.962,Quaker Bot Long Strafes,dps,0.849s,18,10,0.556,170,612,0.278,false
5,21:01:39.161,Quaker Bot Long Strafes,dps,0.399s,9,9,1,153,306,0.5,false
6,21:01:41.509,Quaker Bot Long Strafes,dps,1.946s,40,27,0.675,459,1360,0.338,false
7,21:01:43.325,Quaker Bot Long Strafes,dps,1.563s,30,13,0.433,255,1020,0.25,false
8,21:01:44.320,Quaker Bot Long Strafes,dps,0.595s,13,9,0.692,153,442,0.346,false
9,21:01:46.593,Quaker Bot Long Strafes,dps,2.03s,38,21,0.553,357,1292,0.276,false
10,21:01:47.386,Quaker Bot Long Strafes,dps,0.448s,10,9,0.9,153,340,0.45,false
11,21:01:48.685,Quaker Bot Long Strafes,dps,0.899s,19,9,0.474,153,646,0.237,false
12,21:01:50.406,Quaker Bot Long Strafes,dps,0.899s,19,21,1.105,357,646,0.553,false
13,21:01:51.504,Quaker Bot Long Strafes,dps,0.847s,18,10,0.556,170,612,0.278,false
14,21:01:52.645,Quaker Bot Long Strafes,dps,0.891s,17,10,0.588,170,578,0.294,false
15,21:01:53.762,Quaker Bot Long Strafes,dps,0.864s,15,10,0.667,170,510,0.333,false
16,21:01:56.657,Quaker Bot Long Strafes,dps,2.65s,54,29,0.537,493,1836,0.269,false
17,21:02:03.413,Quaker Bot Long Strafes,dps,6.362s,126,53,0.421,901,4284,0.21,false
18,21:02:05.432,Quaker Bot Long Strafes,dps,1.768s,29,13,0.448,221,986,0.224,false
19,21:02:06.461,Quaker Bot Long Strafes,dps,0.777s,14,9,0.643,153,476,0.321,false
20,21:02:08.022,Quaker Bot Long Strafes,dps,1.319s,25,11,0.44,187,850,0.22,false
21,21:02:10.319,Quaker Bot Long Strafes,dps,1.597s,33,21,0.636,357,1122,0.318,false
22,21:02:13.436,Quaker Bot Long Strafes,dps,2.747s,56,29,0.518,493,1904,0.259,false
23,21:02:15.746,Quaker Bot Long Strafes,dps,2.015s,34,18,0.529,323,1156,0.279,false
24,21:02:18.036,Quaker Bot Long Strafes,dps,2.037s,40,21,0.525,357,1360,0.262,false
25,21:02:22.023,Quaker Bot Long Strafes,dps,3.735s,64,30,0.469,510,2176,0.234,false
26,21:02:23.800,Quaker Bot Long Strafes,dps,1.399s,29,14,0.483,238,986,0.241,false
27,21:02:26.174,Quaker Bot Long Strafes,dps,2.274s,46,21,0.457,357,1564,0.228,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,981,522,8925.0,33354.0,

Kills:,27
Deaths:,0
Fight Time:,48.192001
Avg TTK:,0
Damage Done:,8925.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,31462.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,21:01:28.061
Pause Count:,14
Pause Duration:,69

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,244.948959
Resolution Scale,100.0
