Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:34:40.031,Quaker Bot Long Strafes,dps,1.845s,38,19,0.5,374,1292,0.289,false
2,17:34:41.088,Quaker Bot Long Strafes,dps,0.807s,14,10,0.714,187,476,0.393,false
3,17:34:42.159,Quaker Bot Long Strafes,dps,0.917s,15,10,0.667,170,510,0.333,false
4,17:34:45.576,Quaker Bot Long Strafes,dps,3.32s,60,30,0.5,510,2040,0.25,false
5,17:34:46.925,Quaker Bot Long Strafes,dps,1.111s,20,14,0.7,238,680,0.35,false
6,17:34:49.264,Quaker Bot Long Strafes,dps,1.894s,39,21,0.538,374,1326,0.282,false
7,17:34:52.112,Quaker Bot Long Strafes,dps,2.618s,49,17,0.347,289,1666,0.173,false
8,17:34:53.033,Quaker Bot Long Strafes,dps,0.548s,12,9,0.75,153,408,0.375,false
9,17:34:56.987,Quaker Bot Long Strafes,dps,3.704s,67,16,0.239,272,2278,0.119,false
10,17:35:03.710,Quaker Bot Long Strafes,dps,6.473s,122,32,0.262,578,4148,0.139,false
11,17:35:05.433,Quaker Bot Long Strafes,dps,1.267s,25,11,0.44,187,850,0.22,false
12,17:35:06.835,Quaker Bot Long Strafes,dps,0.849s,18,9,0.5,153,612,0.25,false
13,17:35:08.383,Quaker Bot Long Strafes,dps,1.097s,23,11,0.478,187,782,0.239,false
14,17:35:17.053,Quaker Bot Long Strafes,dps,8.322s,157,48,0.306,816,5338,0.153,false
15,17:35:19.750,Quaker Bot Long Strafes,dps,2.284s,45,15,0.333,306,1530,0.2,false
16,17:35:20.571,Quaker Bot Long Strafes,dps,0.399s,9,9,1,153,306,0.5,false
17,17:35:22.479,Quaker Bot Long Strafes,dps,1.489s,30,13,0.433,221,1020,0.217,false
18,17:35:23.319,Quaker Bot Long Strafes,dps,0.589s,10,9,0.9,153,340,0.45,false
19,17:35:31.305,Quaker Bot Long Strafes,dps,7.735s,141,58,0.411,1088,4794,0.227,false
20,17:35:32.883,Quaker Bot Long Strafes,dps,1.15s,24,10,0.417,170,816,0.208,false
21,17:35:34.156,Quaker Bot Long Strafes,dps,0.976s,17,13,0.765,221,578,0.382,false
22,17:35:36.644,Quaker Bot Long Strafes,dps,1.998s,41,16,0.39,425,1394,0.305,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,980,401,7259.0,33320.0,

Kills:,22
Deaths:,0
Fight Time:,51.391998
Avg TTK:,0
Damage Done:,7259.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,25629.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,v2.6.3
Challenge Start:,17:34:37.325
Pause Count:,6
Pause Duration:,4387

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,236.535172
Resolution Scale,100.0
