Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:35:44.621,Quaker Bot Long Strafes,dps,1.898s,39,20,0.513,340,1326,0.256,false
2,17:35:47.479,Quaker Bot Long Strafes,dps,2.607s,51,19,0.373,476,1734,0.275,false
3,17:35:48.760,Quaker Bot Long Strafes,dps,0.545s,12,9,0.75,153,408,0.375,false
4,17:35:52.544,Quaker Bot Long Strafes,dps,3.535s,68,29,0.426,561,2312,0.243,false
5,17:35:56.971,Quaker Bot Long Strafes,dps,4.175s,81,32,0.395,544,2754,0.198,false
6,17:35:59.270,Quaker Bot Long Strafes,dps,2.048s,30,17,0.567,289,1020,0.283,false
7,17:36:00.753,Quaker Bot Long Strafes,dps,1.329s,23,9,0.391,153,782,0.196,false
8,17:36:01.502,Quaker Bot Long Strafes,dps,0.501s,10,6,0.6,187,340,0.55,false
9,17:36:02.382,Quaker Bot Long Strafes,dps,0.781s,15,8,0.533,272,510,0.533,false
10,17:36:03.834,Quaker Bot Long Strafes,dps,1.206s,23,11,0.478,272,782,0.348,false
11,17:36:05.265,Quaker Bot Long Strafes,dps,1.18s,22,6,0.273,204,748,0.273,false
12,17:36:06.658,Quaker Bot Long Strafes,dps,1.239s,22,10,0.455,340,748,0.455,false
13,17:36:07.583,Quaker Bot Long Strafes,dps,0.678s,9,8,0.889,221,306,0.722,false
14,17:36:08.394,Quaker Bot Long Strafes,dps,0.559s,9,5,0.556,170,306,0.556,false
15,17:36:12.009,Quaker Bot Long Strafes,dps,3.316s,65,23,0.354,782,2210,0.354,false
16,17:36:15.057,Quaker Bot Long Strafes,dps,2.795s,51,15,0.294,459,1734,0.265,false
17,17:36:17.385,Quaker Bot Long Strafes,dps,1.747s,36,13,0.361,442,1224,0.361,false
18,17:36:19.996,Quaker Bot Long Strafes,dps,2.357s,44,13,0.295,442,1496,0.295,false
19,17:36:21.778,Quaker Bot Long Strafes,dps,1.53s,20,9,0.45,306,680,0.45,false
20,17:36:23.338,Quaker Bot Long Strafes,dps,1.047s,22,6,0.273,204,748,0.273,false
21,17:36:24.930,Quaker Bot Long Strafes,dps,1.341s,26,9,0.346,306,884,0.346,false
22,17:36:26.121,Quaker Bot Long Strafes,dps,0.939s,16,5,0.312,170,544,0.312,false
23,17:36:27.697,Quaker Bot Long Strafes,dps,1.099s,23,8,0.348,272,782,0.348,false
24,17:36:30.395,Quaker Bot Long Strafes,dps,1.498s,31,12,0.387,323,1054,0.306,false
25,17:36:31.044,Quaker Bot Long Strafes,dps,0.396s,8,6,0.75,187,272,0.688,false
26,17:36:33.675,Quaker Bot Long Strafes,dps,2.377s,45,18,0.4,612,1530,0.4,false
27,17:36:35.258,Quaker Bot Long Strafes,dps,1.15s,24,11,0.458,374,816,0.458,false
28,17:36:35.868,Quaker Bot Long Strafes,dps,0.297s,7,5,0.714,170,238,0.714,false
29,17:36:36.962,Quaker Bot Long Strafes,dps,0.848s,18,9,0.5,272,612,0.444,false
30,17:36:37.904,Quaker Bot Long Strafes,dps,0.692s,12,8,0.667,272,408,0.667,false
31,17:36:39.789,Quaker Bot Long Strafes,dps,1.631s,28,10,0.357,340,952,0.357,false
32,17:36:41.304,Quaker Bot Long Strafes,dps,1.217s,22,9,0.409,306,748,0.409,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,924,381,10523.0,31416.0,

Kills:,32
Deaths:,0
Fight Time:,48.557999
Avg TTK:,0
Damage Done:,10523.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,37261.5
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,v2.6.3
Challenge Start:,17:35:42.034
Pause Count:,7
Pause Duration:,4389

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,238.080139
Resolution Scale,100.0
