Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:50:52.837,target,pistol,0s,1,1,1,100,400,0.25,false
2,20:50:53.497,target,pistol,0s,1,1,1,100,400,0.25,false
3,20:50:54.022,target,pistol,0s,1,1,1,100,400,0.25,false
4,20:50:54.592,target,pistol,0s,1,1,1,100,400,0.25,false
5,20:50:55.636,target,pistol,0.249s,2,1,0.5,100,800,0.125,false
6,20:50:56.830,target,pistol,0.21s,2,1,0.5,100,800,0.125,false
7,20:50:57.368,target,pistol,0s,1,1,1,100,400,0.25,false
8,20:50:58.140,target,pistol,0.22s,2,1,0.5,100,800,0.125,false
9,20:50:58.921,target,pistol,0s,1,1,1,100,400,0.25,false
10,20:50:59.880,target,pistol,0.001s,1,1,1,100,400,0.25,false
11,20:51:00.395,target,pistol,0s,1,1,1,100,400,0.25,false
12,20:51:00.857,target,pistol,0s,1,1,1,100,400,0.25,false
13,20:51:01.473,target,pistol,0s,1,1,1,100,400,0.25,false
14,20:51:02.106,target,pistol,0s,1,1,1,100,400,0.25,false
15,20:51:02.723,target,pistol,0.001s,1,1,1,100,400,0.25,false
16,20:51:03.212,target,pistol,0.001s,1,1,1,100,400,0.25,false
17,20:51:03.959,target,pistol,0s,1,1,1,100,400,0.25,false
18,20:51:04.683,target,pistol,0s,1,1,1,100,400,0.25,false
19,20:51:05.277,target,pistol,0s,1,1,1,100,400,0.25,false
20,20:51:05.859,target,pistol,0.001s,1,1,1,100,400,0.25,false
21,20:51:06.405,target,pistol,0s,1,1,1,100,400,0.25,false
22,20:51:07.969,target,pistol,0.669s,3,1,0.333,100,1200,0.083,false
23,20:51:08.629,target,pistol,0s,1,1,1,100,400,0.25,false
24,20:51:09.347,target,pistol,0.181s,2,1,0.5,100,800,0.125,false
25,20:51:10.176,target,pistol,0.357s,2,1,0.5,100,800,0.125,false
26,20:51:10.795,target,pistol,0s,1,1,1,100,400,0.25,false
27,20:51:11.502,target,pistol,0s,1,1,1,100,400,0.25,false
28,20:51:11.956,target,pistol,0s,1,1,1,100,400,0.25,false
29,20:51:12.705,target,pistol,0.228s,2,1,0.5,100,800,0.125,false
30,20:51:13.432,target,pistol,0s,1,1,1,100,400,0.25,false
31,20:51:14.250,target,pistol,0s,1,1,1,100,400,0.25,false
32,20:51:15.005,target,pistol,0s,1,1,1,100,400,0.25,false
33,20:51:15.515,target,pistol,0s,1,1,1,100,400,0.25,false
34,20:51:16.025,target,pistol,0.001s,1,1,1,100,400,0.25,false
35,20:51:16.448,target,pistol,0s,1,1,1,100,400,0.25,false
36,20:51:17.038,target,pistol,0s,1,1,1,100,400,0.25,false
37,20:51:17.942,target,pistol,0s,1,1,1,100,400,0.25,false
38,20:51:18.434,target,pistol,0s,1,1,1,100,400,0.25,false
39,20:51:18.826,target,pistol,0s,1,1,1,100,400,0.25,false
40,20:51:19.269,target,pistol,0s,1,1,1,100,400,0.25,false
41,20:51:20.061,target,pistol,0s,1,1,1,100,400,0.25,false
42,20:51:20.885,target,pistol,0.281s,2,1,0.5,100,800,0.125,false
43,20:51:21.294,target,pistol,0s,1,1,1,100,400,0.25,false
44,20:51:21.752,target,pistol,0s,1,1,1,100,400,0.25,false
45,20:51:22.283,target,pistol,0s,1,1,1,100,400,0.25,false
46,20:51:23.007,target,pistol,0s,1,1,1,100,400,0.25,false
47,20:51:23.385,target,pistol,0s,1,1,1,100,400,0.25,false
48,20:51:24.117,target,pistol,0s,1,1,1,100,400,0.25,false
49,20:51:24.612,target,pistol,0s,1,1,1,100,400,0.25,false
50,20:51:25.386,target,pistol,0s,1,1,1,100,400,0.25,false
51,20:51:25.990,target,pistol,0s,1,1,1,100,400,0.25,false
52,20:51:26.756,target,pistol,0.188s,2,1,0.5,100,800,0.125,false
53,20:51:27.237,target,pistol,0s,1,1,1,100,400,0.25,false
54,20:51:27.725,target,pistol,0s,1,1,1,100,400,0.25,false
55,20:51:28.572,target,pistol,0.001s,1,1,1,100,400,0.25,false
56,20:51:29.217,target,pistol,0.228s,2,1,0.5,100,800,0.125,false
57,20:51:29.640,target,pistol,0s,1,1,1,100,400,0.25,false
58,20:51:30.351,target,pistol,0s,1,1,1,100,400,0.25,false
59,20:51:30.797,target,pistol,0s,1,1,1,100,400,0.25,false
60,20:51:31.817,target,pistol,0.001s,1,1,1,100,400,0.25,false
61,20:51:32.567,target,pistol,0s,1,1,1,100,400,0.25,false
62,20:51:33.430,target,pistol,0.001s,1,1,1,100,400,0.25,false
63,20:51:34.272,target,pistol,0.001s,1,1,1,100,400,0.25,false
64,20:51:34.905,target,pistol,0s,1,1,1,100,400,0.25,false
65,20:51:35.418,target,pistol,0s,1,1,1,100,400,0.25,false
66,20:51:36.044,target,pistol,0s,1,1,1,100,400,0.25,false
67,20:51:37.361,target,pistol,0.251s,2,1,0.5,100,800,0.125,false
68,20:51:38.627,target,pistol,0s,1,1,1,100,400,0.25,false
69,20:51:39.246,target,pistol,0s,1,1,1,100,400,0.25,false
70,20:51:39.835,target,pistol,0s,1,1,1,100,400,0.25,false
71,20:51:40.425,target,pistol,0s,1,1,1,100,400,0.25,false
72,20:51:41.483,target,pistol,0.32s,2,1,0.5,100,800,0.125,false
73,20:51:42.508,target,pistol,0.274s,2,1,0.5,100,800,0.125,false
74,20:51:43.261,target,pistol,0s,1,1,1,100,400,0.25,false
75,20:51:44.286,target,pistol,0.265s,2,1,0.5,100,800,0.125,false
76,20:51:45.133,target,pistol,0.339s,2,1,0.5,100,800,0.125,false
77,20:51:45.810,target,pistol,0s,1,1,1,100,400,0.25,false
78,20:51:46.542,target,pistol,0.196s,2,1,0.5,100,800,0.125,false
79,20:51:47.371,target,pistol,0s,1,1,1,100,400,0.25,false
80,20:51:47.944,target,pistol,0s,1,1,1,100,400,0.25,false
81,20:51:48.392,target,pistol,0s,1,1,1,100,400,0.25,false
82,20:51:49.112,target,pistol,0.156s,2,1,0.5,100,800,0.125,false
83,20:51:50.010,target,pistol,0s,1,1,1,100,400,0.25,false
84,20:51:51.097,target,pistol,0.228s,2,1,0.5,100,800,0.125,false
85,20:51:52.108,target,pistol,0s,1,1,1,100,400,0.25,false
86,20:51:52.774,target,pistol,0s,1,1,1,100,400,0.25,false
87,20:51:53.294,target,pistol,0s,1,1,1,100,400,0.25,false
88,20:51:53.957,target,pistol,0s,1,1,1,100,400,0.25,false
89,20:51:54.699,target,pistol,0s,1,1,1,100,400,0.25,false
90,20:51:55.450,target,pistol,0.29s,2,1,0.5,100,800,0.125,false
91,20:51:56.277,target,pistol,0.32s,2,1,0.5,100,800,0.125,false
92,20:51:57.384,target,pistol,0s,1,1,1,100,400,0.25,false
93,20:51:57.859,target,pistol,0s,1,1,1,100,400,0.25,false
94,20:51:58.423,target,pistol,0s,1,1,1,100,400,0.25,false
95,20:51:59.113,target,pistol,0s,1,1,1,100,400,0.25,false
96,20:51:59.576,target,pistol,0s,1,1,1,100,400,0.25,false
97,20:52:00.132,target,pistol,0s,1,1,1,100,400,0.25,false
98,20:52:00.681,target,pistol,0s,1,1,1,100,400,0.25,false
99,20:52:01.410,target,pistol,0s,1,1,1,100,400,0.25,false
100,20:52:01.958,target,pistol,0s,1,1,1,100,400,0.25,false
101,20:52:02.871,target,pistol,0.001s,1,1,1,100,400,0.25,false
102,20:52:03.363,target,pistol,0s,1,1,1,100,400,0.25,false
103,20:52:03.849,target,pistol,0s,1,1,1,100,400,0.25,false
104,20:52:04.224,target,pistol,0s,1,1,1,100,400,0.25,false
105,20:52:04.840,target,pistol,0s,1,1,1,100,400,0.25,false
106,20:52:05.327,target,pistol,0s,1,1,1,100,400,0.25,false
107,20:52:06.018,target,pistol,0s,1,1,1,100,400,0.25,false
108,20:52:06.732,target,pistol,0s,1,1,1,100,400,0.25,false
109,20:52:07.495,target,pistol,0.216s,2,1,0.5,100,800,0.125,false
110,20:52:07.867,target,pistol,0s,1,1,1,100,400,0.25,false
111,20:52:08.379,target,pistol,0s,1,1,1,100,400,0.25,false
112,20:52:09.160,target,pistol,0s,1,1,1,100,400,0.25,false
113,20:52:09.925,target,pistol,0s,1,1,1,100,400,0.25,false
114,20:52:10.731,target,pistol,0s,1,1,1,100,400,0.25,false
115,20:52:11.365,target,pistol,0s,1,1,1,100,400,0.25,false
116,20:52:12.016,target,pistol,0s,1,1,1,100,400,0.25,false
117,20:52:12.550,target,pistol,0s,1,1,1,100,400,0.25,false
118,20:52:13.050,target,pistol,0s,1,1,1,100,400,0.25,false
119,20:52:13.519,target,pistol,0s,1,1,1,100,400,0.25,false
120,20:52:14.077,target,pistol,0s,1,1,1,100,400,0.25,false
121,20:52:14.570,target,pistol,0s,1,1,1,100,400,0.25,false
122,20:52:15.085,target,pistol,0.001s,1,1,1,100,400,0.25,false
123,20:52:16.043,target,pistol,0.208s,2,1,0.5,100,800,0.125,false
124,20:52:16.934,target,pistol,0.314s,2,1,0.5,100,800,0.125,false
125,20:52:17.399,target,pistol,0.001s,1,1,1,100,400,0.25,false
126,20:52:17.872,target,pistol,0s,1,1,1,100,400,0.25,false
127,20:52:18.421,target,pistol,0s,1,1,1,100,400,0.25,false
128,20:52:19.324,target,pistol,0s,1,1,1,100,400,0.25,false
129,20:52:20.086,target,pistol,0s,1,1,1,100,400,0.25,false
130,20:52:21.471,target,pistol,0.001s,1,1,1,100,400,0.25,false
131,20:52:22.262,target,pistol,0s,1,1,1,100,400,0.25,false
132,20:52:23.195,target,pistol,0.283s,2,1,0.5,100,800,0.125,false
133,20:52:23.814,target,pistol,0s,1,1,1,100,400,0.25,false
134,20:52:24.847,target,pistol,0s,1,1,1,100,400,0.25,false
135,20:52:26.031,target,pistol,0.172s,2,1,0.5,100,800,0.125,false
136,20:52:27.030,target,pistol,0s,1,1,1,100,400,0.25,false
137,20:52:27.792,target,pistol,0.251s,2,1,0.5,100,800,0.125,false
138,20:52:28.495,target,pistol,0s,1,1,1,100,400,0.25,false
139,20:52:29.631,target,pistol,0s,1,1,1,100,400,0.25,false
140,20:52:30.555,target,pistol,0.001s,1,1,1,100,400,0.25,false
141,20:52:31.313,target,pistol,0s,1,1,1,100,400,0.25,false
142,20:52:31.812,target,pistol,0s,1,1,1,100,400,0.25,false
143,20:52:32.216,target,pistol,0s,1,1,1,100,400,0.25,false
144,20:52:32.876,target,pistol,0s,1,1,1,100,400,0.25,false
145,20:52:33.596,target,pistol,0.171s,2,1,0.5,100,800,0.125,false
146,20:52:34.337,target,pistol,0s,1,1,1,100,400,0.25,false
147,20:52:34.972,target,pistol,0s,1,1,1,100,400,0.25,false
148,20:52:35.515,target,pistol,0s,1,1,1,100,400,0.25,false
149,20:52:36.220,target,pistol,0s,1,1,1,100,400,0.25,false
150,20:52:36.752,target,pistol,0s,1,1,1,100,400,0.25,false
151,20:52:37.652,target,pistol,0s,1,1,1,100,400,0.25,false
152,20:52:38.089,target,pistol,0.001s,1,1,1,100,400,0.25,false
153,20:52:38.972,target,pistol,0.448s,2,1,0.5,100,800,0.125,false
154,20:52:39.850,target,pistol,0.27s,2,1,0.5,100,800,0.125,false
