Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:00:17.921,target,pistol,0s,1,1,1,25,50,0.5,false
2,17:00:19.095,target,pistol,0.552s,2,1,0.5,25,100,0.25,false
3,17:00:19.746,target,pistol,0s,1,1,1,25,50,0.5,false
4,17:00:20.628,target,pistol,0s,1,1,1,25,50,0.5,false
5,17:00:21.497,target,pistol,0s,1,1,1,25,50,0.5,false
6,17:00:22.195,target,pistol,0s,1,1,1,25,50,0.5,false
7,17:00:23.004,target,pistol,0s,1,1,1,25,50,0.5,false
8,17:00:23.729,target,pistol,0s,1,1,1,25,50,0.5,false
9,17:00:24.385,target,pistol,0s,1,1,1,25,50,0.5,false
10,17:00:25.250,target,pistol,0.163s,2,1,0.5,25,100,0.25,false
11,17:00:26.297,target,pistol,0.285s,2,1,0.5,25,100,0.25,false
12,17:00:27.287,target,pistol,0s,1,1,1,25,50,0.5,false
13,17:00:28.338,target,pistol,0s,1,1,1,25,50,0.5,false
14,17:00:29.122,target,pistol,0s,1,1,1,25,50,0.5,false
15,17:00:30.288,target,pistol,0s,1,1,1,25,50,0.5,false
16,17:00:31.142,target,pistol,0s,1,1,1,25,50,0.5,false
17,17:00:32.162,target,pistol,0.001s,1,1,1,25,50,0.5,false
18,17:00:33.010,target,pistol,0s,1,1,1,25,50,0.5,false
19,17:00:33.866,target,pistol,0s,1,1,1,25,50,0.5,false
20,17:00:34.635,target,pistol,0s,1,1,1,25,50,0.5,false
21,17:00:35.521,target,pistol,0s,1,1,1,25,50,0.5,false
22,17:00:36.185,target,pistol,0s,1,1,1,25,50,0.5,false
23,17:00:36.783,target,pistol,0s,1,1,1,25,50,0.5,false
24,17:00:37.827,target,pistol,0.228s,2,1,0.5,25,100,0.25,false
25,17:00:38.602,target,pistol,0.001s,1,1,1,25,50,0.5,false
26,17:00:39.454,target,pistol,0s,1,1,1,25,50,0.5,false
27,17:00:40.262,target,pistol,0s,1,1,1,25,50,0.5,false
28,17:00:41.070,target,pistol,0s,1,1,1,25,50,0.5,false
29,17:00:41.752,target,pistol,0s,1,1,1,25,50,0.5,false
30,17:00:42.255,target,pistol,0s,1,1,1,25,50,0.5,false
31,17:00:42.853,target,pistol,0s,1,1,1,25,50,0.5,false
32,17:00:43.728,target,pistol,0s,1,1,1,25,50,0.5,false
33,17:00:44.354,target,pistol,0.001s,1,1,1,25,50,0.5,false
