Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:57:24.138,target,BB Gun,0s,1,1,1,1,1,1,false
2,05:57:25.037,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,05:57:25.748,target,BB Gun,0s,1,1,1,1,1,1,false
4,05:57:26.554,target,BB Gun,0s,1,1,1,1,1,1,false
5,05:57:27.139,target,BB Gun,0s,1,1,1,1,1,1,false
6,05:57:27.613,target,BB Gun,0s,1,1,1,1,1,1,false
7,05:57:28.135,target,BB Gun,0s,1,1,1,1,1,1,false
8,05:57:28.712,target,BB Gun,0s,1,1,1,1,1,1,false
9,05:57:29.389,target,BB Gun,0s,1,1,1,1,1,1,false
10,05:57:29.855,target,BB Gun,0s,1,1,1,1,1,1,false
11,05:57:30.248,target,BB Gun,0s,1,1,1,1,1,1,false
12,05:57:30.966,target,BB Gun,0s,1,1,1,1,1,1,false
13,05:57:31.642,target,BB Gun,0s,1,1,1,1,1,1,false
14,05:57:32.555,target,BB Gun,0s,1,1,1,1,1,1,false
15,05:57:33.526,target,BB Gun,0.406s,2,1,0.5,1,2,0.5,false
16,05:57:34.326,target,BB Gun,0s,1,1,1,1,1,1,false
17,05:57:35.234,target,BB Gun,0s,1,1,1,1,1,1,false
18,05:57:35.800,target,BB Gun,0s,1,1,1,1,1,1,false
19,05:57:36.294,target,BB Gun,0s,1,1,1,1,1,1,false
20,05:57:37.023,target,BB Gun,0s,1,1,1,1,1,1,false
21,05:57:37.597,target,BB Gun,0s,1,1,1,1,1,1,false
22,05:57:38.273,target,BB Gun,0s,1,1,1,1,1,1,false
23,05:57:38.797,target,BB Gun,0s,1,1,1,1,1,1,false
24,05:57:39.393,target,BB Gun,0s,1,1,1,1,1,1,false
25,05:57:40.090,target,BB Gun,0s,1,1,1,1,1,1,false
26,05:57:40.723,target,BB Gun,0s,1,1,1,1,1,1,false
27,05:57:41.398,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,05:57:42.036,target,BB Gun,0s,1,1,1,1,1,1,false
29,05:57:42.647,target,BB Gun,0.001s,1,1,1,1,1,1,false
30,05:57:43.409,target,BB Gun,0s,1,1,1,1,1,1,false
31,05:57:44.175,target,BB Gun,0.001s,1,1,1,1,1,1,false
32,05:57:44.951,target,BB Gun,0s,1,1,1,1,1,1,false
33,05:57:45.397,target,BB Gun,0s,1,1,1,1,1,1,false
34,05:57:46.098,target,BB Gun,0s,1,1,1,1,1,1,false
35,05:57:46.650,target,BB Gun,0.001s,1,1,1,1,1,1,false
36,05:57:47.436,target,BB Gun,0s,1,1,1,1,1,1,false
37,05:57:48.019,target,BB Gun,0s,1,1,1,1,1,1,false
38,05:57:48.354,target,BB Gun,0s,1,1,1,1,1,1,false
39,05:57:49.220,target,BB Gun,0s,1,1,1,1,1,1,false
40,05:57:49.975,target,BB Gun,0s,1,1,1,1,1,1,false
41,05:57:50.678,target,BB Gun,0s,1,1,1,1,1,1,false
