Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:31:22.394,test,pistol,0.924s,4,1,0.25,1000,8000,0.125,false
2,18:31:24.199,test,pistol,1.173s,2,1,0.5,1000,4000,0.25,false
3,18:31:24.801,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,18:31:25.864,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,18:31:26.805,test,pistol,0.338s,2,1,0.5,1000,4000,0.25,false
6,18:31:27.655,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
7,18:31:28.377,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,18:31:28.965,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,18:31:30.482,test,pistol,0.991s,3,1,0.333,1000,6000,0.167,false
10,18:31:31.799,test,pistol,0.737s,2,1,0.5,1000,4000,0.25,false
11,18:31:32.622,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,18:31:33.357,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,18:31:33.971,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,18:31:34.623,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,18:31:35.198,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
16,18:31:35.773,test,pistol,0s,1,1,1,1000,2000,0.5,false
17,18:31:36.325,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,18:31:37.843,test,pistol,0.601s,2,1,0.5,1000,4000,0.25,false
19,18:31:38.783,test,pistol,0.608s,3,1,0.333,1000,6000,0.167,false
20,18:31:39.285,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,18:31:39.965,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
22,18:31:40.338,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
23,18:31:40.824,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,18:31:41.314,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,18:31:42.160,test,pistol,0.296s,2,1,0.5,1000,4000,0.25,false
26,18:31:43.199,test,pistol,0.254s,2,1,0.5,1000,4000,0.25,false
27,18:31:44.385,test,pistol,0.472s,2,1,0.5,1000,4000,0.25,false
28,18:31:45.003,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,18:31:45.362,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,18:31:45.750,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,18:31:46.817,test,pistol,0.32s,2,1,0.5,1000,4000,0.25,false
32,18:31:47.312,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,18:31:47.701,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,18:31:48.996,test,pistol,0s,1,1,1,1000,2000,0.5,false
35,18:31:49.548,test,pistol,0s,1,1,1,1000,2000,0.5,false
36,18:31:50.190,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,18:31:50.543,test,pistol,0s,1,1,1,1000,2000,0.5,false
38,18:31:50.920,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,18:31:51.734,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,18:31:52.383,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,18:31:53.171,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,18:31:54.091,test,pistol,0s,1,1,1,1000,2000,0.5,false
43,18:31:54.450,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
44,18:31:55.491,test,pistol,0.345s,2,1,0.5,1000,4000,0.25,false
45,18:31:55.953,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,18:31:56.778,test,pistol,0.345s,2,1,0.5,1000,4000,0.25,false
47,18:31:57.305,test,pistol,0s,1,1,1,1000,2000,0.5,false
48,18:31:57.783,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,18:32:00.238,test,pistol,1.799s,4,1,0.25,1000,8000,0.125,false
50,18:32:00.726,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,18:32:01.527,test,pistol,0s,1,1,1,1000,2000,0.5,false
52,18:32:01.987,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,18:32:02.486,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,18:32:04.208,test,pistol,0s,1,1,1,1000,2000,0.5,false
55,18:32:05.193,test,pistol,0.272s,2,1,0.5,1000,4000,0.25,false
56,18:32:05.936,test,pistol,0.277s,2,1,0.5,1000,4000,0.25,false
57,18:32:06.773,test,pistol,0.313s,2,1,0.5,1000,4000,0.25,false
58,18:32:07.341,test,pistol,0s,1,1,1,1000,2000,0.5,false
59,18:32:08.373,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,18:32:09.558,test,pistol,0.389s,2,1,0.5,1000,4000,0.25,false
61,18:32:10.117,test,pistol,0s,1,1,1,1000,2000,0.5,false
62,18:32:13.067,test,pistol,2.132s,5,1,0.2,1000,10000,0.1,false
63,18:32:13.671,test,pistol,0s,1,1,1,1000,2000,0.5,false
