Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:34:38.316,test,pistol,0.37s,2,1,0.5,1000,4000,0.25,false
2,20:34:41.130,test,pistol,2.034s,3,1,0.333,1000,6000,0.167,false
3,20:34:42.873,test,pistol,0.898s,3,1,0.333,1000,6000,0.167,false
4,20:34:44.266,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,20:34:44.849,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,20:34:46.463,test,pistol,0.611s,2,1,0.5,1000,4000,0.25,false
7,20:34:47.578,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,20:34:48.698,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,20:34:49.549,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
10,20:34:51.160,test,pistol,1.095s,3,1,0.333,1000,6000,0.167,false
11,20:34:52.390,test,pistol,0.442s,2,1,0.5,1000,4000,0.25,false
12,20:34:53.122,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,20:34:55.026,test,pistol,0.9s,2,1,0.5,1000,4000,0.25,false
14,20:34:58.119,test,pistol,2.055s,3,1,0.333,1000,6000,0.167,false
15,20:34:59.119,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,20:35:00.592,test,pistol,0.612s,2,1,0.5,1000,4000,0.25,false
17,20:35:01.511,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,20:35:02.761,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,20:35:03.395,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,20:35:04.037,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,20:35:05.522,test,pistol,0.798s,2,1,0.5,1000,4000,0.25,false
22,20:35:07.832,test,pistol,1.15s,2,1,0.5,1000,4000,0.25,false
23,20:35:09.747,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,20:35:10.446,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
25,20:35:12.250,test,pistol,0.976s,2,1,0.5,1000,4000,0.25,false
26,20:35:12.949,test,pistol,0s,1,1,1,1000,2000,0.5,false
27,20:35:13.621,test,pistol,0s,1,1,1,1000,2000,0.5,false
28,20:35:15.752,test,pistol,0.822s,2,1,0.5,1000,4000,0.25,false
29,20:35:16.894,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,20:35:19.095,test,pistol,1.175s,2,1,0.5,1000,4000,0.25,false
31,20:35:21.069,test,pistol,0.944s,2,1,0.5,1000,4000,0.25,false
32,20:35:21.914,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,20:35:22.660,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
34,20:35:23.480,test,pistol,0s,1,1,1,1000,2000,0.5,false
35,20:35:24.136,test,pistol,0s,1,1,1,1000,2000,0.5,false
36,20:35:25.098,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,20:35:27.053,test,pistol,0.94s,3,1,0.333,1000,6000,0.167,false
38,20:35:29.851,test,pistol,1.718s,4,1,0.25,1000,8000,0.125,false
39,20:35:30.540,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,20:35:32.896,test,pistol,1.052s,2,1,0.5,1000,4000,0.25,false
41,20:35:34.427,test,pistol,0.487s,2,1,0.5,1000,4000,0.25,false
42,20:35:35.645,test,pistol,0s,1,1,1,1000,2000,0.5,false
43,20:35:36.612,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
44,20:35:37.168,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,20:35:37.982,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,20:35:39.541,test,pistol,0.795s,2,1,0.5,1000,4000,0.25,false
47,20:35:41.303,test,pistol,1.019s,3,1,0.333,1000,6000,0.167,false
48,20:35:42.441,test,pistol,0s,1,1,1,1000,2000,0.5,false
49,20:35:43.098,test,pistol,0s,1,1,1,1000,2000,0.5,false
50,20:35:43.861,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,20:35:44.845,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
52,20:35:45.435,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,20:35:46.059,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,20:35:46.909,test,pistol,0s,1,1,1,1000,2000,0.5,false
55,20:35:48.179,test,pistol,0.669s,2,1,0.5,1000,4000,0.25,false
56,20:35:49.644,test,pistol,0.321s,2,1,0.5,1000,4000,0.25,false
57,20:35:50.626,test,pistol,0s,1,1,1,1000,2000,0.5,false
58,20:35:51.260,test,pistol,0s,1,1,1,1000,2000,0.5,false
59,20:35:52.325,test,pistol,0.451s,2,1,0.5,1000,4000,0.25,false
60,20:35:53.372,test,pistol,0s,1,1,1,1000,2000,0.5,false
61,20:35:54.812,test,pistol,0.692s,2,1,0.5,1000,4000,0.25,false
62,20:35:55.386,test,pistol,0s,1,1,1,1000,2000,0.5,false
63,20:35:56.719,test,pistol,0.579s,3,1,0.333,1000,6000,0.167,false
64,20:35:57.436,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
65,20:36:00.158,test,pistol,1.288s,3,1,0.333,1000,6000,0.167,false
66,20:36:01.803,test,pistol,0.762s,2,1,0.5,1000,4000,0.25,false
67,20:36:02.780,test,pistol,0s,1,1,1,1000,2000,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,105,67,67000.0,210000.0,,,,,,false,plus.png,1.0,FFFF00,,,
Track Master 100,0,0,0.0,0.0,

Kills:,67
