Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:09:43.770,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
2,15:09:45.083,test,pistol,0.917000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
3,15:09:45.638,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
4,15:09:46.083,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
5,15:09:47.749,test,pistol,1.174000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
6,15:09:48.270,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
7,15:09:49.048,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
8,15:09:50.270,test,pistol,0.798000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
9,15:09:52.861,test,pistol,1.889000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
10,15:09:53.409,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
11,15:09:56.332,test,pistol,2.500000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0
12,15:09:56.971,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
13,15:10:01.004,test,pistol,3.421000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0
14,15:10:02.851,test,pistol,0.958000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
15,15:10:03.858,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
16,15:10:04.663,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
17,15:10:08.080,test,pistol,2.410000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0
18,15:10:11.574,test,pistol,2.890000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0
19,15:10:12.635,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
20,15:10:15.621,test,pistol,2.625000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0
21,15:10:16.323,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
22,15:10:18.066,test,pistol,1.153000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
23,15:10:19.080,test,pistol,0.513000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
24,15:10:20.080,test,pistol,0.534000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
25,15:10:21.129,test,pistol,0.583000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
26,15:10:23.379,test,pistol,1.757000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
27,15:10:26.525,test,pistol,2.729000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0
28,15:10:27.289,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
29,15:10:28.136,test,pistol,0.409000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
30,15:10:28.747,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
31,15:10:29.247,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
32,15:10:30.205,test,pistol,0.347000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
33,15:10:30.997,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
34,15:10:32.414,test,pistol,0.520000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
35,15:10:33.553,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
36,15:10:34.851,test,pistol,0.389000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
37,15:10:36.108,test,pistol,0.673000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
38,15:10:36.775,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
39,15:10:37.407,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
40,15:10:39.039,test,pistol,0.833000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
41,15:10:40.344,test,pistol,0.679000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
42,15:10:40.830,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
43,15:10:41.782,test,pistol,0.334000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
44,15:10:43.693,test,pistol,0.960000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
45,15:10:44.527,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
46,15:10:45.791,test,pistol,0.368000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
47,15:10:46.284,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
48,15:10:47.561,test,pistol,0.549000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
49,15:10:48.416,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
50,15:10:49.485,test,pistol,0.730000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
51,15:10:50.402,test,pistol,0.312000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
52,15:10:51.221,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
53,15:10:52.124,test,pistol,0.430000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
54,15:10:53.201,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
55,15:10:53.742,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
56,15:10:55.089,test,pistol,0.687000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
57,15:10:57.700,test,pistol,2.104000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
58,15:10:59.959,test,pistol,0.640000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
59,15:11:00.997,test,pistol,0.482000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
60,15:11:01.539,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
