Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:06:47.993,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
2,21:06:48.546,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
3,21:06:49.314,test,pistol,0.176000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
4,21:06:49.998,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
5,21:06:50.562,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
6,21:06:51.240,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
7,21:06:52.474,test,pistol,0.796000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
8,21:06:53.044,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
9,21:06:53.693,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
10,21:06:54.074,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
11,21:06:54.811,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
12,21:06:56.092,test,pistol,0.382000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
13,21:06:56.454,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
14,21:06:57.157,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
15,21:06:58.765,test,pistol,1.117000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
16,21:07:00.016,test,pistol,0.748000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
17,21:07:00.596,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
18,21:07:01.125,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
19,21:07:01.554,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
20,21:07:02.114,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
21,21:07:02.448,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
22,21:07:03.000,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
23,21:07:03.490,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
24,21:07:04.688,test,pistol,0.483000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
25,21:07:05.178,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
26,21:07:07.929,test,pistol,2.279000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0
27,21:07:08.465,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
28,21:07:09.417,test,pistol,0.585000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
29,21:07:09.767,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
30,21:07:10.574,test,pistol,0.460000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
31,21:07:11.083,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
32,21:07:11.573,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
33,21:07:13.466,test,pistol,1.191000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0
34,21:07:14.453,test,pistol,0.344000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
35,21:07:16.891,test,pistol,1.947000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0
36,21:07:18.272,test,pistol,0.740000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
37,21:07:18.805,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
38,21:07:19.453,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
39,21:07:20.291,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
40,21:07:20.663,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
41,21:07:21.247,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
42,21:07:22.382,test,pistol,0.522000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
43,21:07:22.899,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
44,21:07:24.180,test,pistol,0.719000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
45,21:07:25.087,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
46,21:07:26.032,test,pistol,0.366000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
47,21:07:27.397,test,pistol,0.843000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
48,21:07:27.833,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
49,21:07:31.357,test,pistol,3.189000s,6,1,0.166667,1000.000000,12000.000000,0.083333,0
50,21:07:32.151,test,pistol,0.310000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
51,21:07:32.770,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
52,21:07:33.742,test,pistol,0.426000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
53,21:07:34.431,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
54,21:07:34.857,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
55,21:07:35.262,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
56,21:07:35.856,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
57,21:07:36.582,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
58,21:07:36.930,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
59,21:07:38.530,test,pistol,1.069000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
60,21:07:39.759,test,pistol,0.570000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
61,21:07:40.100,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
62,21:07:40.826,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
63,21:07:41.538,test,pistol,0.232000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
64,21:07:41.924,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
65,21:07:43.079,test,pistol,0.843000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
66,21:07:44.083,test,pistol,0.566000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
67,21:07:44.822,test,pistol,0.472000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
68,21:07:45.578,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
69,21:07:46.482,test,pistol,0.359000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
70,21:07:48.115,test,pistol,0.981000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
71,21:07:49.083,test,pistol,0.342000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
72,21:07:49.579,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
73,21:07:50.147,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
74,21:07:50.889,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
75,21:07:52.805,test,pistol,1.210000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
76,21:07:53.376,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
77,21:07:53.865,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
78,21:07:54.359,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
79,21:07:54.814,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
80,21:07:55.434,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
81,21:07:56.025,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
82,21:07:56.456,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
83,21:07:57.492,test,pistol,0.554000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
84,21:07:57.863,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
85,21:07:58.557,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
86,21:07:59.014,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
87,21:07:59.765,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
88,21:08:00.306,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
89,21:08:02.102,test,pistol,1.000000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
90,21:08:02.503,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
91,21:08:02.993,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
92,21:08:03.513,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
93,21:08:04.152,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
94,21:08:04.870,test,pistol,0.364000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
95,21:08:05.295,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
96,21:08:05.696,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
97,21:08:06.081,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
98,21:08:07.555,test,pistol,0.880000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
99,21:08:08.991,test,pistol,1.068000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
100,21:08:09.422,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
101,21:08:10.856,test,pistol,0.930000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
102,21:08:11.466,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
103,21:08:12.595,test,pistol,0.732000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,160,103,103000.0,320000.0,,,,,,false,plus.png,1.0,0FF0FF000,,,

Kills:,103
Deaths:,0
Fight Time:,29.800001
Avg TTK:,1.2027
Damage Done:,103000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,103.0
Scenario:,1wall5targets_pasu slow
Hash:,34d01e2d8031855ba42b1084bdb1ccc2
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,53
Pause Duration:,-2147483648.0

Input Lag:,0
Max FPS (config):,360.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,301.138306
Resolution Scale:,100.0
