Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:56:20.354,test,pistol,0.419s,2,1,0.5,1000,4000,0.25,false
2,17:56:22.996,test,pistol,1.185s,2,1,0.5,1000,4000,0.25,false
3,17:56:24.505,test,pistol,0.695s,2,1,0.5,1000,4000,0.25,false
4,17:56:26.838,test,pistol,1.466s,3,1,0.333,1000,6000,0.167,false
5,17:56:32.016,test,pistol,4.244s,4,1,0.25,1000,8000,0.125,false
6,17:56:34.261,test,pistol,0.89s,2,1,0.5,1000,4000,0.25,false
7,17:56:35.529,test,pistol,0.39s,2,1,0.5,1000,4000,0.25,false
8,17:56:37.156,test,pistol,0.645s,2,1,0.5,1000,4000,0.25,false
9,17:56:38.158,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,17:56:39.600,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,17:56:42.535,test,pistol,2.103s,3,1,0.333,1000,6000,0.167,false
12,17:56:46.775,test,pistol,2.511s,5,1,0.2,1000,10000,0.1,false
13,17:56:47.921,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,17:56:50.315,test,pistol,1.679s,4,1,0.25,1000,8000,0.125,false
15,17:56:52.257,test,pistol,0.949s,2,1,0.5,1000,4000,0.25,false
16,17:56:57.760,test,pistol,4.323s,5,1,0.2,1000,10000,0.1,false
17,17:56:59.855,test,pistol,0.621s,2,1,0.5,1000,4000,0.25,false
18,17:57:04.340,test,pistol,3.769s,8,1,0.125,1000,16000,0.062,false
19,17:57:08.266,test,pistol,2.493s,4,1,0.25,1000,8000,0.125,false
20,17:57:11.220,test,pistol,2.004s,3,1,0.333,1000,6000,0.167,false
21,17:57:11.980,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
22,17:57:12.844,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
23,17:57:13.540,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,17:57:14.442,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,17:57:15.276,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,17:57:16.393,test,pistol,0.322s,2,1,0.5,1000,4000,0.25,false
27,17:57:19.067,test,pistol,1.986s,3,1,0.333,1000,6000,0.167,false
28,17:57:19.973,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,17:57:21.012,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,17:57:22.238,test,pistol,0s,1,1,1,1000,2000,0.5,false
31,17:57:33.865,test,pistol,10.492s,14,1,0.071,1000,28000,0.036,false
32,17:57:36.017,test,pistol,0.431s,2,1,0.5,1000,4000,0.25,false
33,17:57:41.520,test,pistol,4.553s,6,1,0.167,1000,12000,0.083,false
34,17:57:42.506,test,pistol,0s,1,1,1,1000,2000,0.5,false
35,17:57:43.829,test,pistol,0.44s,2,1,0.5,1000,4000,0.25,false
36,17:57:44.876,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,17:57:46.406,test,pistol,0.519s,2,1,0.5,1000,4000,0.25,false
38,17:57:47.590,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
39,17:57:49.621,test,pistol,1.095s,2,1,0.5,1000,4000,0.25,false
40,17:57:51.002,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,17:57:52.316,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,17:57:55.260,test,pistol,1.784s,2,1,0.5,1000,4000,0.25,false
43,17:57:55.881,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,17:57:56.735,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,17:58:01.355,test,pistol,3.35s,6,1,0.167,1000,12000,0.083,false
