Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:44:10.115,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
2,11:44:11.107,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
3,11:44:12.046,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
4,11:44:13.049,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
5,11:44:13.781,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
6,11:44:14.461,target,LG,0.246000s,6,6,1.000000,1.050000,1.050000,1.000000,0
7,11:44:15.193,target,LG,0.347000s,8,6,0.750000,1.050000,1.400000,0.750000,0
8,11:44:16.179,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
9,11:44:17.665,target,LG,0.899000s,11,11,1.000000,1.925000,1.925000,1.000000,0
10,11:44:18.250,target,LG,0.000000s,1,1,1.000000,0.175000,0.175000,1.000000,0
11,11:44:19.090,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
12,11:44:19.558,target,LG,0.246000s,6,6,1.000000,1.050000,1.050000,1.000000,0
13,11:44:20.194,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
14,11:44:20.941,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
15,11:44:21.938,target,LG,0.448000s,10,6,0.600000,1.050000,1.750000,0.600000,0
16,11:44:22.807,target,LG,0.448000s,10,6,0.600000,1.050000,1.750000,0.600000,0
17,11:44:23.380,target,LG,0.246000s,6,6,1.000000,1.050000,1.050000,1.000000,0
18,11:44:24.093,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
19,11:44:24.743,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
20,11:44:25.555,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
21,11:44:26.614,target,LG,0.246000s,6,6,1.000000,1.050000,1.050000,1.000000,0
22,11:44:27.276,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
23,11:44:28.322,target,LG,0.546000s,12,6,0.500000,1.050000,2.100000,0.500000,0
24,11:44:29.166,target,LG,0.499000s,11,6,0.545455,1.050000,1.925000,0.545455,0
25,11:44:30.063,target,LG,0.403000s,9,6,0.666667,1.050000,1.575000,0.666667,0
26,11:44:31.080,target,LG,0.245000s,6,6,1.000000,1.050000,1.050000,1.000000,0
27,11:44:31.674,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
28,11:44:32.798,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
29,11:44:33.783,target,LG,0.245000s,6,6,1.000000,1.050000,1.050000,1.000000,0
30,11:44:34.456,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
31,11:44:35.548,target,LG,0.448000s,10,6,0.600000,1.050000,1.750000,0.600000,0
32,11:44:36.631,target,LG,0.447000s,10,6,0.600000,1.050000,1.750000,0.600000,0
33,11:44:37.551,target,LG,0.446000s,10,6,0.600000,1.050000,1.750000,0.600000,0
34,11:44:38.381,target,LG,0.297000s,7,6,0.857143,1.050000,1.225000,0.857143,0
35,11:44:39.190,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
36,11:44:40.066,target,LG,0.250000s,6,6,1.000000,1.050000,1.050000,1.000000,0
37,11:44:40.997,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
38,11:44:41.623,target,LG,0.245000s,6,6,1.000000,1.050000,1.050000,1.000000,0
39,11:44:42.249,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
40,11:44:42.850,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
41,11:44:43.544,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
42,11:44:44.621,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
43,11:44:45.496,target,LG,0.246000s,6,6,1.000000,1.050000,1.050000,1.000000,0
44,11:44:46.180,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
45,11:44:47.088,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
46,11:44:47.812,target,LG,0.382000s,8,6,0.750000,1.050000,1.400000,0.750000,0
47,11:44:48.668,target,LG,0.248000s,6,6,1.000000,1.050000,1.050000,1.000000,0
48,11:44:49.552,target,LG,0.499000s,11,6,0.545455,1.050000,1.925000,0.545455,0
49,11:44:50.462,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
50,11:44:51.338,target,LG,0.446000s,10,6,0.600000,1.050000,1.750000,0.600000,0
51,11:44:52.105,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
52,11:44:52.910,target,LG,0.250000s,6,6,1.000000,1.050000,1.050000,1.000000,0
53,11:44:54.838,target,LG,1.123000s,11,11,1.000000,1.925000,1.925000,1.000000,0
54,11:44:55.630,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
55,11:44:56.655,target,LG,0.246000s,6,6,1.000000,1.050000,1.050000,1.000000,0
56,11:44:57.517,target,LG,0.246000s,6,6,1.000000,1.050000,1.050000,1.000000,0
57,11:44:58.432,target,LG,0.249000s,6,6,1.000000,1.050000,1.050000,1.000000,0
58,11:44:59.070,target,LG,0.297000s,7,6,0.857143,1.050000,1.225000,0.857143,0
59,11:44:59.810,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
60,11:45:00.720,target,LG,0.247000s,6,6,1.000000,1.050000,1.050000,1.000000,0
61,11:45:01.732,target,LG,0.448000s,10,6,0.600000,1.050000,1.750000,0.600000,0
62,11:45:02.276,target,LG,0.000000s,1,1,1.000000,0.175000,0.175000,1.000000,0
