Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:55:16.290,target,BB Gun,0.561s,2,1,0.5,1,2,0.5,true
2,02:55:16.859,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,02:55:17.391,target,BB Gun,0s,1,1,1,1,1,1,false
4,02:55:17.952,target,BB Gun,0s,1,1,1,1,1,1,false
5,02:55:18.369,target,BB Gun,0s,1,1,1,1,1,1,false
6,02:55:18.823,target,BB Gun,0s,1,1,1,1,1,1,false
7,02:55:19.216,target,BB Gun,0s,1,1,1,1,1,1,false
8,02:55:19.549,target,BB Gun,0s,1,1,1,1,1,1,false
9,02:55:19.905,target,BB Gun,0s,1,1,1,1,1,1,false
10,02:55:20.222,target,BB Gun,0s,1,1,1,1,1,1,false
11,02:55:20.825,target,BB Gun,0s,1,1,1,1,1,1,false
12,02:55:21.399,target,BB Gun,0s,1,1,1,1,1,1,false
13,02:55:21.888,target,BB Gun,0s,1,1,1,1,1,1,false
14,02:55:22.387,target,BB Gun,0s,1,1,1,1,1,1,false
15,02:55:22.947,target,BB Gun,0s,1,1,1,1,1,1,false
16,02:55:23.321,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,02:55:23.849,target,BB Gun,0s,1,1,1,1,1,1,false
18,02:55:24.278,target,BB Gun,0s,1,1,1,1,1,1,false
19,02:55:24.779,target,BB Gun,0s,1,1,1,1,1,1,false
20,02:55:25.080,target,BB Gun,0s,1,1,1,1,1,1,false
21,02:55:25.671,target,BB Gun,0s,1,1,1,1,1,1,false
22,02:55:26.172,target,BB Gun,0s,1,1,1,1,1,1,false
23,02:55:27.294,target,BB Gun,0.581s,2,1,0.5,1,2,0.5,false
24,02:55:27.884,target,BB Gun,0s,1,1,1,1,1,1,false
25,02:55:28.444,target,BB Gun,0s,1,1,1,1,1,1,false
26,02:55:28.906,target,BB Gun,0s,1,1,1,1,1,1,false
27,02:55:29.291,target,BB Gun,0s,1,1,1,1,1,1,false
28,02:55:29.626,target,BB Gun,0s,1,1,1,1,1,1,false
29,02:55:30.077,target,BB Gun,0s,1,1,1,1,1,1,false
30,02:55:30.412,target,BB Gun,0s,1,1,1,1,1,1,false
31,02:55:30.932,target,BB Gun,0s,1,1,1,1,1,1,false
32,02:55:31.290,target,BB Gun,0s,1,1,1,1,1,1,false
33,02:55:31.667,target,BB Gun,0s,1,1,1,1,1,1,false
34,02:55:32.132,target,BB Gun,0.001s,1,1,1,1,1,1,false
35,02:55:32.618,target,BB Gun,0s,1,1,1,1,1,1,false
36,02:55:33.126,target,BB Gun,0s,1,1,1,1,1,1,false
37,02:55:33.607,target,BB Gun,0s,1,1,1,1,1,1,false
38,02:55:34.067,target,BB Gun,0s,1,1,1,1,1,1,false
39,02:55:34.555,target,BB Gun,0s,1,1,1,1,1,1,false
40,02:55:34.918,target,BB Gun,0s,1,1,1,1,1,1,false
41,02:55:35.295,target,BB Gun,0s,1,1,1,1,1,1,false
42,02:55:36.189,target,BB Gun,0.406s,2,1,0.5,1,2,0.5,false
43,02:55:36.605,target,BB Gun,0s,1,1,1,1,1,1,false
44,02:55:37.104,target,BB Gun,0s,1,1,1,1,1,1,false
45,02:55:37.482,target,BB Gun,0s,1,1,1,1,1,1,false
46,02:55:37.894,target,BB Gun,0s,1,1,1,1,1,1,false
47,02:55:38.252,target,BB Gun,0.001s,1,1,1,1,1,1,false
48,02:55:39.058,target,BB Gun,0.41s,2,1,0.5,1,2,0.5,false
49,02:55:40.097,target,BB Gun,0.505s,2,1,0.5,1,2,0.5,false
50,02:55:40.539,target,BB Gun,0s,1,1,1,1,1,1,false
51,02:55:40.827,target,BB Gun,0s,1,1,1,1,1,1,false
52,02:55:41.119,target,BB Gun,0s,1,1,1,1,1,1,false
53,02:55:41.524,target,BB Gun,0.001s,1,1,1,1,1,1,false
54,02:55:41.967,target,BB Gun,0s,1,1,1,1,1,1,false
55,02:55:42.444,target,BB Gun,0s,1,1,1,1,1,1,false
56,02:55:42.807,target,BB Gun,0.001s,1,1,1,1,1,1,false
57,02:55:43.127,target,BB Gun,0s,1,1,1,1,1,1,false
58,02:55:43.460,target,BB Gun,0s,1,1,1,1,1,1,false
59,02:55:43.822,target,BB Gun,0s,1,1,1,1,1,1,false
60,02:55:44.384,target,BB Gun,0.215s,2,1,0.5,1,2,0.5,false
61,02:55:44.980,target,BB Gun,0s,1,1,1,1,1,1,false
62,02:55:45.558,target,BB Gun,0s,1,1,1,1,1,1,false
63,02:55:45.872,target,BB Gun,0s,1,1,1,1,1,1,false
64,02:55:46.724,target,BB Gun,0.439s,2,1,0.5,1,2,0.5,false
65,02:55:47.095,target,BB Gun,0s,1,1,1,1,1,1,false
66,02:55:47.490,target,BB Gun,0s,1,1,1,1,1,1,false
67,02:55:47.772,target,BB Gun,0s,1,1,1,1,1,1,false
68,02:55:48.141,target,BB Gun,0s,1,1,1,1,1,1,false
69,02:55:48.456,target,BB Gun,0s,1,1,1,1,1,1,false
70,02:55:48.782,target,BB Gun,0s,1,1,1,1,1,1,false
71,02:55:49.222,target,BB Gun,0s,1,1,1,1,1,1,false
72,02:55:49.716,target,BB Gun,0s,1,1,1,1,1,1,false
73,02:55:50.285,target,BB Gun,0s,1,1,1,1,1,1,false
74,02:55:51.091,target,BB Gun,0.418s,2,1,0.5,1,2,0.5,false
75,02:55:51.618,target,BB Gun,0s,1,1,1,1,1,1,false
76,02:55:51.931,target,BB Gun,0s,1,1,1,1,1,1,false
77,02:55:52.560,target,BB Gun,0s,1,1,1,1,1,1,false
78,02:55:52.890,target,BB Gun,0s,1,1,1,1,1,1,false
79,02:55:53.257,target,BB Gun,0s,1,1,1,1,1,1,false
80,02:55:53.716,target,BB Gun,0s,1,1,1,1,1,1,false
81,02:55:54.068,target,BB Gun,0s,1,1,1,1,1,1,false
82,02:55:54.432,target,BB Gun,0s,1,1,1,1,1,1,false
83,02:55:54.857,target,BB Gun,0s,1,1,1,1,1,1,false
84,02:55:55.273,target,BB Gun,0s,1,1,1,1,1,1,false
85,02:55:55.910,target,BB Gun,0s,1,1,1,1,1,1,false
86,02:55:56.163,target,BB Gun,0.001s,1,1,1,1,1,1,false
87,02:55:56.713,target,BB Gun,0.181s,2,1,0.5,1,2,0.5,false
88,02:55:57.490,target,BB Gun,0.302s,2,1,0.5,1,2,0.5,false
89,02:55:58.383,target,BB Gun,0.636s,3,1,0.333,1,3,0.333,false
90,02:55:58.765,target,BB Gun,0s,1,1,1,1,1,1,false
91,02:55:59.373,target,BB Gun,0s,1,1,1,1,1,1,false
92,02:56:00.055,target,BB Gun,0s,1,1,1,1,1,1,false
93,02:56:00.486,target,BB Gun,0s,1,1,1,1,1,1,false
94,02:56:01.942,target,BB Gun,0.858s,3,1,0.333,1,3,0.333,false
95,02:56:02.506,target,BB Gun,0s,1,1,1,1,1,1,false
96,02:56:02.936,target,BB Gun,0s,1,1,1,1,1,1,false
97,02:56:03.245,target,BB Gun,0s,1,1,1,1,1,1,false
98,02:56:03.617,target,BB Gun,0s,1,1,1,1,1,1,false
99,02:56:04.481,target,BB Gun,0.482s,2,1,0.5,1,2,0.5,false
100,02:56:05.508,target,BB Gun,0.558s,2,1,0.5,1,2,0.5,false
101,02:56:06.094,target,BB Gun,0s,1,1,1,1,1,1,false
102,02:56:06.625,target,BB Gun,0s,1,1,1,1,1,1,false
103,02:56:07.153,target,BB Gun,0s,1,1,1,1,1,1,false
104,02:56:07.520,target,BB Gun,0s,1,1,1,1,1,1,false
105,02:56:07.849,target,BB Gun,0s,1,1,1,1,1,1,false
106,02:56:08.293,target,BB Gun,0s,1,1,1,1,1,1,false
107,02:56:08.644,target,BB Gun,0s,1,1,1,1,1,1,false
108,02:56:09.280,target,BB Gun,0s,1,1,1,1,1,1,false
109,02:56:09.613,target,BB Gun,0.001s,1,1,1,1,1,1,false
110,02:56:09.949,target,BB Gun,0s,1,1,1,1,1,1,false
111,02:56:10.821,target,BB Gun,0.557s,2,1,0.5,1,2,0.5,false
112,02:56:11.477,target,BB Gun,0.215s,2,1,0.5,1,2,0.5,false
113,02:56:11.902,target,BB Gun,0s,1,1,1,1,1,1,false
114,02:56:12.317,target,BB Gun,0s,1,1,1,1,1,1,false
115,02:56:12.637,target,BB Gun,0.001s,1,1,1,1,1,1,false
116,02:56:13.005,target,BB Gun,0s,1,1,1,1,1,1,false
117,02:56:13.318,target,BB Gun,0s,1,1,1,1,1,1,false
118,02:56:14.124,target,BB Gun,0.456s,2,1,0.5,1,2,0.5,false
119,02:56:14.670,target,BB Gun,0s,1,1,1,1,1,1,false
120,02:56:15.282,target,BB Gun,0s,1,1,1,1,1,1,false
121,02:56:15.637,target,BB Gun,0s,1,1,1,1,1,1,false
122,02:56:16.150,target,BB Gun,0s,1,1,1,1,1,1,false
123,02:56:17.120,target,BB Gun,0.623s,2,1,0.5,1,2,0.5,false
124,02:56:17.631,target,BB Gun,0s,1,1,1,1,1,1,false
125,02:56:18.737,target,BB Gun,0.6s,2,1,0.5,1,2,0.5,false
126,02:56:19.226,target,BB Gun,0s,1,1,1,1,1,1,false
127,02:56:19.601,target,BB Gun,0s,1,1,1,1,1,1,false
128,02:56:20.064,target,BB Gun,0s,1,1,1,1,1,1,false
129,02:56:20.885,target,BB Gun,0.547s,2,1,0.5,1,2,0.5,false
130,02:56:21.456,target,BB Gun,0s,1,1,1,1,1,1,false
131,02:56:22.358,target,BB Gun,0.607s,3,1,0.333,1,3,0.333,false
132,02:56:22.909,target,BB Gun,0s,1,1,1,1,1,1,false
133,02:56:23.320,target,BB Gun,0s,1,1,1,1,1,1,false
134,02:56:23.834,target,BB Gun,0s,1,1,1,1,1,1,false
135,02:56:24.292,target,BB Gun,0s,1,1,1,1,1,1,false
136,02:56:24.657,target,BB Gun,0s,1,1,1,1,1,1,false
137,02:56:25.091,target,BB Gun,0s,1,1,1,1,1,1,false
138,02:56:25.668,target,BB Gun,0.001s,1,1,1,1,1,1,false
139,02:56:26.074,target,BB Gun,0s,1,1,1,1,1,1,false
140,02:56:26.427,target,BB Gun,0s,1,1,1,1,1,1,false
141,02:56:26.829,target,BB Gun,0.001s,1,1,1,1,1,1,false
142,02:56:27.172,target,BB Gun,0s,1,1,1,1,1,1,false
143,02:56:27.509,target,BB Gun,0s,1,1,1,1,1,1,false
