Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:50:57.420,target,pistol,0s,1,1,1,25,50,0.5,false
2,17:50:57.707,target,pistol,0.001s,1,1,1,25,50,0.5,false
3,17:50:57.984,target,pistol,0s,1,1,1,25,50,0.5,false
4,17:50:58.528,target,pistol,0.287s,2,1,0.5,25,100,0.25,false
5,17:50:58.767,target,pistol,0.001s,1,1,1,25,50,0.5,false
6,17:50:59.095,target,pistol,0.001s,1,1,1,25,50,0.5,false
7,17:50:59.497,target,pistol,0s,1,1,1,25,50,0.5,false
8,17:50:59.866,target,pistol,0s,1,1,1,25,50,0.5,false
9,17:51:00.194,target,pistol,0s,1,1,1,25,50,0.5,false
10,17:51:00.743,target,pistol,0s,1,1,1,25,50,0.5,false
11,17:51:01.379,target,pistol,0s,1,1,1,25,50,0.5,false
12,17:51:01.606,target,pistol,0s,1,1,1,25,50,0.5,false
13,17:51:01.841,target,pistol,0.001s,1,1,1,25,50,0.5,false
14,17:51:02.414,target,pistol,0.329s,2,1,0.5,25,100,0.25,false
15,17:51:02.628,target,pistol,0s,1,1,1,25,50,0.5,false
16,17:51:02.900,target,pistol,0s,1,1,1,25,50,0.5,false
17,17:51:03.191,target,pistol,0s,1,1,1,25,50,0.5,false
18,17:51:03.461,target,pistol,0.001s,1,1,1,25,50,0.5,false
19,17:51:03.761,target,pistol,0s,1,1,1,25,50,0.5,false
20,17:51:04.208,target,pistol,0s,1,1,1,25,50,0.5,false
21,17:51:04.556,target,pistol,0s,1,1,1,25,50,0.5,false
22,17:51:04.824,target,pistol,0s,1,1,1,25,50,0.5,false
23,17:51:05.069,target,pistol,0s,1,1,1,25,50,0.5,false
24,17:51:05.288,target,pistol,0s,1,1,1,25,50,0.5,false
25,17:51:05.542,target,pistol,0s,1,1,1,25,50,0.5,false
26,17:51:05.754,target,pistol,0s,1,1,1,25,50,0.5,false
27,17:51:06.007,target,pistol,0s,1,1,1,25,50,0.5,false
28,17:51:06.227,target,pistol,0s,1,1,1,25,50,0.5,false
29,17:51:06.541,target,pistol,0s,1,1,1,25,50,0.5,false
30,17:51:06.872,target,pistol,0s,1,1,1,25,50,0.5,false
31,17:51:07.117,target,pistol,0s,1,1,1,25,50,0.5,false
32,17:51:07.594,target,pistol,0s,1,1,1,25,50,0.5,false
33,17:51:07.846,target,pistol,0s,1,1,1,25,50,0.5,false
34,17:51:08.103,target,pistol,0s,1,1,1,25,50,0.5,false
35,17:51:08.374,target,pistol,0s,1,1,1,25,50,0.5,false
36,17:51:08.680,target,pistol,0s,1,1,1,25,50,0.5,false
37,17:51:08.915,target,pistol,0s,1,1,1,25,50,0.5,false
38,17:51:09.243,target,pistol,0s,1,1,1,25,50,0.5,false
39,17:51:09.562,target,pistol,0s,1,1,1,25,50,0.5,false
40,17:51:09.918,target,pistol,0.001s,1,1,1,25,50,0.5,false
41,17:51:10.208,target,pistol,0s,1,1,1,25,50,0.5,false
42,17:51:10.436,target,pistol,0s,1,1,1,25,50,0.5,false
43,17:51:10.712,target,pistol,0s,1,1,1,25,50,0.5,false
44,17:51:11.279,target,pistol,0.233s,2,1,0.5,25,100,0.25,false
45,17:51:11.849,target,pistol,0.267s,2,1,0.5,25,100,0.25,false
46,17:51:12.050,target,pistol,0s,1,1,1,25,50,0.5,false
47,17:51:12.714,target,pistol,0.39s,2,1,0.5,25,100,0.25,false
48,17:51:13.258,target,pistol,0.261s,2,1,0.5,25,100,0.25,false
49,17:51:13.540,target,pistol,0s,1,1,1,25,50,0.5,false
50,17:51:13.788,target,pistol,0s,1,1,1,25,50,0.5,false
51,17:51:14.063,target,pistol,0s,1,1,1,25,50,0.5,false
52,17:51:14.378,target,pistol,0s,1,1,1,25,50,0.5,false
53,17:51:14.608,target,pistol,0s,1,1,1,25,50,0.5,false
54,17:51:14.844,target,pistol,0s,1,1,1,25,50,0.5,false
55,17:51:15.102,target,pistol,0s,1,1,1,25,50,0.5,false
56,17:51:15.397,target,pistol,0s,1,1,1,25,50,0.5,false
57,17:51:15.747,target,pistol,0s,1,1,1,25,50,0.5,false
58,17:51:15.969,target,pistol,0s,1,1,1,25,50,0.5,false
59,17:51:16.193,target,pistol,0s,1,1,1,25,50,0.5,false
60,17:51:16.504,target,pistol,0s,1,1,1,25,50,0.5,false
61,17:51:16.991,target,pistol,0s,1,1,1,25,50,0.5,false
62,17:51:17.490,target,pistol,0s,1,1,1,25,50,0.5,false
63,17:51:17.774,target,pistol,0s,1,1,1,25,50,0.5,false
64,17:51:18.087,target,pistol,0s,1,1,1,25,50,0.5,false
65,17:51:18.427,target,pistol,0s,1,1,1,25,50,0.5,false
66,17:51:18.642,target,pistol,0s,1,1,1,25,50,0.5,false
67,17:51:18.943,target,pistol,0s,1,1,1,25,50,0.5,false
68,17:51:19.252,target,pistol,0s,1,1,1,25,50,0.5,false
69,17:51:19.561,target,pistol,0.001s,1,1,1,25,50,0.5,false
70,17:51:19.781,target,pistol,0s,1,1,1,25,50,0.5,false
71,17:51:19.998,target,pistol,0s,1,1,1,25,50,0.5,false
72,17:51:20.311,target,pistol,0s,1,1,1,25,50,0.5,false
73,17:51:20.579,target,pistol,0s,1,1,1,25,50,0.5,false
74,17:51:20.827,target,pistol,0s,1,1,1,25,50,0.5,false
75,17:51:21.102,target,pistol,0s,1,1,1,25,50,0.5,false
76,17:51:21.400,target,pistol,0s,1,1,1,25,50,0.5,false
77,17:51:21.676,target,pistol,0s,1,1,1,25,50,0.5,false
78,17:51:21.960,target,pistol,0s,1,1,1,25,50,0.5,false
79,17:51:22.296,target,pistol,0s,1,1,1,25,50,0.5,false
80,17:51:22.580,target,pistol,0s,1,1,1,25,50,0.5,false
81,17:51:22.842,target,pistol,0s,1,1,1,25,50,0.5,false
82,17:51:23.078,target,pistol,0s,1,1,1,25,50,0.5,false
83,17:51:23.414,target,pistol,0s,1,1,1,25,50,0.5,false
84,17:51:23.730,target,pistol,0s,1,1,1,25,50,0.5,false
85,17:51:23.965,target,pistol,0.001s,1,1,1,25,50,0.5,false
86,17:51:24.230,target,pistol,0s,1,1,1,25,50,0.5,false
87,17:51:24.712,target,pistol,0.269s,2,1,0.5,25,100,0.25,false
88,17:51:24.941,target,pistol,0s,1,1,1,25,50,0.5,false
89,17:51:25.186,target,pistol,0s,1,1,1,25,50,0.5,false
90,17:51:25.456,target,pistol,0s,1,1,1,25,50,0.5,false
91,17:51:26.059,target,pistol,0.366s,2,1,0.5,25,100,0.25,false
92,17:51:26.246,target,pistol,0s,1,1,1,25,50,0.5,false
93,17:51:26.530,target,pistol,0s,1,1,1,25,50,0.5,false
94,17:51:26.773,target,pistol,0s,1,1,1,25,50,0.5,false
95,17:51:27.070,target,pistol,0s,1,1,1,25,50,0.5,false
96,17:51:27.319,target,pistol,0s,1,1,1,25,50,0.5,false
97,17:51:27.569,target,pistol,0s,1,1,1,25,50,0.5,false
98,17:51:27.780,target,pistol,0s,1,1,1,25,50,0.5,false
99,17:51:28.059,target,pistol,0s,1,1,1,25,50,0.5,false
100,17:51:28.353,target,pistol,0.001s,1,1,1,25,50,0.5,false
101,17:51:28.629,target,pistol,0s,1,1,1,25,50,0.5,false
102,17:51:28.862,target,pistol,0s,1,1,1,25,50,0.5,false
103,17:51:29.065,target,pistol,0s,1,1,1,25,50,0.5,false
104,17:51:29.303,target,pistol,0s,1,1,1,25,50,0.5,false
105,17:51:29.835,target,pistol,0.262s,2,1,0.5,25,100,0.25,false
106,17:51:30.086,target,pistol,0.001s,1,1,1,25,50,0.5,false
107,17:51:30.446,target,pistol,0s,1,1,1,25,50,0.5,false
108,17:51:30.745,target,pistol,0s,1,1,1,25,50,0.5,false
109,17:51:31.001,target,pistol,0s,1,1,1,25,50,0.5,false
110,17:51:31.276,target,pistol,0s,1,1,1,25,50,0.5,false
111,17:51:31.506,target,pistol,0s,1,1,1,25,50,0.5,false
112,17:51:31.761,target,pistol,0s,1,1,1,25,50,0.5,false
113,17:51:32.002,target,pistol,0s,1,1,1,25,50,0.5,false
114,17:51:32.281,target,pistol,0s,1,1,1,25,50,0.5,false
