Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:16:46.953,target,BB Gun,0s,1,1,1,1,1,1,false
2,21:16:47.453,target,BB Gun,0s,1,1,1,1,1,1,false
3,21:16:47.970,target,BB Gun,0s,1,1,1,1,1,1,false
4,21:16:48.436,target,BB Gun,0s,1,1,1,1,1,1,false
5,21:16:48.828,target,BB Gun,0s,1,1,1,1,1,1,false
6,21:16:49.356,target,BB Gun,0.17s,2,1,0.5,1,2,0.5,false
7,21:16:49.893,target,BB Gun,0s,1,1,1,1,1,1,false
8,21:16:50.705,target,BB Gun,0.472s,2,1,0.5,1,2,0.5,false
9,21:16:51.099,target,BB Gun,0s,1,1,1,1,1,1,false
10,21:16:52.218,target,BB Gun,0.388s,2,1,0.5,1,2,0.5,false
11,21:16:52.599,target,BB Gun,0s,1,1,1,1,1,1,false
12,21:16:53.111,target,BB Gun,0s,1,1,1,1,1,1,false
13,21:16:53.579,target,BB Gun,0.001s,1,1,1,1,1,1,false
14,21:16:54.038,target,BB Gun,0s,1,1,1,1,1,1,false
15,21:16:54.412,target,BB Gun,0s,1,1,1,1,1,1,false
16,21:16:55.154,target,BB Gun,0s,1,1,1,1,1,1,false
17,21:16:55.549,target,BB Gun,0s,1,1,1,1,1,1,false
18,21:16:55.988,target,BB Gun,0s,1,1,1,1,1,1,false
19,21:16:56.375,target,BB Gun,0s,1,1,1,1,1,1,false
20,21:16:56.767,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,21:16:57.211,target,BB Gun,0s,1,1,1,1,1,1,false
22,21:16:57.555,target,BB Gun,0s,1,1,1,1,1,1,false
23,21:16:58.051,target,BB Gun,0s,1,1,1,1,1,1,false
24,21:16:58.447,target,BB Gun,0s,1,1,1,1,1,1,false
25,21:16:59.123,target,BB Gun,0.342s,2,1,0.5,1,2,0.5,false
26,21:16:59.786,target,BB Gun,0.001s,1,1,1,1,1,1,false
27,21:17:00.256,target,BB Gun,0s,1,1,1,1,1,1,false
28,21:17:00.626,target,BB Gun,0s,1,1,1,1,1,1,false
29,21:17:01.144,target,BB Gun,0s,1,1,1,1,1,1,false
30,21:17:01.629,target,BB Gun,0s,1,1,1,1,1,1,false
31,21:17:01.938,target,BB Gun,0s,1,1,1,1,1,1,false
32,21:17:02.835,target,BB Gun,0.443s,2,1,0.5,1,2,0.5,false
33,21:17:03.082,target,BB Gun,0s,1,1,1,1,1,1,false
34,21:17:03.535,target,BB Gun,0s,1,1,1,1,1,1,false
