Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:43:11.726,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
2,18:43:11.941,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
3,18:43:12.198,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
4,18:43:12.441,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
5,18:43:12.677,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
6,18:43:12.865,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
7,18:43:13.122,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
8,18:43:13.330,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
9,18:43:13.573,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
10,18:43:13.774,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
11,18:43:14.025,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
12,18:43:14.247,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
13,18:43:14.441,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
14,18:43:14.719,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
15,18:43:15.163,target,pistol,0.250000s,2,1,0.500000,25.000000,100.000000,0.250000,0
16,18:43:15.691,target,pistol,0.250000s,2,1,0.500000,25.000000,100.000000,0.250000,0
17,18:43:15.976,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
18,18:43:16.184,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
19,18:43:16.351,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
20,18:43:16.816,target,pistol,0.250000s,2,1,0.500000,25.000000,100.000000,0.250000,0
21,18:43:17.018,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
22,18:43:17.240,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
23,18:43:17.462,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
24,18:43:17.670,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
25,18:43:17.858,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
26,18:43:18.094,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
27,18:43:18.351,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
28,18:43:18.539,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
