Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:23:57.268,air1_close_long,Track Master 100,17.603s,1686,1000,0.593,1000,1686,0.593,false
2,13:24:16.258,air1_far_long,Track Master 100,16.828s,1684,1000,0.594,1000,1684,0.594,false
3,13:24:54.515,air_close_short,Track Master 100,38.002s,2600,1000,0.385,1000,2600,0.385,false
4,13:25:33.639,air1_far_short,Track Master 100,38.872s,3632,1000,0.275,1000,3632,0.275,false
5,13:26:07.648,air1F_close_long,Track Master 100,33.758s,2728,1000,0.367,1000,2728,0.367,false
6,13:26:35.283,air1F_far_long,Track Master 100,27.506s,2436,1000,0.411,1000,2436,0.411,false
7,13:27:17.053,air1F_close_short,Track Master 100,39.172s,3443,1000,0.29,1000,3443,0.29,false
8,13:28:13.851,air1F_far_short,Track Master 100,56.547s,5257,1000,0.19,1000,5257,0.19,false
9,13:29:31.046,air1_UFO,Track Master 100,77.182s,5819,1000,0.172,1000,5819,0.172,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,29286,9001,9001.0,29286.0,

Kills:,9
Deaths:,0
Fight Time:,345.470001
Avg TTK:,0
Damage Done:,9001.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,99657.257812
Scenario:,Air
Hash:,a4dc16009228327bee0f421c6d7cf963
Game Version:,v2.6.3
Challenge Start:,13:24:40.875
Pause Count:,11
Pause Duration:,107

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.2
Vert Sens:,7.2
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,314.112396
Resolution Scale,100.0
