Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:21:18.423,air1_close_long,Track Master 100,9.849001s,986,750,0.760649,750.000000,986.000000,0.760649,0
2,12:21:33.015,air1_far_long,Track Master 100,13.215000s,1323,750,0.566893,750.000000,1323.000000,0.566893,0
3,12:21:49.466,air_close_short,Track Master 100,14.965001s,1498,750,0.500668,750.000000,1498.000000,0.500668,0
4,12:22:07.508,air1_far_short,Track Master 100,16.424002s,1644,750,0.456204,750.000000,1644.000000,0.456204,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5451,3000,3000.0,5451.0,

Kills:,4
Deaths:,0
Fight Time:,54.453003
Avg TTK:,15.24991
Damage Done:,3000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1651.073242
Scenario:,AirNunsEasy60s
Hash:,0b5febfe43468ed153b484ab5aeb9098
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,66
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.414398
Resolution Scale:,100.0
