Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:54:10.859,Long Strafe Bot,ADSable Hitscan Cone,2.277000s,1227,509,0.414833,507.000000,1150.000000,0.440870,0
2,14:54:14.360,Long Strafe Bot,ADSable Hitscan Cone,3.050000s,1627,555,0.341119,504.000000,1480.000000,0.340541,0
3,14:54:16.665,Long Strafe Bot,ADSable Hitscan Cone,1.853000s,951,505,0.531020,503.000000,940.000000,0.535106,0
4,14:54:19.054,Long Strafe Bot,ADSable Hitscan Cone,2.347000s,1005,507,0.504478,507.000000,990.000000,0.512121,0
5,14:54:21.547,Long Strafe Bot,ADSable Hitscan Cone,2.082000s,1014,510,0.502959,504.000000,990.000000,0.509091,0
6,14:54:23.812,Long Strafe Bot,ADSable Hitscan Cone,1.834000s,939,513,0.546326,508.000000,930.000000,0.546237,0
7,14:54:26.548,Long Strafe Bot,ADSable Hitscan Cone,2.214000s,1131,505,0.446508,504.000000,1120.000000,0.450000,0
8,14:54:29.062,Long Strafe Bot,ADSable Hitscan Cone,2.076000s,1038,500,0.481696,500.000000,1030.000000,0.485437,0
9,14:54:31.165,Long Strafe Bot,ADSable Hitscan Cone,1.666000s,790,516,0.653165,508.000000,780.000000,0.651282,0
10,14:54:34.471,Long Strafe Bot,ADSable Hitscan Cone,2.355000s,1197,507,0.423559,503.000000,1190.000000,0.422689,0
11,14:54:37.062,Long Strafe Bot,ADSable Hitscan Cone,2.055000s,1044,506,0.484674,505.000000,1040.000000,0.485577,0
12,14:54:40.082,Long Strafe Bot,ADSable Hitscan Cone,2.576000s,1276,509,0.398903,508.000000,1270.000000,0.400000,0
13,14:54:42.805,Long Strafe Bot,ADSable Hitscan Cone,2.216000s,1127,516,0.457853,516.000000,1120.000000,0.460714,0
14,14:54:45.409,Long Strafe Bot,ADSable Hitscan Cone,2.174000s,1108,488,0.440433,488.000000,1100.000000,0.443636,0
15,14:54:47.910,Long Strafe Bot,ADSable Hitscan Cone,2.237000s,1038,510,0.491329,503.000000,1030.000000,0.488350,0
16,14:54:51.285,Long Strafe Bot,ADSable Hitscan Cone,3.111000s,1350,503,0.372593,503.000000,1340.000000,0.375373,0
17,14:54:54.869,Long Strafe Bot,ADSable Hitscan Cone,3.327000s,1598,503,0.314768,503.000000,1590.000000,0.316352,0
18,14:54:57.612,Long Strafe Bot,ADSable Hitscan Cone,2.013000s,1030,508,0.493204,506.000000,1020.000000,0.496078,0
19,14:54:59.931,Long Strafe Bot,ADSable Hitscan Cone,1.575000s,808,531,0.657178,531.000000,800.000000,0.663750,0
20,14:55:02.257,Long Strafe Bot,ADSable Hitscan Cone,1.958000s,998,479,0.479960,477.000000,990.000000,0.481818,0
21,14:55:04.771,Long Strafe Bot,ADSable Hitscan Cone,2.083000s,1042,512,0.491363,506.000000,1030.000000,0.491262,0
22,14:55:08.271,Long Strafe Bot,ADSable Hitscan Cone,3.111000s,1544,501,0.324482,501.000000,1530.000000,0.327451,0
23,14:55:10.910,Long Strafe Bot,ADSable Hitscan Cone,2.278000s,1075,509,0.473488,509.000000,1060.000000,0.480189,0
24,14:55:13.230,Long Strafe Bot,ADSable Hitscan Cone,1.896000s,969,504,0.520124,501.000000,960.000000,0.521875,0
25,14:55:18.064,Long Strafe Bot,ADSable Hitscan Cone,4.571000s,2089,508,0.243179,506.000000,2080.000000,0.243269,0
26,14:55:21.654,Long Strafe Bot,ADSable Hitscan Cone,3.334000s,1326,528,0.398190,505.000000,1270.000000,0.397638,0
27,14:55:25.772,Long Strafe Bot,ADSable Hitscan Cone,3.854000s,1700,501,0.294706,501.000000,1660.000000,0.301807,0
28,14:55:28.647,Long Strafe Bot,ADSable Hitscan Cone,2.618000s,1188,503,0.423401,503.000000,1170.000000,0.429915,0
29,14:55:33.265,Long Strafe Bot,ADSable Hitscan Cone,4.362000s,2128,865,0.406485,865.000000,2120.000000,0.408019,0
30,14:55:34.245,Long Strafe Bot,ADSable Hitscan Cone,0.736000s,380,138,0.363158,138.000000,380.000000,0.363158,0
31,14:55:37.022,Long Strafe Bot,ADSable Hitscan Cone,2.257000s,1183,516,0.436179,506.000000,1140.000000,0.443860,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,37200,15892,15756.0,36570.0,

Kills:,31
Deaths:,0
Fight Time:,76.096001
Avg TTK:,2.9032
Damage Done:,15756.0
Damage Taken:,0.0
Midairs:,56
Midaired:,0
Directs:,136
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,6788.393066
Scenario:,Ascended Tracking 90
Hash:,d561427136bc52d183c96a3f6c8c26aa
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,7
Pause Duration:,-2147483648.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,144.003189
Resolution Scale:,100.0
