Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:46:34.611,Long Strafe Bot,ADSable Hitscan Cone,1.756000s,978,543,0.555215,502.000000,890.000000,0.564045,0
2,18:46:38.056,Long Strafe Bot,ADSable Hitscan Cone,3.237000s,1558,551,0.353659,501.000000,1420.000000,0.352817,0
3,18:46:40.418,Long Strafe Bot,ADSable Hitscan Cone,1.994000s,1029,504,0.489796,502.000000,1010.000000,0.497030,0
4,18:46:43.056,Long Strafe Bot,ADSable Hitscan Cone,2.408000s,1222,504,0.412439,502.000000,1190.000000,0.421849,0
5,18:46:46.738,Long Strafe Bot,ADSable Hitscan Cone,3.410000s,1546,531,0.343467,501.000000,1450.000000,0.345517,0
6,18:46:49.676,Long Strafe Bot,ADSable Hitscan Cone,2.479000s,1198,516,0.430718,507.000000,1170.000000,0.433333,0
7,18:46:54.424,Long Strafe Bot,ADSable Hitscan Cone,4.276000s,2239,949,0.423850,914.000000,2150.000000,0.425116,0
8,18:46:55.364,Long Strafe Bot,ADSable Hitscan Cone,0.634000s,362,110,0.303867,94.000000,330.000000,0.284848,0
9,18:46:58.117,Long Strafe Bot,ADSable Hitscan Cone,2.278000s,1264,544,0.430380,504.000000,1150.000000,0.438261,0
10,18:47:00.784,Long Strafe Bot,ADSable Hitscan Cone,2.320000s,1286,559,0.434681,502.000000,1170.000000,0.429060,0
11,18:47:03.138,Long Strafe Bot,ADSable Hitscan Cone,2.028000s,1033,560,0.542110,507.000000,940.000000,0.539362,0
12,18:47:06.000,Long Strafe Bot,ADSable Hitscan Cone,2.494000s,1385,506,0.365343,506.000000,1260.000000,0.401587,0
13,18:47:08.556,Long Strafe Bot,ADSable Hitscan Cone,2.320000s,1242,551,0.443639,503.000000,1130.000000,0.445133,0
14,18:47:11.119,Long Strafe Bot,ADSable Hitscan Cone,2.145000s,1121,544,0.485281,503.000000,1020.000000,0.493137,0
15,18:47:16.140,Long Strafe Bot,ADSable Hitscan Cone,4.570000s,2364,982,0.415398,932.000000,2150.000000,0.433488,0
16,18:47:16.786,Long Strafe Bot,ADSable Hitscan Cone,0.298000s,175,77,0.440000,77.000000,160.000000,0.481250,0
17,18:47:19.814,Long Strafe Bot,ADSable Hitscan Cone,2.112000s,1121,540,0.481713,502.000000,1020.000000,0.492157,0
18,18:47:22.238,Long Strafe Bot,ADSable Hitscan Cone,2.042000s,1088,545,0.500919,506.000000,990.000000,0.511111,0
19,18:47:24.065,Long Strafe Bot,ADSable Hitscan Cone,1.396000s,780,544,0.697436,503.000000,710.000000,0.708451,0
20,18:47:28.094,Long Strafe Bot,ADSable Hitscan Cone,3.675000s,1946,553,0.284173,506.000000,1770.000000,0.285876,0
21,18:47:29.795,Long Strafe Bot,ADSable Hitscan Cone,1.297000s,725,551,0.760000,503.000000,660.000000,0.762121,0
22,18:47:33.157,Long Strafe Bot,ADSable Hitscan Cone,2.820000s,1517,548,0.361239,504.000000,1380.000000,0.365217,0
23,18:47:35.521,Long Strafe Bot,ADSable Hitscan Cone,1.875000s,976,513,0.525615,503.000000,950.000000,0.529474,0
24,18:47:37.276,Long Strafe Bot,ADSable Hitscan Cone,1.395000s,780,547,0.701282,501.000000,710.000000,0.705634,0
25,18:47:39.389,Long Strafe Bot,ADSable Hitscan Cone,1.638000s,838,507,0.605012,502.000000,830.000000,0.604819,0
26,18:47:42.200,Long Strafe Bot,ADSable Hitscan Cone,2.208000s,1165,562,0.482403,509.000000,1060.000000,0.480189,0
27,18:47:45.194,Long Strafe Bot,ADSable Hitscan Cone,2.618000s,1451,549,0.378360,502.000000,1320.000000,0.380303,0
28,18:47:46.979,Long Strafe Bot,ADSable Hitscan Cone,1.297000s,672,516,0.767857,504.000000,660.000000,0.763636,0
29,18:47:49.542,Long Strafe Bot,ADSable Hitscan Cone,2.070000s,1077,548,0.508821,502.000000,980.000000,0.512245,0
30,18:47:52.035,Long Strafe Bot,ADSable Hitscan Cone,2.069000s,1121,508,0.453167,508.000000,1020.000000,0.498039,0
31,18:47:55.036,Long Strafe Bot,ADSable Hitscan Cone,2.515000s,1396,548,0.392550,504.000000,1270.000000,0.396850,0
32,18:47:58.694,Long Strafe Bot,ADSable Hitscan Cone,3.422000s,1847,847,0.458581,773.000000,1680.000000,0.460119,0
33,18:48:00.431,Long Strafe Bot,ADSable Hitscan Cone,1.522000s,786,258,0.328244,238.000000,715.000000,0.332867,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,40157,18035,16925.0,37105.0,

Kills:,33
Deaths:,0
Fight Time:,74.618004
Avg TTK:,2.757551
Damage Done:,16925.0
Damage Taken:,0.0
Midairs:,275
Midaired:,0
Directs:,1110
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,7720.135254
Scenario:,Ascended Tracking 90
Hash:,d561427136bc52d183c96a3f6c8c26aa
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,6
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.537521
Resolution Scale:,100.0
