Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:25:19.699,Long Strafe Bot,ADSable Hitscan Cone,1.743000s,830,503,0.606024,503.000000,830.000000,0.606024,0
2,15:25:22.602,Long Strafe Bot,ADSable Hitscan Cone,2.298000s,1140,504,0.442105,504.000000,1140.000000,0.442105,0
3,15:25:25.872,Long Strafe Bot,ADSable Hitscan Cone,2.777000s,1408,534,0.379261,534.000000,1400.000000,0.381429,0
4,15:25:29.012,Long Strafe Bot,ADSable Hitscan Cone,2.751000s,1335,475,0.355805,475.000000,1330.000000,0.357143,0
5,15:25:31.303,Long Strafe Bot,ADSable Hitscan Cone,2.084000s,957,503,0.525601,503.000000,950.000000,0.529474,0
6,15:25:34.832,Long Strafe Bot,ADSable Hitscan Cone,3.278000s,1480,507,0.342568,507.000000,1480.000000,0.342568,0
7,15:25:37.615,Long Strafe Bot,ADSable Hitscan Cone,2.555000s,1118,501,0.448122,500.000000,1110.000000,0.450450,0
8,15:25:41.338,Long Strafe Bot,ADSable Hitscan Cone,3.056000s,1542,506,0.328145,506.000000,1540.000000,0.328571,0
9,15:25:44.220,Long Strafe Bot,ADSable Hitscan Cone,2.847000s,1093,509,0.465691,509.000000,1090.000000,0.466972,0
10,15:25:46.616,Long Strafe Bot,ADSable Hitscan Cone,2.146000s,1009,501,0.496531,501.000000,1003.000000,0.499501,0
11,15:25:49.324,Long Strafe Bot,ADSable Hitscan Cone,2.480000s,909,508,0.558856,504.000000,900.000000,0.560000,0
12,15:25:51.748,Long Strafe Bot,ADSable Hitscan Cone,1.875000s,962,501,0.520790,501.000000,950.000000,0.527368,0
13,15:25:54.581,Long Strafe Bot,ADSable Hitscan Cone,2.555000s,1299,505,0.388761,505.000000,1290.000000,0.391473,0
14,15:25:57.852,Long Strafe Bot,ADSable Hitscan Cone,2.493000s,1266,505,0.398894,505.000000,1260.000000,0.400794,0
15,15:26:01.505,Long Strafe Bot,ADSable Hitscan Cone,2.777000s,1413,505,0.357396,503.000000,1400.000000,0.359286,0
16,15:26:05.296,Long Strafe Bot,ADSable Hitscan Cone,3.354000s,1699,508,0.298999,508.000000,1690.000000,0.300592,0
17,15:26:07.859,Long Strafe Bot,ADSable Hitscan Cone,2.034000s,1040,542,0.521154,540.000000,1030.000000,0.524272,0
18,15:26:10.762,Long Strafe Bot,ADSable Hitscan Cone,2.535000s,1240,475,0.383065,472.000000,1230.000000,0.383740,0
19,15:26:13.338,Long Strafe Bot,ADSable Hitscan Cone,2.055000s,1047,500,0.477555,500.000000,1040.000000,0.480769,0
20,15:26:15.505,Long Strafe Bot,ADSable Hitscan Cone,1.757000s,901,506,0.561598,505.000000,890.000000,0.567416,0
21,15:26:17.888,Long Strafe Bot,ADSable Hitscan Cone,1.958000s,1001,512,0.511488,507.000000,990.000000,0.512121,0
22,15:26:21.088,Long Strafe Bot,ADSable Hitscan Cone,2.596000s,1381,532,0.385228,505.000000,1310.000000,0.385496,0
23,15:26:24.075,Long Strafe Bot,ADSable Hitscan Cone,2.493000s,1273,505,0.396701,505.000000,1260.000000,0.400794,0
24,15:26:26.936,Long Strafe Bot,ADSable Hitscan Cone,2.535000s,1288,511,0.396739,509.000000,1280.000000,0.397656,0
25,15:26:30.353,Long Strafe Bot,ADSable Hitscan Cone,3.119000s,1329,504,0.379232,502.000000,1320.000000,0.380303,0
26,15:26:32.860,Long Strafe Bot,ADSable Hitscan Cone,2.068000s,1009,534,0.529237,528.000000,990.000000,0.533333,0
27,15:26:34.596,Long Strafe Bot,ADSable Hitscan Cone,1.354000s,700,485,0.692857,480.000000,690.000000,0.695652,0
28,15:26:38.326,Long Strafe Bot,ADSable Hitscan Cone,3.480000s,1613,538,0.333540,534.000000,1590.000000,0.335849,0
29,15:26:40.839,Long Strafe Bot,ADSable Hitscan Cone,2.283000s,1084,472,0.435424,470.000000,1078.000000,0.435993,0
30,15:26:43.589,Long Strafe Bot,ADSable Hitscan Cone,2.416000s,1230,503,0.408943,500.000000,1220.000000,0.409836,0
31,15:26:46.507,Long Strafe Bot,ADSable Hitscan Cone,2.460000s,1250,502,0.401600,502.000000,1240.000000,0.404839,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,36856,15696,15627.0,36531.0,

Kills:,31
Deaths:,0
Fight Time:,76.212006
Avg TTK:,2.9032
Damage Done:,15627.0
Damage Taken:,0.0
Midairs:,19
Midaired:,0
Directs:,71
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,6684.819336
Scenario:,Ascended Tracking 90 Small
Hash:,2dea74b55155631f47c6cdfada880639
Game Version:,3.0.2
Challenge Start:,H:M:S.s
Pause Count:,30
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,144.008316
Resolution Scale:,100.0
