Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:27:59.059,Long Strafe Bot,ADSable Hitscan Cone,3.172s,1759,476,0.271,435,1600,0.272,false
2,23:28:02.155,Long Strafe Bot,ADSable Hitscan Cone,2.83s,1429,471,0.33,435,1300,0.335,false
3,23:28:05.580,Long Strafe Bot,ADSable Hitscan Cone,3.161s,1396,468,0.335,434,1270,0.342,false
4,23:28:09.274,Long Strafe Bot,ADSable Hitscan Cone,2.339s,1297,467,0.36,435,1180,0.369,false
5,23:28:12.589,Long Strafe Bot,ADSable Hitscan Cone,3.055s,1528,474,0.31,438,1390,0.315,false
6,23:28:17.576,Long Strafe Bot,ADSable Hitscan Cone,4.724s,2529,438,0.173,438,2300,0.19,false
7,23:28:22.132,Long Strafe Bot,ADSable Hitscan Cone,4.299s,1462,470,0.321,435,1330,0.327,false
8,23:28:24.655,Long Strafe Bot,ADSable Hitscan Cone,2.263s,1110,471,0.424,435,1010,0.431,false
9,23:28:30.910,Long Strafe Bot,ADSable Hitscan Cone,6s,2617,473,0.181,435,2380,0.183,false
10,23:28:35.585,Long Strafe Bot,ADSable Hitscan Cone,4.412s,2089,471,0.225,440,1900,0.232,false
11,23:28:39.325,Long Strafe Bot,ADSable Hitscan Cone,3.483s,1187,478,0.403,436,1080,0.404,false
12,23:28:41.935,Long Strafe Bot,ADSable Hitscan Cone,2.348s,1209,463,0.383,434,1100,0.395,false
13,23:28:45.474,Long Strafe Bot,ADSable Hitscan Cone,3.277s,1704,463,0.272,441,1550,0.285,false
14,23:28:51.067,Long Strafe Bot,ADSable Hitscan Cone,5.331s,2375,570,0.24,526,2160,0.244,false
15,23:28:52.870,Long Strafe Bot,ADSable Hitscan Cone,1.541s,791,380,0.48,349,720,0.485,false
16,23:28:58.096,Long Strafe Bot,ADSable Hitscan Cone,4.97s,2265,833,0.368,762,2060,0.37,false
17,23:28:58.785,Long Strafe Bot,ADSable Hitscan Cone,0.435s,186,117,0.629,107,170,0.629,false
18,23:29:02.113,Long Strafe Bot,ADSable Hitscan Cone,3.066s,1550,474,0.306,438,1410,0.311,false
19,23:29:04.465,Long Strafe Bot,ADSable Hitscan Cone,2.093s,1044,476,0.456,442,950,0.465,false
20,23:29:10.040,Long Strafe Bot,ADSable Hitscan Cone,5.31s,2210,483,0.219,441,2010,0.219,false
21,23:29:14.284,Long Strafe Bot,ADSable Hitscan Cone,3.992s,2111,471,0.223,441,1920,0.23,false
22,23:29:19.368,Long Strafe Bot,ADSable Hitscan Cone,4.818s,1858,476,0.256,436,1690,0.258,false
23,23:29:22.321,Long Strafe Bot,ADSable Hitscan Cone,2.699s,1418,473,0.334,438,1290,0.34,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,38235,11259,10443.0,34780.0,

Kills:,23
Deaths:,0
Fight Time:,79.617996
Avg TTK:,0
Damage Done:,10443.0
Damage Taken:,0.0
Midairs:,210
Midaired:,0
Directs:,816
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,3135.602295
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,2.0.5.2
Challenge Start:,23:27:54.506
Pause Count:,50
Pause Duration:,410

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,134.480896
Resolution Scale,100.0
