Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:29:40.825,Long Strafe Bot,ADSable Hitscan Cone,2.613s,1451,465,0.32,433,1320,0.328,false
2,23:29:44.074,Long Strafe Bot,ADSable Hitscan Cone,2.989s,1341,470,0.35,433,1220,0.355,false
3,23:29:48.300,Long Strafe Bot,ADSable Hitscan Cone,3.96s,1748,474,0.271,439,1590,0.276,false
4,23:29:51.517,Long Strafe Bot,ADSable Hitscan Cone,2.963s,1550,473,0.305,438,1410,0.311,false
5,23:29:54.511,Long Strafe Bot,ADSable Hitscan Cone,2.736s,1209,468,0.387,437,1100,0.397,false
6,23:29:56.826,Long Strafe Bot,ADSable Hitscan Cone,2.056s,1055,474,0.449,437,960,0.455,false
7,23:30:01.001,Long Strafe Bot,ADSable Hitscan Cone,3.912s,1825,479,0.262,440,1660,0.265,false
8,23:30:05.738,Long Strafe Bot,ADSable Hitscan Cone,4.482s,2397,458,0.191,441,2180,0.202,false
9,23:30:08.495,Long Strafe Bot,ADSable Hitscan Cone,2.498s,1297,447,0.345,441,1180,0.374,false
10,23:30:13.679,Long Strafe Bot,ADSable Hitscan Cone,4.955s,1836,469,0.255,434,1670,0.26,false
11,23:30:17.033,Long Strafe Bot,ADSable Hitscan Cone,2.971s,1649,468,0.284,434,1500,0.289,false
12,23:30:19.971,Long Strafe Bot,ADSable Hitscan Cone,2.668s,1385,467,0.337,434,1260,0.344,false
13,23:30:23.623,Long Strafe Bot,ADSable Hitscan Cone,3.193s,1770,476,0.269,440,1610,0.273,false
14,23:30:27.810,Long Strafe Bot,ADSable Hitscan Cone,3.925s,1814,482,0.266,442,1650,0.268,false
15,23:30:31.872,Long Strafe Bot,ADSable Hitscan Cone,3.807s,2012,458,0.228,439,1830,0.24,false
16,23:30:37.990,Long Strafe Bot,ADSable Hitscan Cone,5.856s,2793,592,0.212,540,2540,0.213,false
17,23:30:40.360,Long Strafe Bot,ADSable Hitscan Cone,2.114s,1099,364,0.331,336,1000,0.336,false
18,23:30:44.482,Long Strafe Bot,ADSable Hitscan Cone,3.868s,2056,436,0.212,436,1870,0.233,false
19,23:30:47.992,Long Strafe Bot,ADSable Hitscan Cone,3.251s,1506,469,0.311,435,1370,0.318,false
20,23:30:52.844,Long Strafe Bot,ADSable Hitscan Cone,4.589s,2452,480,0.196,442,2230,0.198,false
21,23:30:58.572,Long Strafe Bot,ADSable Hitscan Cone,5.472s,2419,458,0.189,434,2200,0.197,false
22,23:31:01.527,Long Strafe Bot,ADSable Hitscan Cone,2.697s,1352,471,0.348,433,1230,0.352,false
23,23:31:05.116,Long Strafe Bot,ADSable Hitscan Cone,3.328s,1726,471,0.273,434,1570,0.276,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,40589,10876,10154.0,36920.0,

Kills:,23
Deaths:,0
Fight Time:,80.903
Avg TTK:,0
Damage Done:,10154.0
Damage Taken:,0.0
Midairs:,175
Midaired:,0
Directs:,722
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,2792.625244
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,2.0.5.2
Challenge Start:,23:29:37.306
Pause Count:,51
Pause Duration:,418

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,126.946159
Resolution Scale,100.0
