Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:31:29.389,Long Strafe Bot,ADSable Hitscan Cone,2.434s,1352,472,0.349,438,1230,0.356,false
2,23:31:34.131,Long Strafe Bot,ADSable Hitscan Cone,4.48s,1473,540,0.367,492,1340,0.367,false
3,23:31:35.907,Long Strafe Bot,ADSable Hitscan Cone,1.513s,769,411,0.534,379,700,0.541,false
4,23:31:38.677,Long Strafe Bot,ADSable Hitscan Cone,2.514s,1286,466,0.362,437,1170,0.374,false
5,23:31:42.661,Long Strafe Bot,ADSable Hitscan Cone,3.728s,1583,468,0.296,435,1440,0.302,false
6,23:31:45.483,Long Strafe Bot,ADSable Hitscan Cone,2.563s,1220,472,0.387,436,1110,0.393,false
7,23:31:51.065,Long Strafe Bot,ADSable Hitscan Cone,5.358s,2133,477,0.224,439,1940,0.226,false
8,23:31:55.005,Long Strafe Bot,ADSable Hitscan Cone,3.556s,1968,444,0.226,441,1790,0.246,false
9,23:31:59.479,Long Strafe Bot,ADSable Hitscan Cone,4.217s,1814,473,0.261,433,1650,0.262,false
10,23:32:02.149,Long Strafe Bot,ADSable Hitscan Cone,2.412s,1242,485,0.39,447,1130,0.396,false
11,23:32:04.613,Long Strafe Bot,ADSable Hitscan Cone,2.203s,1143,424,0.371,424,1040,0.408,false
12,23:32:07.854,Long Strafe Bot,ADSable Hitscan Cone,2.976s,1561,455,0.291,441,1420,0.311,false
13,23:32:12.249,Long Strafe Bot,ADSable Hitscan Cone,4.137s,1671,465,0.278,436,1520,0.287,false
14,23:32:16.168,Long Strafe Bot,ADSable Hitscan Cone,3.652s,1440,480,0.333,439,1310,0.335,false
15,23:32:21.009,Long Strafe Bot,ADSable Hitscan Cone,4.579s,2452,474,0.193,440,2230,0.197,false
16,23:32:26.228,Long Strafe Bot,ADSable Hitscan Cone,4.959s,2353,522,0.222,481,2140,0.225,false
17,23:32:28.493,Long Strafe Bot,ADSable Hitscan Cone,1.999s,1055,412,0.391,392,960,0.408,false
18,23:32:31.223,Long Strafe Bot,ADSable Hitscan Cone,2.478s,1264,478,0.378,442,1150,0.384,false
19,23:32:36.237,Long Strafe Bot,ADSable Hitscan Cone,4.757s,1869,470,0.251,437,1700,0.257,false
20,23:32:39.774,Long Strafe Bot,ADSable Hitscan Cone,3.275s,1737,477,0.275,436,1580,0.276,false
21,23:32:42.476,Long Strafe Bot,ADSable Hitscan Cone,2.451s,1275,468,0.367,433,1160,0.373,false
22,23:32:46.123,Long Strafe Bot,ADSable Hitscan Cone,3.385s,1275,467,0.366,436,1160,0.376,false
23,23:32:50.301,Long Strafe Bot,ADSable Hitscan Cone,3.922s,2089,468,0.224,433,1900,0.228,false
24,23:32:54.364,Long Strafe Bot,ADSable Hitscan Cone,3.8s,1770,469,0.265,442,1610,0.275,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,38674,11406,10648.0,35180.0,

Kills:,24
Deaths:,0
Fight Time:,81.348
Avg TTK:,0
Damage Done:,10648.0
Damage Taken:,0.0
Midairs:,228
Midaired:,0
Directs:,758
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,3222.851074
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,2.0.5.2
Challenge Start:,23:31:26.109
Pause Count:,52
Pause Duration:,427

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,133.333771
Resolution Scale,100.0
