Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:33:07.050,Long Strafe Bot,ADSable Hitscan Cone,5.175s,2859,457,0.16,434,2600,0.167,false
2,23:33:10.861,Long Strafe Bot,ADSable Hitscan Cone,3.554s,1429,483,0.338,441,1300,0.339,false
3,23:33:13.658,Long Strafe Bot,ADSable Hitscan Cone,2.527s,1143,469,0.41,435,1040,0.418,false
4,23:33:17.580,Long Strafe Bot,ADSable Hitscan Cone,3.669s,1726,470,0.272,433,1570,0.276,false
5,23:33:21.980,Long Strafe Bot,ADSable Hitscan Cone,4.137s,1869,465,0.249,436,1700,0.256,false
6,23:33:26.265,Long Strafe Bot,ADSable Hitscan Cone,4.256s,2067,667,0.323,666,1880,0.354,false
7,23:33:27.950,Long Strafe Bot,ADSable Hitscan Cone,1.439s,802,205,0.256,205,730,0.281,false
8,23:33:32.396,Long Strafe Bot,ADSable Hitscan Cone,4.432s,1891,477,0.252,441,1720,0.256,false
9,23:33:35.141,Long Strafe Bot,ADSable Hitscan Cone,2.483s,1374,476,0.346,439,1250,0.351,false
10,23:33:38.477,Long Strafe Bot,ADSable Hitscan Cone,3.076s,1704,440,0.258,438,1550,0.283,false
11,23:33:42.540,Long Strafe Bot,ADSable Hitscan Cone,3.804s,2100,465,0.221,435,1910,0.228,false
12,23:33:45.877,Long Strafe Bot,ADSable Hitscan Cone,3.077s,1517,499,0.329,466,1380,0.338,false
13,23:33:48.343,Long Strafe Bot,ADSable Hitscan Cone,2.208s,1176,441,0.375,409,1070,0.382,false
14,23:33:51.798,Long Strafe Bot,ADSable Hitscan Cone,3.194s,1462,475,0.325,440,1330,0.331,false
15,23:33:56.876,Long Strafe Bot,ADSable Hitscan Cone,4.815s,1880,471,0.251,438,1710,0.256,false
16,23:34:00.959,Long Strafe Bot,ADSable Hitscan Cone,3.829s,2056,472,0.23,434,1870,0.232,false
17,23:34:03.462,Long Strafe Bot,ADSable Hitscan Cone,2.238s,912,466,0.511,434,830,0.523,false
18,23:34:06.532,Long Strafe Bot,ADSable Hitscan Cone,2.809s,1143,472,0.413,435,1040,0.418,false
19,23:34:10.152,Long Strafe Bot,ADSable Hitscan Cone,3.364s,1385,460,0.332,436,1260,0.346,false
20,23:34:12.714,Long Strafe Bot,ADSable Hitscan Cone,2.304s,1187,473,0.398,439,1080,0.406,false
21,23:34:16.338,Long Strafe Bot,ADSable Hitscan Cone,3.36s,1374,478,0.348,437,1250,0.35,false
22,23:34:20.119,Long Strafe Bot,ADSable Hitscan Cone,3.523s,1671,437,0.262,436,1520,0.287,false
23,23:34:23.551,Long Strafe Bot,ADSable Hitscan Cone,3.173s,1451,483,0.333,440,1320,0.333,false
24,23:34:26.851,Long Strafe Bot,ADSable Hitscan Cone,3.035s,1308,494,0.378,453,1190,0.381,false
25,23:34:31.104,Long Strafe Bot,ADSable Hitscan Cone,4.001s,2210,454,0.205,420,2010,0.209,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,39707,11649,10920.0,36120.0,

Kills:,25
Deaths:,0
Fight Time:,83.482002
Avg TTK:,0
Damage Done:,10920.0
Damage Taken:,0.0
Midairs:,185
Midaired:,0
Directs:,729
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,3301.395264
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,2.0.5.2
Challenge Start:,23:33:01.115
Pause Count:,53
Pause Duration:,429

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,128.328751
Resolution Scale,100.0
