Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:33:59.931,Long Strafe Bot,ADSable Hitscan Cone,3.094s,1715,475,0.277,440,1560,0.282,false
2,02:34:04.127,Long Strafe Bot,ADSable Hitscan Cone,3.941s,1484,474,0.319,434,1350,0.321,false
3,02:34:08.042,Long Strafe Bot,ADSable Hitscan Cone,3.646s,1550,460,0.297,442,1410,0.313,false
4,02:34:10.602,Long Strafe Bot,ADSable Hitscan Cone,2.299s,1132,477,0.421,437,1030,0.424,false
5,02:34:13.865,Long Strafe Bot,ADSable Hitscan Cone,3.011s,1286,469,0.365,439,1170,0.375,false
6,02:34:17.306,Long Strafe Bot,ADSable Hitscan Cone,3.184s,1572,469,0.298,439,1430,0.307,false
7,02:34:21.339,Long Strafe Bot,ADSable Hitscan Cone,3.778s,1330,472,0.355,433,1210,0.358,false
8,02:34:24.257,Long Strafe Bot,ADSable Hitscan Cone,2.649s,1011,477,0.472,438,920,0.476,false
9,02:34:27.388,Long Strafe Bot,ADSable Hitscan Cone,2.222s,1231,463,0.376,433,1120,0.387,false
10,02:34:30.733,Long Strafe Bot,ADSable Hitscan Cone,3.136s,780,486,0.623,439,710,0.618,false
11,02:34:33.642,Long Strafe Bot,ADSable Hitscan Cone,2.173s,1209,488,0.404,440,1100,0.4,false
12,02:34:36.464,Long Strafe Bot,ADSable Hitscan Cone,2.564s,967,472,0.488,433,880,0.492,false
13,02:34:39.688,Long Strafe Bot,ADSable Hitscan Cone,2.962s,1319,444,0.337,436,1200,0.363,false
14,02:34:42.203,Long Strafe Bot,ADSable Hitscan Cone,1.577s,879,475,0.54,439,800,0.549,false
15,02:34:45.028,Long Strafe Bot,ADSable Hitscan Cone,1.735s,967,487,0.504,442,880,0.502,false
16,02:34:47.950,Long Strafe Bot,ADSable Hitscan Cone,2.167s,1209,475,0.393,442,1100,0.402,false
17,02:34:51.504,Long Strafe Bot,ADSable Hitscan Cone,3.303s,1110,475,0.428,434,1010,0.43,false
18,02:34:55.165,Long Strafe Bot,ADSable Hitscan Cone,3.399s,1429,480,0.336,435,1300,0.335,false
19,02:34:58.800,Long Strafe Bot,ADSable Hitscan Cone,3.379s,1506,483,0.321,441,1370,0.322,false
20,02:35:02.023,Long Strafe Bot,ADSable Hitscan Cone,2.969s,1209,492,0.407,436,1100,0.396,false
21,02:35:05.336,Long Strafe Bot,ADSable Hitscan Cone,3.06s,1275,687,0.539,630,1160,0.543,false
22,02:35:07.098,Long Strafe Bot,ADSable Hitscan Cone,1.271s,714,260,0.364,242,650,0.372,false
23,02:35:10.655,Long Strafe Bot,ADSable Hitscan Cone,2.651s,1473,472,0.32,433,1340,0.323,false
24,02:35:14.637,Long Strafe Bot,ADSable Hitscan Cone,3.706s,1583,474,0.299,442,1440,0.307,false
25,02:35:18.983,Long Strafe Bot,ADSable Hitscan Cone,4.211s,1374,476,0.346,438,1250,0.35,false
26,02:35:21.424,Long Strafe Bot,ADSable Hitscan Cone,1.924s,1066,479,0.449,437,970,0.451,false
27,02:35:24.841,Long Strafe Bot,ADSable Hitscan Cone,3.153s,1055,508,0.482,477,960,0.497,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,34018,13031,12019.0,30950.0,

Kills:,27
Deaths:,0
Fight Time:,77.164001
Avg TTK:,0
Damage Done:,12019.0
Damage Taken:,0.0
Midairs:,362
Midaired:,0
Directs:,1012
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,4667.410645
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,2.0.5.2
Challenge Start:,02:33:56.103
Pause Count:,18
Pause Duration:,169

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,79.820869
Resolution Scale,100.0
