Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:03:15.827,Long Strafe Bot,ADSable Hitscan Cone,1.779s,989,474,0.479,436,900,0.484,false
2,21:03:18.673,Long Strafe Bot,ADSable Hitscan Cone,2.138s,1187,593,0.5,541,1080,0.501,false
3,21:03:20.811,Long Strafe Bot,ADSable Hitscan Cone,1.758s,978,351,0.359,331,890,0.372,false
4,21:03:23.512,Long Strafe Bot,ADSable Hitscan Cone,2.434s,989,464,0.469,434,900,0.482,false
5,21:03:26.741,Long Strafe Bot,ADSable Hitscan Cone,2.97s,1506,475,0.315,438,1370,0.32,false
6,21:03:30.128,Long Strafe Bot,ADSable Hitscan Cone,2.893s,1605,463,0.288,435,1460,0.298,false
7,21:03:32.564,Long Strafe Bot,ADSable Hitscan Cone,2.173s,1088,472,0.434,435,990,0.439,false
8,21:03:34.821,Long Strafe Bot,ADSable Hitscan Cone,1.994s,758,463,0.611,433,690,0.628,false
9,21:03:38.452,Long Strafe Bot,ADSable Hitscan Cone,3.373s,1572,481,0.306,443,1430,0.31,false
10,21:03:41.965,Long Strafe Bot,ADSable Hitscan Cone,3.117s,1726,458,0.265,427,1570,0.272,false
11,21:03:45.018,Long Strafe Bot,ADSable Hitscan Cone,1.978s,1099,478,0.435,436,1000,0.436,false
12,21:03:47.612,Long Strafe Bot,ADSable Hitscan Cone,2.338s,1022,474,0.464,440,930,0.473,false
13,21:03:49.711,Long Strafe Bot,ADSable Hitscan Cone,1.832s,703,474,0.674,434,640,0.678,false
14,21:03:53.153,Long Strafe Bot,ADSable Hitscan Cone,3.193s,1374,672,0.489,613,1250,0.49,false
15,21:03:54.961,Long Strafe Bot,ADSable Hitscan Cone,1.564s,820,287,0.35,261,746,0.35,false
16,21:03:58.227,Long Strafe Bot,ADSable Hitscan Cone,3s,1220,433,0.355,433,1110,0.39,false
17,21:04:00.340,Long Strafe Bot,ADSable Hitscan Cone,1.858s,791,464,0.587,433,720,0.601,false
18,21:04:04.485,Long Strafe Bot,ADSable Hitscan Cone,3.892s,1803,476,0.264,438,1640,0.267,false
19,21:04:07.671,Long Strafe Bot,ADSable Hitscan Cone,2.927s,1341,474,0.353,437,1220,0.358,false
20,21:04:11.509,Long Strafe Bot,ADSable Hitscan Cone,3.577s,1110,455,0.41,433,1010,0.429,false
21,21:04:13.838,Long Strafe Bot,ADSable Hitscan Cone,2.07s,1011,475,0.47,442,920,0.48,false
22,21:04:18.627,Long Strafe Bot,ADSable Hitscan Cone,4.529s,1946,472,0.243,434,1770,0.245,false
23,21:04:21.522,Long Strafe Bot,ADSable Hitscan Cone,2.634s,1165,475,0.408,441,1060,0.416,false
24,21:04:24.480,Long Strafe Bot,ADSable Hitscan Cone,2.708s,1143,475,0.416,435,1040,0.418,false
25,21:04:27.055,Long Strafe Bot,ADSable Hitscan Cone,2.312s,824,474,0.575,438,750,0.584,false
26,21:04:31.441,Long Strafe Bot,ADSable Hitscan Cone,4.126s,1770,634,0.358,584,1610,0.363,false
27,21:04:32.719,Long Strafe Bot,ADSable Hitscan Cone,1.018s,494,310,0.628,288,450,0.64,false
28,21:04:35.211,Long Strafe Bot,ADSable Hitscan Cone,2.233s,1132,439,0.388,439,1030,0.426,false
29,21:04:37.195,Long Strafe Bot,ADSable Hitscan Cone,1.725s,835,464,0.556,436,760,0.574,false
30,21:04:39.492,Long Strafe Bot,ADSable Hitscan Cone,2.033s,1000,464,0.464,439,910,0.482,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,36211,14698,13661.0,32946.0,

Kills:,30
Deaths:,0
Fight Time:,76.176003
Avg TTK:,0
Damage Done:,13661.0
Damage Taken:,0.0
Midairs:,343
Midaired:,0
Directs:,1037
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,5664.509277
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,2.0.5.3
Challenge Start:,21:03:12.729
Pause Count:,42
Pause Duration:,745

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,134.718719
Resolution Scale,100.0
