Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:53:36.184,Long Strafe Bot,ADSable Hitscan Cone,2.017s,1121,586,0.523,562,1020,0.551,false
2,10:53:38.637,Long Strafe Bot,ADSable Hitscan Cone,2.195s,1132,351,0.31,317,1030,0.308,false
3,10:53:40.426,Long Strafe Bot,ADSable Hitscan Cone,1.531s,736,483,0.656,442,670,0.66,false
4,10:53:43.277,Long Strafe Bot,ADSable Hitscan Cone,1.639s,912,473,0.519,438,830,0.528,false
5,10:53:45.592,Long Strafe Bot,ADSable Hitscan Cone,2.064s,1044,474,0.454,438,950,0.461,false
6,10:53:48.249,Long Strafe Bot,ADSable Hitscan Cone,2.39s,1176,467,0.397,433,1070,0.405,false
7,10:53:50.561,Long Strafe Bot,ADSable Hitscan Cone,2.073s,1055,476,0.451,434,960,0.452,false
8,10:53:53.521,Long Strafe Bot,ADSable Hitscan Cone,1.963s,1055,464,0.44,433,960,0.451,false
9,10:53:56.656,Long Strafe Bot,ADSable Hitscan Cone,2.894s,1506,466,0.309,441,1370,0.322,false
10,10:54:00.065,Long Strafe Bot,ADSable Hitscan Cone,2.539s,1407,451,0.321,440,1280,0.344,false
11,10:54:03.678,Long Strafe Bot,ADSable Hitscan Cone,3.364s,1187,498,0.42,468,1080,0.433,false
12,10:54:06.386,Long Strafe Bot,ADSable Hitscan Cone,1.998s,1110,436,0.393,401,1010,0.397,false
13,10:54:09.009,Long Strafe Bot,ADSable Hitscan Cone,2.361s,912,472,0.518,433,830,0.522,false
14,10:54:11.921,Long Strafe Bot,ADSable Hitscan Cone,2.651s,956,482,0.504,441,870,0.507,false
15,10:54:17.803,Long Strafe Bot,ADSable Hitscan Cone,5.629s,2518,804,0.319,733,2290,0.32,false
16,10:54:18.960,Long Strafe Bot,ADSable Hitscan Cone,0.897s,505,152,0.301,141,460,0.307,false
17,10:54:22.788,Long Strafe Bot,ADSable Hitscan Cone,3.573s,1363,473,0.347,436,1240,0.352,false
18,10:54:26.964,Long Strafe Bot,ADSable Hitscan Cone,3.916s,2034,471,0.232,435,1850,0.235,false
19,10:54:30.220,Long Strafe Bot,ADSable Hitscan Cone,1.834s,1022,470,0.46,464,930,0.499,false
20,10:54:32.847,Long Strafe Bot,ADSable Hitscan Cone,2.157s,1198,462,0.386,424,1090,0.389,false
21,10:54:34.898,Long Strafe Bot,ADSable Hitscan Cone,1.792s,912,456,0.5,431,830,0.519,false
22,10:54:37.385,Long Strafe Bot,ADSable Hitscan Cone,2.229s,857,472,0.551,439,780,0.563,false
23,10:54:40.895,Long Strafe Bot,ADSable Hitscan Cone,3.243s,1319,481,0.365,438,1200,0.365,false
24,10:54:43.782,Long Strafe Bot,ADSable Hitscan Cone,2.633s,791,473,0.598,434,720,0.603,false
25,10:54:46.549,Long Strafe Bot,ADSable Hitscan Cone,2.505s,923,484,0.524,440,840,0.524,false
26,10:54:48.946,Long Strafe Bot,ADSable Hitscan Cone,1.956s,1088,437,0.402,437,990,0.441,false
27,10:54:51.811,Long Strafe Bot,ADSable Hitscan Cone,2.621s,1077,499,0.463,453,980,0.462,false
28,10:54:53.860,Long Strafe Bot,ADSable Hitscan Cone,1.652s,923,440,0.477,417,840,0.496,false
29,10:54:56.777,Long Strafe Bot,ADSable Hitscan Cone,2.655s,1176,466,0.396,438,1070,0.409,false
30,10:55:00.832,Long Strafe Bot,ADSable Hitscan Cone,3.849s,1495,566,0.379,527,1360,0.387,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,34631,14238,13258.0,31510.0,

Kills:,30
Deaths:,0
Fight Time:,74.82
Avg TTK:,0
Damage Done:,13258.0
Damage Taken:,0.0
Midairs:,312
Midaired:,0
Directs:,980
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,5578.374023
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,2.0.5.3
Challenge Start:,10:53:31.131
Pause Count:,31
Pause Duration:,229

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,135.060211
Resolution Scale,100.0
