Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:57:07.936,Long Strafe Bot,ADSable Hitscan Cone,1.856s,1033,476,0.461,438,940,0.466,false
2,23:57:11.134,Long Strafe Bot,ADSable Hitscan Cone,2.816s,1561,433,0.277,433,1420,0.305,false
3,23:57:13.489,Long Strafe Bot,ADSable Hitscan Cone,1.418s,791,462,0.584,438,720,0.608,false
4,23:57:16.563,Long Strafe Bot,ADSable Hitscan Cone,1.755s,978,445,0.455,436,890,0.49,false
5,23:57:19.032,Long Strafe Bot,ADSable Hitscan Cone,2.229s,1132,449,0.397,433,1030,0.42,false
6,23:57:22.572,Long Strafe Bot,ADSable Hitscan Cone,2.835s,1572,473,0.301,436,1430,0.305,false
7,23:57:25.997,Long Strafe Bot,ADSable Hitscan Cone,3.168s,1198,477,0.398,433,1090,0.397,false
8,23:57:28.274,Long Strafe Bot,ADSable Hitscan Cone,2.02s,1033,467,0.452,437,940,0.465,false
9,23:57:31.002,Long Strafe Bot,ADSable Hitscan Cone,2.462s,923,476,0.516,434,840,0.517,false
10,23:57:33.321,Long Strafe Bot,ADSable Hitscan Cone,2.064s,835,467,0.559,434,760,0.571,false
11,23:57:37.014,Long Strafe Bot,ADSable Hitscan Cone,3.443s,1154,468,0.406,436,1050,0.415,false
12,23:57:40.096,Long Strafe Bot,ADSable Hitscan Cone,2.825s,956,468,0.49,434,870,0.499,false
13,23:57:42.260,Long Strafe Bot,ADSable Hitscan Cone,1.334s,747,471,0.631,435,680,0.64,false
14,23:57:45.108,Long Strafe Bot,ADSable Hitscan Cone,1.403s,780,471,0.604,436,710,0.614,false
15,23:57:47.651,Long Strafe Bot,ADSable Hitscan Cone,2.493s,1187,510,0.43,477,1080,0.442,false
16,23:57:49.802,Long Strafe Bot,ADSable Hitscan Cone,1.631s,912,427,0.468,399,830,0.481,false
17,23:57:52.084,Long Strafe Bot,ADSable Hitscan Cone,2.012s,934,472,0.505,442,850,0.52,false
18,23:57:55.239,Long Strafe Bot,ADSable Hitscan Cone,2.902s,1517,483,0.318,438,1380,0.317,false
19,23:57:57.228,Long Strafe Bot,ADSable Hitscan Cone,1.115s,626,477,0.762,437,570,0.767,false
20,23:57:59.438,Long Strafe Bot,ADSable Hitscan Cone,1.757s,978,484,0.495,440,890,0.494,false
21,23:58:02.761,Long Strafe Bot,ADSable Hitscan Cone,2.939s,1627,570,0.35,521,1480,0.352,false
22,23:58:04.935,Long Strafe Bot,ADSable Hitscan Cone,1.924s,1064,371,0.349,345,968,0.356,false
23,23:58:08.320,Long Strafe Bot,ADSable Hitscan Cone,3.129s,1495,482,0.322,441,1360,0.324,false
24,23:58:10.489,Long Strafe Bot,ADSable Hitscan Cone,1.594s,890,463,0.52,434,810,0.536,false
25,23:58:12.716,Long Strafe Bot,ADSable Hitscan Cone,1.65s,923,468,0.507,439,840,0.523,false
26,23:58:16.608,Long Strafe Bot,ADSable Hitscan Cone,3.033s,1682,486,0.289,441,1530,0.288,false
27,23:58:21.028,Long Strafe Bot,ADSable Hitscan Cone,4.163s,1726,487,0.282,438,1570,0.279,false
28,23:58:24.743,Long Strafe Bot,ADSable Hitscan Cone,3.458s,1704,475,0.279,455,1550,0.294,false
29,23:58:26.815,Long Strafe Bot,ADSable Hitscan Cone,1.716s,956,456,0.477,420,870,0.483,false
30,23:58:29.335,Long Strafe Bot,ADSable Hitscan Cone,2.496s,824,469,0.569,434,750,0.579,false
31,23:58:32.641,Long Strafe Bot,ADSable Hitscan Cone,2.735s,1517,485,0.32,434,1380,0.314,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,35541,14631,13588.0,32338.0,

Kills:,31
Deaths:,0
Fight Time:,72.375
Avg TTK:,0
Damage Done:,13588.0
Damage Taken:,0.0
Midairs:,288
Midaired:,0
Directs:,1043
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,5709.498047
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,v2.6.1
Challenge Start:,23:57:03.976
Pause Count:,24
Pause Duration:,159

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,121.18161
Resolution Scale,100.0
