Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:44:37.668,Long Strafe Bot,ADSable Hitscan Cone,1.837s,1022,465,0.455,434,930,0.467,false
2,00:44:39.742,Long Strafe Bot,ADSable Hitscan Cone,1.829s,714,458,0.641,434,650,0.668,false
3,00:44:42.577,Long Strafe Bot,ADSable Hitscan Cone,1.976s,1099,467,0.425,438,1000,0.438,false
4,00:44:44.987,Long Strafe Bot,ADSable Hitscan Cone,2.149s,912,473,0.519,438,830,0.528,false
5,00:44:47.611,Long Strafe Bot,ADSable Hitscan Cone,2.364s,1033,465,0.45,435,940,0.463,false
6,00:44:49.226,Long Strafe Bot,ADSable Hitscan Cone,1.219s,681,468,0.687,437,620,0.705,false
7,00:44:51.833,Long Strafe Bot,ADSable Hitscan Cone,2.347s,912,463,0.508,433,830,0.522,false
8,00:44:55.024,Long Strafe Bot,ADSable Hitscan Cone,2.932s,1341,473,0.353,433,1220,0.355,false
9,00:44:58.458,Long Strafe Bot,ADSable Hitscan Cone,2.696s,1495,439,0.294,439,1360,0.323,false
10,00:45:01.680,Long Strafe Bot,ADSable Hitscan Cone,2.966s,1154,434,0.376,434,1050,0.413,false
11,00:45:03.401,Long Strafe Bot,ADSable Hitscan Cone,1.258s,703,457,0.65,436,640,0.681,false
12,00:45:06.382,Long Strafe Bot,ADSable Hitscan Cone,2.767s,1220,470,0.385,435,1110,0.392,false
13,00:45:10.070,Long Strafe Bot,ADSable Hitscan Cone,3.198s,1770,477,0.269,439,1610,0.273,false
14,00:45:13.181,Long Strafe Bot,ADSable Hitscan Cone,2.847s,1253,463,0.37,435,1140,0.382,false
15,00:45:16.066,Long Strafe Bot,ADSable Hitscan Cone,2.625s,890,465,0.522,436,810,0.538,false
16,00:45:19.108,Long Strafe Bot,ADSable Hitscan Cone,2.783s,1352,473,0.35,435,1230,0.354,false
17,00:45:21.935,Long Strafe Bot,ADSable Hitscan Cone,2.567s,1121,477,0.426,442,1020,0.433,false
18,00:45:25.758,Long Strafe Bot,ADSable Hitscan Cone,3.564s,1198,471,0.393,439,1090,0.403,false
19,00:45:28.402,Long Strafe Bot,ADSable Hitscan Cone,2.388s,1033,456,0.441,433,940,0.461,false
20,00:45:31.515,Long Strafe Bot,ADSable Hitscan Cone,2.854s,1264,434,0.343,434,1150,0.377,false
21,00:45:33.788,Long Strafe Bot,ADSable Hitscan Cone,2.015s,912,469,0.514,437,830,0.527,false
22,00:45:36.745,Long Strafe Bot,ADSable Hitscan Cone,2.698s,978,472,0.483,439,890,0.493,false
23,00:45:38.748,Long Strafe Bot,ADSable Hitscan Cone,1.743s,780,475,0.609,438,710,0.617,false
24,00:45:41.793,Long Strafe Bot,ADSable Hitscan Cone,2.787s,1242,469,0.378,438,1130,0.388,false
25,00:45:44.423,Long Strafe Bot,ADSable Hitscan Cone,2.399s,1055,473,0.448,437,960,0.455,false
26,00:45:47.667,Long Strafe Bot,ADSable Hitscan Cone,2.877s,1594,474,0.297,434,1450,0.299,false
27,00:45:49.889,Long Strafe Bot,ADSable Hitscan Cone,1.959s,692,470,0.679,435,630,0.69,false
28,00:45:53.420,Long Strafe Bot,ADSable Hitscan Cone,3.272s,1539,479,0.311,434,1400,0.31,false
29,00:45:56.268,Long Strafe Bot,ADSable Hitscan Cone,2.585s,1044,480,0.46,441,950,0.464,false
30,00:45:59.051,Long Strafe Bot,ADSable Hitscan Cone,2.528s,1110,433,0.39,433,1010,0.429,false
31,00:46:01.221,Long Strafe Bot,ADSable Hitscan Cone,1.907s,703,467,0.664,441,640,0.689,false
32,00:46:03.305,Long Strafe Bot,ADSable Hitscan Cone,1.379s,769,491,0.638,455,700,0.65,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,35267,15123,14204.0,32090.0,

Kills:,32
Deaths:,0
Fight Time:,77.315002
Avg TTK:,0
Damage Done:,14204.0
Damage Taken:,0.0
Midairs:,209
Midaired:,0
Directs:,919
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,6287.118164
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,v2.6.1
Challenge Start:,00:44:34.767
Pause Count:,19
Pause Duration:,924

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,248.007339
Resolution Scale,100.0
