Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:36:24.728,Long Strafe Bot,ADSable Hitscan Cone,2.438s,1352,433,0.32,433,1230,0.352,false
2,22:36:28.133,Long Strafe Bot,ADSable Hitscan Cone,3.147s,1407,478,0.34,435,1280,0.34,false
3,22:36:31.170,Long Strafe Bot,ADSable Hitscan Cone,2.78s,1407,471,0.335,437,1280,0.341,false
4,22:36:33.982,Long Strafe Bot,ADSable Hitscan Cone,2s,1110,435,0.392,435,1010,0.431,false
5,22:36:38.309,Long Strafe Bot,ADSable Hitscan Cone,4.07s,1880,823,0.438,787,1710,0.46,false
6,22:36:39.242,Long Strafe Bot,ADSable Hitscan Cone,0.692s,208,89,0.428,89,190,0.468,false
7,22:36:41.113,Long Strafe Bot,ADSable Hitscan Cone,1.36s,758,465,0.613,440,690,0.638,false
8,22:36:43.814,Long Strafe Bot,ADSable Hitscan Cone,2.079s,1154,476,0.412,435,1050,0.414,false
9,22:36:46.778,Long Strafe Bot,ADSable Hitscan Cone,2.718s,1451,484,0.334,441,1320,0.334,false
10,22:36:49.100,Long Strafe Bot,ADSable Hitscan Cone,2.06s,813,469,0.577,439,740,0.593,false
11,22:36:52.045,Long Strafe Bot,ADSable Hitscan Cone,2.684s,1066,471,0.442,433,970,0.446,false
12,22:36:54.734,Long Strafe Bot,ADSable Hitscan Cone,2.429s,1044,465,0.445,433,950,0.456,false
13,22:36:57.276,Long Strafe Bot,ADSable Hitscan Cone,2.279s,802,468,0.584,439,730,0.601,false
14,22:36:59.648,Long Strafe Bot,ADSable Hitscan Cone,2.112s,923,474,0.514,440,840,0.524,false
15,22:37:03.061,Long Strafe Bot,ADSable Hitscan Cone,3.154s,1341,479,0.357,441,1220,0.361,false
16,22:37:05.607,Long Strafe Bot,ADSable Hitscan Cone,2.284s,978,469,0.48,433,890,0.487,false
17,22:37:08.473,Long Strafe Bot,ADSable Hitscan Cone,2.606s,1209,435,0.36,435,1100,0.395,false
18,22:37:11.914,Long Strafe Bot,ADSable Hitscan Cone,3.181s,1110,438,0.395,438,1010,0.434,false
19,22:37:14.253,Long Strafe Bot,ADSable Hitscan Cone,2.079s,758,472,0.623,434,690,0.629,false
20,22:37:17.272,Long Strafe Bot,ADSable Hitscan Cone,2.417s,1341,435,0.324,435,1220,0.357,false
21,22:37:20.086,Long Strafe Bot,ADSable Hitscan Cone,2.097s,1165,465,0.399,435,1060,0.41,false
22,22:37:22.523,Long Strafe Bot,ADSable Hitscan Cone,2.21s,1143,433,0.379,433,1040,0.416,false
23,22:37:25.316,Long Strafe Bot,ADSable Hitscan Cone,2.379s,1319,472,0.358,440,1200,0.367,false
24,22:37:28.076,Long Strafe Bot,ADSable Hitscan Cone,1.999s,1110,474,0.427,438,1010,0.434,false
25,22:37:30.465,Long Strafe Bot,ADSable Hitscan Cone,1.48s,824,476,0.578,441,750,0.588,false
26,22:37:32.588,Long Strafe Bot,ADSable Hitscan Cone,1.867s,912,435,0.477,435,830,0.524,false
27,22:37:34.618,Long Strafe Bot,ADSable Hitscan Cone,1.772s,835,472,0.565,438,760,0.576,false
28,22:37:39.342,Long Strafe Bot,ADSable Hitscan Cone,4.466s,1363,476,0.349,440,1240,0.355,false
29,22:37:42.915,Long Strafe Bot,ADSable Hitscan Cone,3.318s,1550,473,0.305,434,1410,0.308,false
30,22:37:44.686,Long Strafe Bot,ADSable Hitscan Cone,1.509s,725,471,0.65,435,660,0.659,false
31,22:37:47.125,Long Strafe Bot,ADSable Hitscan Cone,2.187s,1033,473,0.458,438,940,0.466,false
32,22:37:49.100,Long Strafe Bot,ADSable Hitscan Cone,1.578s,879,475,0.54,442,800,0.553,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,35575,15147,14277.0,32370.0,

Kills:,32
Deaths:,0
Fight Time:,75.431
Avg TTK:,0
Damage Done:,14277.0
Damage Taken:,0.0
Midairs:,317
Midaired:,0
Directs:,870
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,6296.963867
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,v2.6.1
Challenge Start:,22:36:20.654
Pause Count:,18
Pause Duration:,42

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,242.716049
Resolution Scale,100.0
