Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:05:44.138,Long Strafe Bot,ADSable Hitscan Cone,2.377s,1319,442,0.335,442,1200,0.368,false
2,19:05:46.260,Long Strafe Bot,ADSable Hitscan Cone,1.277s,714,468,0.655,434,650,0.668,false
3,19:05:50.052,Long Strafe Bot,ADSable Hitscan Cone,2.66s,1473,435,0.295,435,1340,0.325,false
4,19:05:53.801,Long Strafe Bot,ADSable Hitscan Cone,3.237s,1792,475,0.265,435,1630,0.267,false
5,19:05:55.945,Long Strafe Bot,ADSable Hitscan Cone,1.62s,901,468,0.519,435,820,0.53,false
6,19:05:58.486,Long Strafe Bot,ADSable Hitscan Cone,1.739s,967,473,0.489,433,880,0.492,false
7,19:06:00.339,Long Strafe Bot,ADSable Hitscan Cone,1.595s,802,464,0.579,437,730,0.599,false
8,19:06:03.055,Long Strafe Bot,ADSable Hitscan Cone,2.485s,1066,440,0.413,438,970,0.452,false
9,19:06:06.064,Long Strafe Bot,ADSable Hitscan Cone,2.38s,1319,475,0.36,437,1200,0.364,false
10,19:06:09.555,Long Strafe Bot,ADSable Hitscan Cone,2.298s,1275,519,0.407,488,1160,0.421,false
11,19:06:12.599,Long Strafe Bot,ADSable Hitscan Cone,2.619s,1451,388,0.267,388,1320,0.294,false
12,19:06:14.680,Long Strafe Bot,ADSable Hitscan Cone,1.699s,945,434,0.459,434,860,0.505,false
13,19:06:17.817,Long Strafe Bot,ADSable Hitscan Cone,2.2s,1220,479,0.393,441,1110,0.397,false
14,19:06:20.194,Long Strafe Bot,ADSable Hitscan Cone,1.96s,1088,438,0.403,438,990,0.442,false
15,19:06:22.226,Long Strafe Bot,ADSable Hitscan Cone,1.555s,824,476,0.578,442,750,0.589,false
16,19:06:25.231,Long Strafe Bot,ADSable Hitscan Cone,2.58s,1429,473,0.331,437,1300,0.336,false
17,19:06:28.212,Long Strafe Bot,ADSable Hitscan Cone,2.097s,1165,469,0.403,441,1060,0.416,false
18,19:06:31.280,Long Strafe Bot,ADSable Hitscan Cone,1.758s,978,473,0.484,438,890,0.492,false
19,19:06:33.869,Long Strafe Bot,ADSable Hitscan Cone,2.499s,1165,533,0.458,488,1060,0.46,false
20,19:06:35.662,Long Strafe Bot,ADSable Hitscan Cone,1.544s,802,423,0.527,392,730,0.537,false
21,19:06:38.817,Long Strafe Bot,ADSable Hitscan Cone,2.911s,1033,477,0.462,434,940,0.462,false
22,19:06:41.807,Long Strafe Bot,ADSable Hitscan Cone,2.243s,1242,471,0.379,437,1130,0.387,false
23,19:06:44.999,Long Strafe Bot,ADSable Hitscan Cone,2.199s,1220,439,0.36,439,1110,0.395,false
24,19:06:48.826,Long Strafe Bot,ADSable Hitscan Cone,3.197s,1671,913,0.546,856,1520,0.563,false
25,19:06:49.051,Long Strafe Bot,ADSable Hitscan Cone,0.018s,21,21,1,20,20,1,false
26,19:06:52.430,Long Strafe Bot,ADSable Hitscan Cone,3.118s,1066,472,0.443,435,970,0.448,false
27,19:06:54.445,Long Strafe Bot,ADSable Hitscan Cone,1.755s,868,435,0.501,435,790,0.551,false
28,19:06:58.604,Long Strafe Bot,ADSable Hitscan Cone,3.902s,1737,477,0.275,439,1580,0.278,false
29,19:07:01.017,Long Strafe Bot,ADSable Hitscan Cone,2.153s,835,467,0.559,433,760,0.57,false
30,19:07:03.710,Long Strafe Bot,ADSable Hitscan Cone,2.434s,879,481,0.547,437,800,0.546,false
31,19:07:06.832,Long Strafe Bot,ADSable Hitscan Cone,2.016s,1121,471,0.42,438,1020,0.429,false
32,19:07:09.722,Long Strafe Bot,ADSable Hitscan Cone,2.63s,1209,439,0.363,439,1100,0.399,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,35784,14862,14049.0,32560.0,

Kills:,32
Deaths:,0
Fight Time:,70.754997
Avg TTK:,0
Damage Done:,14049.0
Damage Taken:,0.0
Midairs:,274
Midaired:,0
Directs:,813
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,6061.867188
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,v2.6.3
Challenge Start:,19:05:41.031
Pause Count:,18
Pause Duration:,2995

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.75
Vert Sens:,6.75
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,245.085327
Resolution Scale,100.0
