Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:36:26.956,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
2,19:36:27.317,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
3,19:36:28.115,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
4,19:36:28.797,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
5,19:36:29.726,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
6,19:36:30.331,Pigeon,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0
7,19:36:31.838,Pigeon,pistol,0.347000s,2,1,0.500000,50.000000,250.000000,0.200000,0
8,19:36:32.956,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
9,19:36:33.463,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
10,19:36:34.095,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
11,19:36:34.554,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
12,19:36:35.324,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
13,19:36:36.026,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
14,19:36:36.554,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
15,19:36:37.832,Pigeon,pistol,0.764000s,2,1,0.500000,50.000000,250.000000,0.200000,0
16,19:36:38.929,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
17,19:36:39.464,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
18,19:36:40.207,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
19,19:36:41.867,Pigeon,pistol,1.118000s,3,1,0.333333,50.000000,375.000000,0.133333,0
20,19:36:42.902,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
21,19:36:43.758,Pigeon,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0
22,19:36:44.154,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
23,19:36:44.573,Pigeon,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0
24,19:36:45.434,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
25,19:36:46.100,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
26,19:36:47.698,Pigeon,pistol,0.902000s,2,1,0.500000,50.000000,250.000000,0.200000,0
27,19:36:48.733,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
28,19:36:50.566,Pigeon,pistol,1.341000s,3,1,0.333333,50.000000,375.000000,0.133333,0
29,19:36:51.580,Pigeon,pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0
30,19:36:52.781,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
31,19:36:53.309,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
32,19:36:54.150,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
33,19:36:54.733,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
34,19:36:55.767,Pigeon,pistol,0.673000s,2,1,0.500000,50.000000,250.000000,0.200000,0
35,19:36:56.351,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
36,19:36:57.622,Pigeon,pistol,0.409000s,2,1,0.500000,50.000000,250.000000,0.200000,0
37,19:36:58.768,Pigeon,pistol,0.667000s,2,1,0.500000,50.000000,250.000000,0.200000,0
38,19:37:00.844,Pigeon,pistol,0.966000s,3,1,0.333333,50.000000,375.000000,0.133333,0
39,19:37:01.649,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
40,19:37:02.365,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
41,19:37:03.337,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
42,19:37:04.476,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
43,19:37:05.010,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
44,19:37:05.816,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
45,19:37:06.524,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
46,19:37:07.121,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
47,19:37:07.788,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
48,19:37:08.532,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
49,19:37:09.281,Pigeon,pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0
