Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:05:58.449,Pigeon,LG,2.488s,47,17,0.362,102,282,0.362,false
2,16:06:02.225,Pigeon,LG,2.973s,56,17,0.304,102,336,0.304,false
3,16:06:04.724,Pigeon,LG,1.999s,38,17,0.447,102,228,0.447,false
4,16:06:08.055,Pigeon,LG,2.217s,42,17,0.405,102,252,0.405,false
5,16:06:10.615,Pigeon,LG,2.053s,39,17,0.436,102,234,0.436,false
6,16:06:13.954,Pigeon,LG,3.066s,42,17,0.405,102,252,0.405,false
7,16:06:17.091,Pigeon,LG,2.477s,42,17,0.405,102,252,0.405,false
8,16:06:21.018,Pigeon,LG,3.371s,60,17,0.283,102,360,0.283,false
9,16:06:25.984,Pigeon,LG,4.491s,84,17,0.202,102,504,0.202,false
10,16:06:29.565,Pigeon,LG,2.397s,44,17,0.386,102,264,0.386,false
11,16:06:31.678,Pigeon,LG,1.243s,24,17,0.708,102,144,0.708,false
12,16:06:34.848,Pigeon,LG,2.65s,50,18,0.36,108,300,0.36,false
13,16:06:38.422,Pigeon,LG,3.029s,57,16,0.281,96,342,0.281,false
14,16:06:40.778,Pigeon,LG,1.675s,32,17,0.531,102,192,0.531,false
15,16:06:45.674,Pigeon,LG,4.004s,75,17,0.227,102,450,0.227,false
16,16:06:48.321,Pigeon,LG,1.73s,33,17,0.515,102,198,0.515,false
17,16:06:52.681,Pigeon,LG,3.894s,73,17,0.233,102,438,0.233,false
18,16:06:54.369,Pigeon,LG,0.972s,19,17,0.895,102,114,0.895,false
19,16:06:56.946,Pigeon,LG,1.945s,37,17,0.459,102,222,0.459,false
20,16:07:00.157,Pigeon,LG,2.126s,36,17,0.472,102,216,0.472,false
21,16:07:03.476,Pigeon,LG,2.539s,48,17,0.354,102,288,0.354,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1014,370,2220.0,6084.0,

Kills:,21
Deaths:,0
Fight Time:,53.339001
Avg TTK:,0
Damage Done:,2220.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,21.0
Scenario:,Bounce 180 Tracking (health100)
Hash:,8b56f02fa78e9ce26535c600237d5c2d
Game Version:,v2.6.3
Challenge Start:,16:05:55.135
Pause Count:,4
Pause Duration:,494

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.7
Vert Sens:,6.7
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,345.734711
Resolution Scale,100.0
