Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:55:06.582,Pigeon,LG,3.769s,63,18,0.286,108,378,0.286,false
2,17:55:11.415,Pigeon,LG,4.155s,67,17,0.254,102,402,0.254,false
3,17:55:15.151,Pigeon,LG,2.543s,48,17,0.354,102,288,0.354,false
4,17:55:18.748,Pigeon,LG,2.974s,56,17,0.304,102,336,0.304,false
5,17:55:22.354,Pigeon,LG,2.756s,52,16,0.308,96,312,0.308,false
6,17:55:26.274,Pigeon,LG,2.932s,52,17,0.327,102,312,0.327,false
7,17:55:29.511,Pigeon,LG,2.65s,50,17,0.34,102,300,0.34,false
8,17:55:32.825,Pigeon,LG,2.324s,44,17,0.386,102,264,0.386,false
9,17:55:36.572,Pigeon,LG,3.19s,60,17,0.283,102,360,0.283,false
10,17:55:43.145,Pigeon,LG,5.411s,101,17,0.168,102,606,0.168,false
11,17:55:47.017,Pigeon,LG,3.277s,43,17,0.395,102,258,0.395,false
12,17:55:51.204,Pigeon,LG,3.705s,61,17,0.279,102,366,0.279,false
13,17:55:55.452,Pigeon,LG,3.463s,65,19,0.292,114,390,0.292,false
14,17:56:00.584,Pigeon,LG,4.272s,80,15,0.188,90,480,0.188,false
15,17:56:04.595,Pigeon,LG,3.514s,66,17,0.258,102,396,0.258,false
16,17:56:08.476,Pigeon,LG,3.305s,59,21,0.356,126,354,0.356,false
17,17:56:11.283,Pigeon,LG,2.382s,45,17,0.378,102,270,0.378,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1015,293,1758.0,6090.0,

Kills:,17
Deaths:,0
Fight Time:,56.622002
Avg TTK:,0
Damage Done:,1758.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,17.0
Scenario:,Bounce 180 Tracking (health100)
Hash:,8b56f02fa78e9ce26535c600237d5c2d
Game Version:,v2.6.3
Challenge Start:,17:55:01.629
Pause Count:,4
Pause Duration:,65

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.8
Vert Sens:,6.8
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,365.164185
Resolution Scale,100.0
