Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:25:35.747,Pigeon,LG,0.215s,5,5,1,30,30,1,false
2,14:25:37.011,Pigeon,LG,0.865s,17,5,0.294,30,102,0.294,false
3,14:25:38.912,Pigeon,LG,1.35s,26,5,0.192,30,156,0.192,false
4,14:25:40.000,Pigeon,LG,0.647s,13,5,0.385,30,78,0.385,false
5,14:25:41.346,Pigeon,LG,0.537s,11,5,0.455,30,66,0.455,false
6,14:25:42.007,Pigeon,LG,0.267s,6,5,0.833,30,36,0.833,false
7,14:25:43.022,Pigeon,LG,0.432s,9,5,0.556,30,54,0.556,false
8,14:25:43.725,Pigeon,LG,0.268s,6,5,0.833,30,36,0.833,false
9,14:25:46.602,Pigeon,LG,2.376s,45,9,0.2,54,270,0.2,false
10,14:25:47.949,Pigeon,LG,0.918s,18,5,0.278,30,108,0.278,false
11,14:25:48.508,Pigeon,LG,0.053s,2,1,0.5,6,12,0.5,false
12,14:25:49.158,Pigeon,LG,0.268s,6,5,0.833,30,36,0.833,false
13,14:25:49.832,Pigeon,LG,0.216s,5,5,1,30,30,1,false
14,14:25:51.464,Pigeon,LG,1.244s,24,5,0.208,30,144,0.208,false
15,14:25:52.432,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
16,14:25:53.915,Pigeon,LG,0.809s,16,5,0.312,30,96,0.312,false
17,14:25:56.150,Pigeon,LG,1.453s,25,7,0.28,42,150,0.28,false
18,14:25:56.692,Pigeon,LG,0.378s,8,3,0.375,18,48,0.375,false
19,14:25:58.612,Pigeon,LG,1.404s,27,6,0.222,36,162,0.222,false
20,14:25:59.678,Pigeon,LG,0.538s,11,5,0.455,30,66,0.455,false
21,14:26:00.776,Pigeon,LG,0.701s,14,4,0.286,24,84,0.286,false
22,14:26:02.148,Pigeon,LG,1.092s,16,5,0.312,30,96,0.312,false
23,14:26:04.131,Pigeon,LG,1.141s,21,5,0.238,30,126,0.238,false
24,14:26:05.200,Pigeon,LG,0.645s,13,5,0.385,30,78,0.385,false
25,14:26:06.829,Pigeon,LG,1.244s,24,5,0.208,30,144,0.208,false
26,14:26:08.653,Pigeon,LG,0.754s,15,5,0.333,30,90,0.333,false
27,14:26:09.849,Pigeon,LG,0.754s,15,5,0.333,30,90,0.333,false
28,14:26:11.053,Pigeon,LG,0.486s,10,5,0.5,30,60,0.5,false
29,14:26:14.023,Pigeon,LG,2.582s,47,9,0.191,54,282,0.191,false
30,14:26:15.603,Pigeon,LG,1.188s,23,6,0.261,36,138,0.261,false
31,14:26:16.655,Pigeon,LG,0.646s,13,1,0.077,6,78,0.077,false
32,14:26:18.585,Pigeon,LG,1.081s,21,5,0.238,30,126,0.238,false
33,14:26:19.627,Pigeon,LG,0.595s,12,5,0.417,30,72,0.417,false
34,14:26:20.444,Pigeon,LG,0.321s,7,5,0.714,30,42,0.714,false
35,14:26:21.693,Pigeon,LG,0.702s,14,5,0.357,30,84,0.357,false
36,14:26:23.440,Pigeon,LG,0.863s,17,5,0.294,30,102,0.294,false
37,14:26:24.854,Pigeon,LG,0.972s,19,5,0.263,30,114,0.263,false
38,14:26:26.129,Pigeon,LG,0.431s,9,4,0.444,24,54,0.444,false
39,14:26:26.981,Pigeon,LG,0.431s,9,5,0.556,30,54,0.556,false
40,14:26:28.912,Pigeon,LG,1.19s,23,5,0.217,30,138,0.217,false
41,14:26:29.905,Pigeon,LG,0.592s,12,5,0.417,30,72,0.417,false
42,14:26:31.255,Pigeon,LG,0.54s,11,5,0.455,30,66,0.455,false
43,14:26:32.963,Pigeon,LG,1.241s,24,5,0.208,30,144,0.208,false
44,14:26:34.590,Pigeon,LG,0.865s,17,5,0.294,30,102,0.294,false
45,14:26:35.580,Pigeon,LG,0.485s,10,5,0.5,30,60,0.5,false
46,14:26:37.086,Pigeon,LG,0.811s,16,5,0.312,30,96,0.312,false
47,14:26:38.364,Pigeon,LG,0.864s,17,5,0.294,30,102,0.294,false
48,14:26:40.124,Pigeon,LG,0.864s,17,5,0.294,30,102,0.294,false
49,14:26:41.144,Pigeon,LG,0.813s,16,5,0.312,30,96,0.312,false
50,14:26:42.462,Pigeon,LG,0.918s,18,5,0.278,30,108,0.278,false
51,14:26:43.819,Pigeon,LG,0.646s,13,5,0.385,30,78,0.385,false
52,14:26:45.243,Pigeon,LG,0.702s,14,5,0.357,30,84,0.357,false
53,14:26:46.689,Pigeon,LG,0.864s,17,5,0.294,30,102,0.294,false
54,14:26:48.627,Pigeon,LG,1.295s,25,5,0.2,30,150,0.2,false
55,14:26:49.419,Pigeon,LG,0.466s,6,5,0.833,30,36,0.833,false
56,14:26:50.935,Pigeon,LG,1.024s,20,5,0.25,30,120,0.25,false
57,14:26:52.243,Pigeon,LG,0.755s,15,5,0.333,30,90,0.333,false
58,14:26:53.809,Pigeon,LG,1.079s,21,5,0.238,30,126,0.238,false
59,14:26:55.248,Pigeon,LG,0.973s,19,5,0.263,30,114,0.263,false
60,14:26:56.592,Pigeon,LG,0.756s,15,5,0.333,30,90,0.333,false
61,14:26:59.011,Pigeon,LG,1.457s,28,5,0.179,30,168,0.179,false
62,14:27:00.719,Pigeon,LG,1.242s,24,5,0.208,30,144,0.208,false
63,14:27:02.241,Pigeon,LG,0.918s,18,5,0.278,30,108,0.278,false
64,14:27:03.395,Pigeon,LG,0.701s,14,5,0.357,30,84,0.357,false
65,14:27:05.274,Pigeon,LG,1.351s,26,5,0.192,30,156,0.192,false
66,14:27:07.195,Pigeon,LG,1.298s,25,5,0.2,30,150,0.2,false
67,14:27:08.585,Pigeon,LG,0.973s,19,5,0.263,30,114,0.263,false
68,14:27:09.411,Pigeon,LG,0.54s,11,5,0.455,30,66,0.455,false
69,14:27:11.376,Pigeon,LG,1.403s,27,5,0.185,30,162,0.185,false
