Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:29:03.403,Pigeon,LG,0.430000s,9,5,0.555556,30.000000,54.000000,0.555556,0
2,20:29:04.834,Pigeon,LG,0.972000s,19,5,0.263158,30.000000,114.000000,0.263158,0
3,20:29:05.577,Pigeon,LG,0.264000s,6,5,0.833333,30.000000,36.000000,0.833333,0
4,20:29:06.493,Pigeon,LG,0.431000s,9,5,0.555556,30.000000,54.000000,0.555556,0
5,20:29:07.709,Pigeon,LG,0.806000s,16,6,0.375000,36.000000,96.000000,0.375000,0
6,20:29:08.549,Pigeon,LG,0.375000s,8,5,0.625000,30.000000,48.000000,0.625000,0
7,20:29:09.265,Pigeon,LG,0.215000s,5,4,0.800000,24.000000,30.000000,0.800000,0
8,20:29:10.578,Pigeon,LG,0.647000s,13,5,0.384615,30.000000,78.000000,0.384615,0
9,20:29:12.099,Pigeon,LG,0.757000s,15,5,0.333333,30.000000,90.000000,0.333333,0
10,20:29:13.008,Pigeon,LG,0.486000s,10,5,0.500000,30.000000,60.000000,0.500000,0
11,20:29:14.320,Pigeon,LG,0.429000s,9,5,0.555556,30.000000,54.000000,0.555556,0
12,20:29:16.167,Pigeon,LG,1.624000s,31,5,0.161290,30.000000,186.000000,0.161290,0
13,20:29:16.903,Pigeon,LG,0.319000s,7,5,0.714286,30.000000,42.000000,0.714286,0
14,20:29:17.549,Pigeon,LG,0.215000s,5,5,1.000000,30.000000,30.000000,1.000000,0
15,20:29:18.535,Pigeon,LG,0.534000s,11,5,0.454545,30.000000,66.000000,0.454545,0
16,20:29:19.557,Pigeon,LG,0.591000s,12,5,0.416667,30.000000,72.000000,0.416667,0
17,20:29:20.522,Pigeon,LG,0.485000s,10,5,0.500000,30.000000,60.000000,0.500000,0
18,20:29:21.800,Pigeon,LG,0.701000s,14,5,0.357143,30.000000,84.000000,0.357143,0
19,20:29:23.772,Pigeon,LG,1.401000s,27,5,0.185185,30.000000,162.000000,0.185185,0
20,20:29:25.439,Pigeon,LG,1.145000s,20,5,0.250000,30.000000,120.000000,0.250000,0
21,20:29:26.910,Pigeon,LG,1.103000s,18,5,0.277778,30.000000,108.000000,0.277778,0
22,20:29:28.431,Pigeon,LG,0.590000s,12,5,0.416667,30.000000,72.000000,0.416667,0
23,20:29:29.702,Pigeon,LG,0.701000s,14,5,0.357143,30.000000,84.000000,0.357143,0
24,20:29:31.008,Pigeon,LG,0.757000s,15,5,0.333333,30.000000,90.000000,0.333333,0
25,20:29:32.036,Pigeon,LG,0.263000s,6,6,1.000000,36.000000,36.000000,1.000000,0
26,20:29:32.980,Pigeon,LG,0.486000s,10,4,0.400000,24.000000,60.000000,0.400000,0
27,20:29:33.820,Pigeon,LG,0.486000s,10,5,0.500000,30.000000,60.000000,0.500000,0
28,20:29:35.209,Pigeon,LG,0.826000s,16,5,0.312500,30.000000,96.000000,0.312500,0
29,20:29:36.327,Pigeon,LG,0.485000s,10,5,0.500000,30.000000,60.000000,0.500000,0
30,20:29:37.334,Pigeon,LG,0.486000s,10,5,0.500000,30.000000,60.000000,0.500000,0
31,20:29:38.265,Pigeon,LG,0.535000s,11,5,0.454545,30.000000,66.000000,0.454545,0
32,20:29:38.911,Pigeon,LG,0.214000s,5,5,1.000000,30.000000,30.000000,1.000000,0
33,20:29:40.571,Pigeon,LG,0.972000s,19,5,0.263158,30.000000,114.000000,0.263158,0
34,20:29:41.939,Pigeon,LG,0.805000s,16,5,0.312500,30.000000,96.000000,0.312500,0
35,20:29:42.835,Pigeon,LG,0.375000s,8,5,0.625000,30.000000,48.000000,0.625000,0
36,20:29:44.495,Pigeon,LG,0.701000s,14,5,0.357143,30.000000,84.000000,0.357143,0
37,20:29:46.015,Pigeon,LG,1.111000s,19,5,0.263158,30.000000,114.000000,0.263158,0
38,20:29:47.300,Pigeon,LG,0.757000s,15,5,0.333333,30.000000,90.000000,0.333333,0
39,20:29:48.550,Pigeon,LG,0.915000s,18,5,0.277778,30.000000,108.000000,0.277778,0
40,20:29:49.452,Pigeon,LG,0.486000s,10,5,0.500000,30.000000,60.000000,0.500000,0
41,20:29:50.438,Pigeon,LG,0.486000s,10,5,0.500000,30.000000,60.000000,0.500000,0
42,20:29:51.417,Pigeon,LG,0.646000s,13,5,0.384615,30.000000,78.000000,0.384615,0
43,20:29:52.251,Pigeon,LG,0.486000s,10,5,0.500000,30.000000,60.000000,0.500000,0
44,20:29:53.904,Pigeon,LG,1.243000s,24,5,0.208333,30.000000,144.000000,0.208333,0
45,20:29:55.015,Pigeon,LG,0.534000s,11,5,0.454545,30.000000,66.000000,0.454545,0
46,20:29:56.730,Pigeon,LG,1.187000s,23,5,0.217391,30.000000,138.000000,0.217391,0
47,20:29:58.064,Pigeon,LG,0.646000s,13,5,0.384615,30.000000,78.000000,0.384615,0
48,20:29:58.967,Pigeon,LG,0.533000s,11,5,0.454545,30.000000,66.000000,0.454545,0
49,20:30:00.134,Pigeon,LG,0.756000s,15,5,0.333333,30.000000,90.000000,0.333333,0
50,20:30:01.732,Pigeon,LG,0.916000s,18,5,0.277778,30.000000,108.000000,0.277778,0
51,20:30:02.586,Pigeon,LG,0.319000s,7,5,0.714286,30.000000,42.000000,0.714286,0
52,20:30:04.204,Pigeon,LG,0.971000s,19,5,0.263158,30.000000,114.000000,0.263158,0
53,20:30:05.044,Pigeon,LG,0.375000s,8,5,0.625000,30.000000,48.000000,0.625000,0
54,20:30:06.273,Pigeon,LG,0.645000s,13,5,0.384615,30.000000,78.000000,0.384615,0
55,20:30:07.315,Pigeon,LG,0.534000s,11,5,0.454545,30.000000,66.000000,0.454545,0
56,20:30:08.648,Pigeon,LG,1.035000s,18,5,0.277778,30.000000,108.000000,0.277778,0
57,20:30:10.009,Pigeon,LG,0.916000s,18,5,0.277778,30.000000,108.000000,0.277778,0
58,20:30:11.086,Pigeon,LG,0.590000s,12,5,0.416667,30.000000,72.000000,0.416667,0
59,20:30:12.606,Pigeon,LG,1.027000s,20,5,0.250000,30.000000,120.000000,0.250000,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,787,295,1770.0,4722.0,

Kills:,59
Deaths:,0
Fight Time:,39.726002
Avg TTK:,1.407531
Damage Done:,1770.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,59.0
Scenario:,Bounce 180 Tracking
Hash:,34eb3c5e616da024acf883f4ac7ec524
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,10
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,169.404251
Resolution Scale:,100.0
