Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:09:45.271,Quaker Bot Fast Strafes,LG,8.278s,181,50,0.276,300,1086,0.276,false
2,17:09:52.466,Quaker Bot Fast Strafes,LG,5.197s,114,50,0.439,300,684,0.439,false
3,17:10:00.746,Quaker Bot Fast Strafes,LG,8.007s,143,50,0.35,300,858,0.35,false
4,17:10:08.450,Quaker Bot Fast Strafes,LG,7.432s,130,50,0.385,300,780,0.385,false
5,17:10:15.395,Quaker Bot Fast Strafes,LG,5.15s,113,50,0.442,300,678,0.442,false
6,17:10:25.394,Quaker Bot Fast Strafes,LG,9.723s,180,50,0.278,300,1080,0.278,false
7,17:10:32.645,Quaker Bot Fast Strafes,LG,5.378s,118,50,0.424,300,708,0.424,false
8,17:10:39.727,Quaker Bot Fast Strafes,LG,5.335s,117,50,0.427,300,702,0.427,false
9,17:10:46.372,Quaker Bot Fast Strafes,LG,4.78s,105,50,0.476,300,630,0.476,false
10,17:10:53.986,Quaker Bot Fast Strafes,LG,7.337s,127,50,0.394,300,762,0.394,false
11,17:11:01.512,Quaker Bot Fast Strafes,LG,7.252s,126,50,0.397,300,756,0.397,false
12,17:11:10.169,Quaker Bot Fast Strafes,LG,8.38s,150,50,0.333,300,900,0.333,false
13,17:11:19.857,Quaker Bot Fast Strafes,LG,9.413s,173,50,0.289,300,1038,0.289,false
14,17:11:26.459,Quaker Bot Fast Strafes,LG,6.325s,106,50,0.472,300,636,0.472,false
15,17:11:34.915,Quaker Bot Fast Strafes,LG,6.667s,146,50,0.342,300,876,0.342,false
16,17:11:43.781,Quaker Bot Fast Strafes,LG,8.589s,154,50,0.325,300,924,0.325,false
17,17:11:52.530,Quaker Bot Fast Strafes,LG,6.944s,152,50,0.329,300,912,0.329,false
18,17:11:59.166,Quaker Bot Fast Strafes,LG,4.829s,106,50,0.472,300,636,0.472,false
19,17:12:07.435,Quaker Bot Fast Strafes,LG,7.994s,143,50,0.35,300,858,0.35,false
20,17:12:15.668,Quaker Bot Fast Strafes,LG,7.995s,141,50,0.355,300,846,0.355,false
21,17:12:24.086,Quaker Bot Fast Strafes,LG,6.531s,143,50,0.35,300,858,0.35,false
22,17:12:35.097,Quaker Bot Fast Strafes,LG,9.197s,201,50,0.249,300,1206,0.249,false
23,17:12:42.454,Quaker Bot Fast Strafes,LG,5.426s,119,50,0.42,300,714,0.42,false
24,17:12:49.229,Quaker Bot Fast Strafes,LG,6.498s,109,50,0.459,300,654,0.459,false
25,17:12:55.673,Quaker Bot Fast Strafes,LG,6.218s,104,50,0.481,300,624,0.481,false
