Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG HS v2,1091,302,390.0,2182.0,

Kills:,0
Deaths:,0
Fight Time:,0.0
Avg TTK:,0.0
Damage Done:,390.0
Damage Taken:,1410.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,14
Reloads:,0
Distance Traveled:,58999.472656
Score:,0.0
Scenario:,Close Fast Colosseum Robots
Hash:,3b6da13e327937d07f7d38280d8c6f5f
Game Version:,3.0.2
Challenge Start:,H:M:S.s
Pause Count:,6
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Quake/Source
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.946411
Resolution Scale:,100.0
