Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:42:58.252,Quaker Bot Long Strafes,LG,8.376000s,176,67,0.380682,402.000000,1056.000000,0.380682,0
2,11:43:48.135,Quaker Bot Long Strafes,LG,7.847001s,166,67,0.403614,402.000000,996.000000,0.403614,0
3,11:43:56.087,Quaker Bot Long Strafes,LG,7.291000s,154,67,0.435065,402.000000,924.000000,0.435065,0
4,11:44:04.393,Quaker Bot Long Strafes,LG,7.813000s,159,67,0.421384,402.000000,954.000000,0.421384,0
5,11:44:14.639,Quaker Bot Long Strafes,LG,9.114000s,177,67,0.378531,402.000000,1062.000000,0.378531,0
6,11:44:22.167,Quaker Bot Long Strafes,LG,6.819000s,143,67,0.468531,402.000000,858.000000,0.468531,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1134,468,2808.0,6804.0,

Kills:,6
Deaths:,0
Fight Time:,47.260002
Avg TTK:,10.166607
Damage Done:,2808.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,54528.890625
Score:,13424.0
Scenario:,Close LS Easy Dodge
Hash:,d7f95fe4bff87c8145406b39f9570432
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,41
Pause Duration:,-2147483648.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.31813
Resolution Scale:,100.0
