Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:57:16.764,Quaker Bot Long Strafes,LG,4.333000s,91,67,0.736264,402.000000,546.000000,0.736264,0
2,15:57:23.486,Quaker Bot Long Strafes,LG,6.215000s,124,67,0.540323,402.000000,744.000000,0.540323,0
3,15:57:32.035,Quaker Bot Long Strafes,LG,8.014000s,160,67,0.418750,402.000000,960.000000,0.418750,0
4,15:57:41.014,Quaker Bot Long Strafes,LG,8.202001s,160,67,0.418750,402.000000,960.000000,0.418750,0
5,15:57:48.570,Quaker Bot Long Strafes,LG,6.923000s,142,67,0.471831,402.000000,852.000000,0.471831,0
6,15:57:56.063,Quaker Bot Long Strafes,LG,7.354001s,135,67,0.496296,402.000000,810.000000,0.496296,0
7,15:58:02.946,Quaker Bot Long Strafes,LG,6.632000s,124,67,0.540323,402.000000,744.000000,0.540323,0
8,15:58:10.870,Quaker Bot Long Strafes,LG,7.654000s,138,67,0.485507,402.000000,828.000000,0.485507,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1090,538,3228.0,6540.0,

Kills:,8
Deaths:,0
Fight Time:,55.327003
Avg TTK:,7.624955
Damage Done:,3228.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,57405.488281
Score:,14684.0
Scenario:,Close LS Easy Dodge
Hash:,d7f95fe4bff87c8145406b39f9570432
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,42
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.342545
Resolution Scale:,100.0
