Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:54:52.310,Quaker Bot Long Strafes,LG,5.617000s,122,67,0.549180,402.000000,732.000000,0.549180,0
2,17:54:57.887,Quaker Bot Long Strafes,LG,5.199000s,110,67,0.609091,402.000000,660.000000,0.609091,0
3,17:55:04.199,Quaker Bot Long Strafes,LG,5.763000s,125,67,0.536000,402.000000,750.000000,0.536000,0
4,17:55:11.531,Quaker Bot Long Strafes,LG,7.061000s,147,67,0.455782,402.000000,882.000000,0.455782,0
5,17:55:20.121,Quaker Bot Long Strafes,LG,7.812000s,162,67,0.413580,402.000000,972.000000,0.413580,0
6,17:55:27.200,Quaker Bot Long Strafes,LG,6.431000s,134,67,0.500000,402.000000,804.000000,0.500000,0
7,17:55:34.557,Quaker Bot Long Strafes,LG,6.752000s,139,67,0.482014,402.000000,834.000000,0.482014,0
8,17:55:40.054,Quaker Bot Long Strafes,LG,5.220000s,109,67,0.614679,402.000000,654.000000,0.614679,0
9,17:55:45.659,Quaker Bot Long Strafes,LG,5.188000s,109,67,0.614679,402.000000,654.000000,0.614679,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1166,605,3630.0,6996.0,

Kills:,9
Deaths:,0
Fight Time:,55.043003
Avg TTK:,6.777738
Damage Done:,3630.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,57634.074219
Score:,15890.0
Scenario:,Close LS Easy Dodge
Hash:,d7f95fe4bff87c8145406b39f9570432
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,38
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,360.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,298.873444
Resolution Scale:,100.0
