Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:20:14.339,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
2,18:20:15.193,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
3,18:20:16.339,TileFrenzyStrafing Cube,pistol,0.182s,2,1,0.5,36,144,0.25,false
4,18:20:19.056,TileFrenzyStrafing Cube,pistol,1.317s,2,1,0.5,36,144,0.25,false
5,18:20:20.167,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
6,18:20:21.052,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
7,18:20:22.352,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
8,18:20:24.733,TileFrenzyStrafing Cube,pistol,0.839s,2,1,0.5,36,144,0.25,false
9,18:20:25.454,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
10,18:20:27.096,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
11,18:20:28.450,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
12,18:20:29.571,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
13,18:20:30.459,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
14,18:20:31.573,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
15,18:20:32.736,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
16,18:20:33.721,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
17,18:20:34.912,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
18,18:20:35.845,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
19,18:20:37.317,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
20,18:20:38.056,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
21,18:20:38.999,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
22,18:20:40.255,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
23,18:20:41.822,TileFrenzyStrafing Cube,pistol,0.687s,2,1,0.5,36,144,0.25,false
24,18:20:42.927,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
25,18:20:44.193,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
26,18:20:45.326,TileFrenzyStrafing Cube,pistol,0.309s,2,1,0.5,36,144,0.25,false
27,18:20:46.128,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
28,18:20:47.112,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
29,18:20:48.402,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
30,18:20:50.306,TileFrenzyStrafing Cube,pistol,0.454s,2,1,0.5,36,144,0.25,false
31,18:20:51.306,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
32,18:20:52.641,TileFrenzyStrafing Cube,pistol,0.379s,2,1,0.5,36,144,0.25,false
33,18:20:53.449,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
34,18:20:54.406,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
35,18:20:55.234,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
36,18:20:56.032,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
37,18:20:56.923,TileFrenzyStrafing Cube,pistol,0.001s,1,1,1,36,72,0.5,false
38,18:20:58.012,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
39,18:20:58.892,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
40,18:21:00.285,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
41,18:21:01.312,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
42,18:21:02.546,TileFrenzyStrafing Cube,pistol,0.403s,2,1,0.5,36,144,0.25,false
43,18:21:03.789,TileFrenzyStrafing Cube,pistol,0.293s,2,1,0.5,36,144,0.25,false
44,18:21:04.720,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
45,18:21:05.864,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
46,18:21:07.175,TileFrenzyStrafing Cube,pistol,0.404s,2,1,0.5,36,144,0.25,false
47,18:21:08.462,TileFrenzyStrafing Cube,pistol,0.284s,2,1,0.5,36,144,0.25,false
48,18:21:09.388,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
49,18:21:11.353,TileFrenzyStrafing Cube,pistol,0.977s,3,1,0.333,36,216,0.167,false
50,18:21:12.317,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false
51,18:21:12.885,TileFrenzyStrafing Cube,pistol,0s,1,1,1,36,72,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,51,1836.0,4608.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,51
Deaths:,0
Fight Time:,6.533
Avg TTK:,0
Damage Done:,1836.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1836.0
Scenario:,Floating Heads Timing 400% FIXED
Hash:,cf60a0fe6d24f1560ae743000578bcec
Game Version:,2.0.5.3
Challenge Start:,18:20:13.185
Pause Count:,32
Pause Duration:,4422

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,263.25058
Resolution Scale,100.0
