Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:35:05.529,air1_close_long,LG,12.058s,1091,553,0.507,721.112,1422.654,0.507,false
2,02:35:19.841,air1_far_long,LG,14.061s,1188,553,0.465,721.112,1549.138,0.465,false
3,02:35:42.511,air_close_short,LG,22.438s,2047,553,0.27,721.112,2669.235,0.27,false
4,02:36:02.978,air1_far_short,LG,19.046s,1892,553,0.292,721.112,2467.122,0.292,false
5,02:36:34.475,Bot Profile,LG,31.239s,2436,553,0.227,721.112,3176.474,0.227,false
6,02:36:53.264,air1F_close_long,LG,18.538s,1501,553,0.368,721.112,1957.276,0.368,false
7,02:37:04.571,air1F_far_long,LG,11.055s,909,553,0.608,721.112,1185.334,0.608,false
8,02:37:34.488,air1F_close_short,LG,29.66s,2663,553,0.208,721.112,3472.471,0.208,false
9,02:37:59.811,air1F_far_short,LG,25.087s,2281,553,0.242,721.112,2974.361,0.242,false
10,02:38:33.464,air1_UFO,LG,32.578s,2866,553,0.193,721.112,3737.174,0.193,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,18875,5531,7212.797852,24616.044922,

Kills:,10
Deaths:,0
Fight Time:,215.759995
Avg TTK:,0
Damage Done:,7212.797852
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,99779.40625
Scenario:,Ground Plaza
Hash:,644025281e9d179bba731d35361c67bd
Game Version:,v2.6.3
Challenge Start:,02:34:52.874
Pause Count:,14
Pause Duration:,154

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,351.819305
Resolution Scale,100.0
