Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:58:55.336,air_close_short,LG,13.26s,1327,553,0.417,721.112,1730.387,0.417,false
2,17:59:08.308,air1_far_short,LG,11.608s,1162,553,0.476,721.112,1515.235,0.476,false
3,17:59:38.875,Bot Profile,LG,30.315s,2582,553,0.214,721.112,3366.851,0.214,false
4,17:59:54.802,air1F_close_long,LG,15.677s,1354,553,0.408,721.112,1765.594,0.408,false
5,18:00:09.865,air1F_far_long,LG,14.805s,1235,553,0.448,721.112,1610.423,0.448,false
6,18:00:29.185,air1F_close_short,LG,19.069s,1801,553,0.307,721.112,2348.462,0.307,false
7,18:00:49.598,air1F_far_short,LG,20.162s,1806,553,0.306,721.112,2354.982,0.306,false
8,18:01:19.039,air1_UFO,LG,29.427s,2638,553,0.21,721.112,3439.873,0.21,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,13906,4425,5770.353516,18133.052734,

Kills:,8
Deaths:,0
Fight Time:,154.322998
Avg TTK:,0
Damage Done:,5770.353516
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,842.361084
Scenario:,Ground Plaza Easy
Hash:,9e1dbc9b183966e69b73aca2836c8165
Game Version:,v2.6.0
Challenge Start:,17:58:41.401
Pause Count:,12
Pause Duration:,178

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.40152
Resolution Scale,100.0
