Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:23:15.340,air_close_short,LG,13.598s,1349,553,0.41,721.112,1759.074,0.41,false
2,06:23:31.144,air1_far_short,LG,15.546s,1491,553,0.371,721.112,1944.236,0.371,false
3,06:23:55.347,Bot Profile,LG,23.944s,1847,553,0.299,721.112,2408.444,0.299,false
4,06:24:12.024,air1F_close_long,LG,16.428s,1286,553,0.43,721.112,1676.925,0.43,false
5,06:24:29.667,air1F_far_long,LG,15.944s,1466,553,0.377,721.112,1911.637,0.377,false
6,06:24:53.952,air1F_close_short,LG,24.026s,2201,553,0.251,721.112,2870.044,0.251,false
7,06:25:12.379,air1F_far_short,LG,18.171s,1706,553,0.324,721.112,2224.586,0.324,false
8,06:25:50.630,air1_UFO,LG,38.239s,3388,553,0.163,721.112,4417.899,0.163,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,14735,4425,5770.353516,19214.638672,

Kills:,8
Deaths:,0
Fight Time:,165.895996
Avg TTK:,0
Damage Done:,5770.353516
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,830.421875
Scenario:,Ground Plaza Easy Thin
Hash:,81afb5a0c2af1d2af08390fa1877f976
Game Version:,v2.6.3
Challenge Start:,06:23:01.055
Pause Count:,7
Pause Duration:,239

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,344.004517
Resolution Scale,100.0
