Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:46:09.105,Quaker Bot Long Strafes,MGV2,3.3s,420,110,0.262,220,1680,0.131,false
2,15:46:11.409,Quaker Bot Long Strafes,MGV2,1.819s,270,90,0.333,180,1080,0.167,false
3,15:46:14.352,Quaker Bot Long Strafes,MGV2,2.519s,370,100,0.27,200,1480,0.135,false
4,15:46:18.072,Quaker Bot Long Strafes,MGV2,2.867s,420,100,0.238,200,1680,0.119,false
5,15:46:20.374,Quaker Bot Long Strafes,MGV2,1.889s,280,100,0.357,200,1120,0.179,false
6,15:46:23.034,Quaker Bot Long Strafes,MGV2,1.956s,290,100,0.345,200,1160,0.172,false
7,15:46:25.150,Quaker Bot Long Strafes,MGV2,1.677s,250,100,0.4,200,1000,0.2,false
8,15:46:27.939,Quaker Bot Long Strafes,MGV2,2.028s,300,100,0.333,200,1200,0.167,false
9,15:46:30.116,Quaker Bot Long Strafes,MGV2,1.818s,270,100,0.37,200,1080,0.185,false
10,15:46:32.085,Quaker Bot Long Strafes,MGV2,1.539s,230,100,0.435,200,920,0.217,false
11,15:46:33.598,Quaker Bot Long Strafes,MGV2,0.907s,140,100,0.714,200,560,0.357,false
12,15:46:35.077,Quaker Bot Long Strafes,MGV2,1.047s,160,100,0.625,200,640,0.312,false
13,15:46:36.728,Quaker Bot Long Strafes,MGV2,1.259s,190,100,0.526,200,760,0.263,false
14,15:46:38.332,Quaker Bot Long Strafes,MGV2,1.258s,190,100,0.526,200,760,0.263,false
15,15:46:40.683,Quaker Bot Long Strafes,MGV2,1.89s,280,100,0.357,200,1120,0.179,false
16,15:46:42.455,Quaker Bot Long Strafes,MGV2,1.469s,220,100,0.455,200,880,0.227,false
17,15:46:44.550,Quaker Bot Long Strafes,MGV2,1.26s,190,100,0.526,200,760,0.263,false
18,15:46:46.389,Quaker Bot Long Strafes,MGV2,1.399s,210,100,0.476,200,840,0.238,false
19,15:46:48.025,Quaker Bot Long Strafes,MGV2,1.419s,160,100,0.625,200,640,0.312,false
20,15:46:50.661,Quaker Bot Long Strafes,MGV2,2.308s,340,100,0.294,200,1360,0.147,false
21,15:46:52.604,Quaker Bot Long Strafes,MGV2,1.188s,180,100,0.556,200,720,0.278,false
22,15:46:55.577,Quaker Bot Long Strafes,MGV2,2.573s,370,100,0.27,200,1480,0.135,false
23,15:46:57.456,Quaker Bot Long Strafes,MGV2,1.397s,210,100,0.476,200,840,0.238,false
24,15:47:00.273,Quaker Bot Long Strafes,MGV2,2.096s,310,100,0.323,200,1240,0.161,false
25,15:47:02.377,Quaker Bot Long Strafes,MGV2,1.398s,210,120,0.571,240,840,0.286,false
26,15:47:04.722,Quaker Bot Long Strafes,MGV2,2.034s,290,90,0.31,180,1160,0.155,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,6760,2620,5240.0,27040.0,

Kills:,26
Deaths:,0
Fight Time:,46.313999
Avg TTK:,0
Damage Done:,5240.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,15720.0
Scenario:,KinTS Low Ground Easy
Hash:,eac1660c2dab795c7e90c601f11fd599
Game Version:,v2.6.3
Challenge Start:,15:46:04.771
Pause Count:,27
Pause Duration:,161

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.1
Vert Sens:,7.1
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.206635
Resolution Scale,100.0
