Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:47:10.017,Quaker Bot Long Strafes,MGV2,1.73s,180,100,0.556,200,720,0.278,false
2,15:47:11.736,Quaker Bot Long Strafes,MGV2,1.258s,190,100,0.526,200,760,0.263,false
3,15:47:13.529,Quaker Bot Long Strafes,MGV2,1.328s,200,100,0.5,200,800,0.25,false
4,15:47:14.880,Quaker Bot Long Strafes,MGV2,1.047s,160,100,0.625,200,640,0.312,false
5,15:47:16.476,Quaker Bot Long Strafes,MGV2,1.187s,180,100,0.556,200,720,0.278,false
6,15:47:18.992,Quaker Bot Long Strafes,MGV2,2.17s,320,100,0.312,200,1280,0.156,false
7,15:47:23.035,Quaker Bot Long Strafes,MGV2,3.724s,510,190,0.373,380,2040,0.186,false
8,15:47:23.795,Quaker Bot Long Strafes,MGV2,0.348s,60,10,0.167,20,240,0.083,false
9,15:47:27.875,Quaker Bot Long Strafes,MGV2,3.741s,510,100,0.196,200,2040,0.098,false
10,15:47:29.482,Quaker Bot Long Strafes,MGV2,1.049s,160,100,0.625,200,640,0.312,false
11,15:47:31.176,Quaker Bot Long Strafes,MGV2,1.329s,200,100,0.5,200,800,0.25,false
12,15:47:34.369,Quaker Bot Long Strafes,MGV2,2.631s,360,190,0.528,380,1440,0.264,false
13,15:47:35.098,Quaker Bot Long Strafes,MGV2,0s,10,10,1,20,40,0.5,false
14,15:47:36.791,Quaker Bot Long Strafes,MGV2,1.257s,190,100,0.526,200,760,0.263,false
15,15:47:38.626,Quaker Bot Long Strafes,MGV2,1.553s,210,100,0.476,200,840,0.238,false
16,15:47:40.743,Quaker Bot Long Strafes,MGV2,1.398s,210,100,0.476,200,840,0.238,false
17,15:47:42.605,Quaker Bot Long Strafes,MGV2,1.399s,210,100,0.476,200,840,0.238,false
18,15:47:43.967,Quaker Bot Long Strafes,MGV2,1.048s,160,100,0.625,200,640,0.312,false
19,15:47:48.009,Quaker Bot Long Strafes,MGV2,3.218s,470,180,0.383,360,1880,0.191,false
20,15:47:49.876,Quaker Bot Long Strafes,MGV2,1.585s,190,100,0.526,200,760,0.263,false
21,15:47:50.587,Quaker Bot Long Strafes,MGV2,0.491s,80,20,0.25,40,320,0.125,false
22,15:47:52.360,Quaker Bot Long Strafes,MGV2,1.258s,190,100,0.526,200,760,0.263,false
23,15:47:54.023,Quaker Bot Long Strafes,MGV2,1.326s,200,100,0.5,200,800,0.25,false
24,15:47:56.623,Quaker Bot Long Strafes,MGV2,1.807s,260,130,0.5,260,1040,0.25,false
25,15:47:58.020,Quaker Bot Long Strafes,MGV2,1.121s,170,70,0.412,140,680,0.206,false
26,15:47:59.986,Quaker Bot Long Strafes,MGV2,1.537s,230,100,0.435,200,920,0.217,false
27,15:48:01.342,Quaker Bot Long Strafes,MGV2,0.978s,150,100,0.667,200,600,0.333,false
28,15:48:03.706,Quaker Bot Long Strafes,MGV2,1.958s,290,100,0.345,200,1160,0.172,false
29,15:48:05.019,Quaker Bot Long Strafes,MGV2,0.979s,150,110,0.733,220,600,0.367,false
30,15:48:07.537,Quaker Bot Long Strafes,MGV2,2.167s,320,100,0.312,200,1280,0.156,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,6730,3020,6040.0,26920.0,

Kills:,30
Deaths:,0
Fight Time:,46.622002
Avg TTK:,0
Damage Done:,6040.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,18120.0
Scenario:,KinTS Low Ground Easy
Hash:,eac1660c2dab795c7e90c601f11fd599
Game Version:,v2.6.3
Challenge Start:,15:47:07.952
Pause Count:,28
Pause Duration:,162

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.1
Vert Sens:,7.1
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,288.465637
Resolution Scale,100.0
