Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:18:49.767,Quaker Bot Long Strafes,MGV2,1.145000s,170,100,0.588235,200.000000,680.000000,0.294118,0
2,15:18:51.454,Quaker Bot Long Strafes,MGV2,1.188000s,180,100,0.555556,200.000000,720.000000,0.277778,0
3,15:18:53.316,Quaker Bot Long Strafes,MGV2,1.256000s,190,100,0.526316,200.000000,760.000000,0.263158,0
4,15:18:56.705,Quaker Bot Long Strafes,MGV2,2.868000s,420,100,0.238095,200.000000,1680.000000,0.119048,0
5,15:18:58.246,Quaker Bot Long Strafes,MGV2,1.118000s,170,100,0.588235,200.000000,680.000000,0.294118,0
6,15:19:00.413,Quaker Bot Long Strafes,MGV2,1.743000s,260,100,0.384615,200.000000,1040.000000,0.192308,0
7,15:19:02.767,Quaker Bot Long Strafes,MGV2,1.958000s,290,100,0.344828,200.000000,1160.000000,0.172414,0
8,15:19:04.927,Quaker Bot Long Strafes,MGV2,1.883000s,270,100,0.370370,200.000000,1080.000000,0.185185,0
9,15:19:06.087,Quaker Bot Long Strafes,MGV2,0.833000s,130,100,0.769231,200.000000,520.000000,0.384615,0
10,15:19:07.836,Quaker Bot Long Strafes,MGV2,1.479000s,200,100,0.500000,200.000000,800.000000,0.250000,0
11,15:19:09.219,Quaker Bot Long Strafes,MGV2,0.979000s,150,100,0.666667,200.000000,600.000000,0.333333,0
12,15:19:12.254,Quaker Bot Long Strafes,MGV2,2.236000s,330,100,0.303030,200.000000,1320.000000,0.151515,0
13,15:19:14.962,Quaker Bot Long Strafes,MGV2,2.187000s,320,100,0.312500,200.000000,1280.000000,0.156250,0
14,15:19:17.691,Quaker Bot Long Strafes,MGV2,2.444000s,360,120,0.333333,240.000000,1440.000000,0.166667,0
15,15:19:19.448,Quaker Bot Long Strafes,MGV2,1.542000s,230,80,0.347826,160.000000,920.000000,0.173913,0
16,15:19:21.767,Quaker Bot Long Strafes,MGV2,1.534000s,230,120,0.521739,240.000000,920.000000,0.260870,0
17,15:19:23.483,Quaker Bot Long Strafes,MGV2,1.187000s,180,100,0.555556,200.000000,720.000000,0.277778,0
18,15:19:25.108,Quaker Bot Long Strafes,MGV2,1.187000s,180,100,0.555556,200.000000,720.000000,0.277778,0
19,15:19:28.129,Quaker Bot Long Strafes,MGV2,2.743000s,300,100,0.333333,200.000000,1200.000000,0.166667,0
20,15:19:30.011,Quaker Bot Long Strafes,MGV2,1.187000s,180,100,0.555556,200.000000,720.000000,0.277778,0
21,15:19:32.295,Quaker Bot Long Strafes,MGV2,1.958000s,290,100,0.344828,200.000000,1160.000000,0.172414,0
22,15:19:33.990,Quaker Bot Long Strafes,MGV2,1.257000s,190,80,0.421053,160.000000,760.000000,0.210526,0
23,15:19:35.913,Quaker Bot Long Strafes,MGV2,1.117000s,170,100,0.588235,200.000000,680.000000,0.294118,0
24,15:19:37.546,Quaker Bot Long Strafes,MGV2,1.257000s,190,100,0.526316,200.000000,760.000000,0.263158,0
25,15:19:41.053,Quaker Bot Long Strafes,MGV2,3.007000s,440,100,0.227273,200.000000,1760.000000,0.113636,0
26,15:19:43.455,Quaker Bot Long Strafes,MGV2,1.604000s,240,100,0.416667,200.000000,960.000000,0.208333,0
27,15:19:45.636,Quaker Bot Long Strafes,MGV2,1.534000s,230,100,0.434783,200.000000,920.000000,0.217391,0
28,15:19:47.434,Quaker Bot Long Strafes,MGV2,1.187000s,180,100,0.555556,200.000000,720.000000,0.277778,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,6720,2800,5600.0,26880.0,

Kills:,28
Deaths:,0
Fight Time:,45.618004
Avg TTK:,2.142845
Damage Done:,5600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,16800.0
Scenario:,KinTS Low Ground Easy
Hash:,eac1660c2dab795c7e90c601f11fd599
Game Version:,3.0.2
Challenge Start:,H:M:S.s
Pause Count:,26
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.988953
Resolution Scale:,100.0
